མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།,405,2,1,《པེ་》《སྣར་》,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟརབཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།    །ཞེས་འཁོད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,2,《པེ་》《སྣར་》,མུཏྤཱ་ད་ཧྲི།
,,4,3,《པེ་》《སྣར་》,བྱ།
,,5,4,《པེ་》《སྣར་》,ལ།
,,6,5,《པེ་》《སྣར་》,བལྟ།
,,7,6,《པེ་》《སྣར་》,pགི།
,406,8,1,《པེ་》《སྣར་》,རྣམས།
,,9,2,《པེ་》《སྣར་》,mརྣམ།
,,10,3,《པེ་》《སྣར་》,གནས་ཀྱིས།
,,11,4,《པེ་》《སྣར་》,pབྱེ་བྲག
,,12,5,《པེ་》《སྣར་》,རྟེན།
,,13,6,《སྣར་》,བུ།
,,14,7,《པེ་》《སྣར་》,ནི།
,,15,8,《པེ་》《སྣར་》,གི།
,407,16,1,《སྣར་》,པར།
,,17,2,《པེ་》《སྣར་》,mབཅུ་གཉིས་ཆོས་ནི་གསུམ་དུ་འདུས།
,,18,3,《པེ་》《སྣར་》,སྒྲ།
,,19,4,《པེ་》《སྣར་》,ཚིག།
,,20,5,《པེ་》《སྣར་》,ལ།
,,21,6,《པེ་》《སྣར་》,pཔ།
,,22,7,《པེ་》《སྣར་》,ཞེས་བྱ་བ།
,,23,8,《པེ་》《སྣར་》,mནོ།
,,24,9,《པེ་》《སྣར་》,སྟེ།
,,25,10,《པེ་》《སྣར་》,ཁོ།
,408,26,1,《པེ་》《སྣར་》,བུར།
,,27,2,《པེ་》《སྣར་》,འགྲོ་བ་ཀུན་གྱི།
,,28,3,《པེ་》《སྣར་》,pགཞན།
,,29,4,《པེ་》《སྣར་》《ཅོ་》,བཏགས།
,,30,5,《པེ་》《སྣར་》,pལ།
,,31,6,《པེ་》《སྣར་》,pདེ།
,,32,7,,གྱི།
,,33,8,《པེ་》《སྣར་》,དྲིས།
,,34,9,《པེ་》《སྣར་》,གྱི།
,,35,10,《པེ་》《སྣར་》,ཏོན།
,,36,11,《པེ་》《སྣར་》,བརྒྱ།
,,37,12,《སྣར་》,mའགྲུབ་པར།
,409,38,1,《པེ་》《སྣར་》,སྒྱུར།
,,39,2,《པེ་》《སྣར་》,བ།
,,40,3,《པེ་》《སྣར་》,mབརྗོད།
,,41,4,《པེ་》《སྣར་》,སྐྱེ་བར།
,,42,5,《པེ་》《སྣར་》,ཇི་ལྟར།
,,43,6,《པེ་》《སྣར་》,རྟོགས།
,410,44,1,《པེ་》《སྣར་》,བསལ།
,,45,2,《པེ་》《སྣར་》,གིས།
,,46,3,《པེ་》《སྣར་》,པ།
,,47,4,《པེ་》《སྣར་》,ཡིས།
,,48,5,《པེ་》《སྣར་》,བསལ།
,,49,6,《པེ་》《སྣར་》,བཞག
,,50,7,《པེ་》《སྣར་》,ནས།
,,51,8,《པེ་》《སྣར་》,pརྒྱ་གར་གྱིས་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། དྷ་ན་ཤི་ལ་དང་། ཤི་ལཱེནྡྲ་བོ་བྷི་དང་། བནྡེ་ཡེ་ཤེས་སྡེས་ལ་སོགས་པས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པའོ།། །།
