མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,765,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།    །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,བྷ།,
,,4,3,《པེ་》,བ་ཤ་སེ་ངྷེ།,《སྣར་》,བ་ཤ་ས་དྷེ།
,,5,4,《སྣར་》,པར།,
,,6,5,《པེ་》《སྣར་》,བརྟགས།,
,,7,6,《པེ་》《སྣར་》,རྟག,
,,8,7,《པེ་》《སྣར་》,རྟག,
,766,9,1,《པེ་》《སྣར་》,བཞི།,
,,10,2,《པེ་》《སྣར་》,ཞེས།,
,,11,3,《པེ་》《སྣར་》,ཡི།,
,,12,4,《པེ་》《སྣར་》,པོས།,
,,13,5,《པེ་》《སྣར་》,ན།,
,,14,6,《པེ་》《སྣར་》,ཉིད།,
,767,15,1,《པེ་》《སྣར་》,གི་བདག་ཉིད།,
,,16,2,《པེ་》《སྣར་》,རང་བཞིན།,
,,17,3,《སྣར་》,ཆ།,
,,18,4,《པེ་》《སྣར་》,པ།,
,768,19,1,《པེ་》《སྣར་》,རྟོགས།,
,,20,2,《སྣར་》,རྒྱུ།,
,,21,3,《སྣར་》,ཀྱི།,
,,22,4,《པེ་》《སྣར་》,རང་།,
,,23,5,《པེ་》《སྣར་》,བ།,
,,24,6,《པེ་》《སྣར་》,བརྟག ,
,,25,7,《པེ་》《སྣར་》,རྟོག   ,
,,26,8,《པེ་》《སྣར་》,གཉི་ག,
,,27,9,《པེ་》《སྣར་》,ཀྱིས།,
