མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།,774,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།  《པེ་》《སྣར་》ལ་ ༄།། འཕགས་པ་སཱ་ལུ་ལྗང་པའི་མདོ་ཚིག་ལེའུ་བྱས་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས། ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ས།,
,,4,3,《པེ་》《སྣར་》,ས།,
,,5,4,《པེ་》《སྣར་》,བཅས།,
,,6,5,《སྣར་》,མ།,
,,7,6,《པེ་》《སྣར་》,གཅིག,
,,8,7,《པེ་》《སྣར་》,ས།,
,,9,8,《སྣར་》,འོད།,
,775,10,1,《པེ་》《སྣར་》,ནས།,
,,11,2,《པེ་》《སྣར་》,འདི་སྨྲོས་ཤིག,
,,12,3,《པེ་》《སྣར་》,བསྒོམས།,
,,13,4,《སྣར་》,བཞི།,
,,14,5,《པེ་》《སྣར་》,ཐུགས།,
,,15,6,《པེ་》《སྣར་》,བརླན།,
,,16,7,《པེ་》《སྣར་》,སྨན།,
,776,17,1,《པེ་》,ཀྱི།,《སྣར་》,ཀྱིས།
,,18,2,《པེ་》,དང་།,
,,19,3,《པེ་》《སྣར་》,གྱིས།,
,,20,4,《པེ་》《སྣར་》,བརྟག,
,,21,5,《པེ་》《སྣར་》,འདི།,
,777,22,1,《པེ་》《སྣར་》,བར།,
,,23,2,《པེ་》《སྣར་》,པ།,
,,24,3,《པེ་》《སྣར་》,སུ།,
,,25,4,《པེ་》《སྣར་》,པས།,
,,26,5,《པེ་》《སྣར་》,ཤེས།,
,,27,6,《པེ་》《སྣར་》,འབྱུང།,
,,28,7,《པེ་》《སྣར་》,འབྱུང་སྲེད།,
,,29,8,《སྣར་》,ཕུབ།,
,,30,9,《སྣར་》,མཆི།,
,,31,10,《པེ་》《སྣར་》,སྲེད།,
,,32,11,《པེ་》《སྣར་》,བསྔགས།,
,,33,12,《པེ་》《སྣར་》,བསྔགས།,
,,34,13,《པེ་》《སྣར་》,ཡིས།,
,,35,14,《པེ་》《སྣར་》,གཟུགས་དང་།,
,,36,15,《པེ་》《སྣར་》,སྐྱེད།,
,778,37,1,《པེ་》,མིན།,
,,38,2,《པེ་》《སྣར་》,དག་བརྗོད།,
,,39,3,《པེ་》《སྣར་》,བརྟག,
,,40,4,《པེ་》《སྣར་》,སྐྱེ།,
,,41,5,《པེ་》《སྣར་》,ལ།,
,,42,6,《པེ་》《སྣར་》,ངོ་བོས།,
,,43,7,《པེ་》《སྣར་》,ཉེ་བར།,
,,44,8,《པེ་》《སྣར་》,བའི།,
,,45,9,《པེ་》《སྣར་》,བརླན།,
,,46,10,《པེ་》《སྣར་》,པས།,
,,47,11,《པེ་》《སྣར་》,ལ།,
,,48,12,《པེ་》《སྣར་》,རྗོད།,
,,49,13,《པེ་》《སྣར་》,ཤེས།,
,,50,14,《པེ་》《སྣར་》,གཞན།,
,,51,15,《པེ་》《སྣར་》,ཤེས།,
,,52,16,《པེ་》《སྣར་》,མིན།,
,,53,17,《པེ་》《སྣར་》,དང་།,
,,54,18,《སྣར་》,དང་།,
,,55,19,《པེ་》《སྣར་》,ཤེས།,
,,56,20,《པེ་》《སྣར་》,རྒྱུ།,
,779,57,1,《པེ་》《སྣར་》,པ།,
,,58,2,《པེ་》《སྣར་》,ཡིན།,
,,59,3,《པེ་》《སྣར་》,pབདག་དང་།,
,,60,4,《པེ་》《སྣར་》,ཞེས།,
,,61,5,《པེ་》《སྣར་》,ནི།,
,,62,6,《པེ་》《སྣར་》,གཞན།,
,,63,7,《པེ་》《སྣར་》,དང་།,
,,64,8,《པེ་》《སྣར་》,བ།,
,,65,9,《པེ་》《སྣར་》,པའང་།,
,,66,10,《པེ་》《སྣར་》,བ།,
,,67,11,《པེ་》《སྣར་》,ལ།,
,780,68,1,《པེ་》《སྣར་》,མ།,
,,69,2,《པེ་》《སྣར་》,ནི།,
,,70,3,《པེ་》《སྣར་》,ས།,
,,71,4,《པེ་》,ནས་ལྷག,《སྣར་》,ནས་ལྷ།
,,72,5,《པེ་》《སྣར་》,རང་།,
,,73,6,《པེ་》《སྣར་》,ས།,
,,74,7,《པེ་》《སྣར་》,བྱ་བ།,
,,,,,,
,,,,,,
