མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།,468,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》 ལ་བྱང་ཆུབ་ཀྱི་ལྟུང་བ་གཤགས་པའི་འགྲེལ་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་དང་། 《སྣར་》ལ་བྱང་ཆུབ་…...ཀྱི་མཛད་པ་བཞུགས། ཞེས་འཁོད།
,,3,2,《སྣར་》,བྲིཏྟི།
,,4,3,《པེ་》,རྟོག
,,5,4,《པེ་》《སྣར་》,འདི།
,469,6,1,《ཅོ་》,༽ལ་མེད།
,,7,2,《པེ་》《སྣར་》,བར།
,,8,3,《པེ་》《སྣར་》,བསྐུལ།
,,9,4,《པེ་》《སྣར་》,ཁམ།
,,10,5,《པེ་》《སྣར་》,༼ བོ།
,,11,6,《པེ་》《སྣར་》,༼ ལ་སོགས་པ།
,,12,7,《པེ་》《སྣར་》,འདི།
,470,13,1,《པེ་》《སྣར་》,དྲུག
,,14,2,《པེ་》《སྣར་》,གིས།
,,15,3,《སྣར་》,གིའོ།
,,16,4,《པེ་》,༼ཞེ་ན།
,,17,5,《པེ་》,འཇུག
,,18,6,《པེ་》《སྣར་》,བརྟེན།
,,19,7,《སྣར་》,བྱའོ།
,,20,8,《པེ་》《སྣར་》,གཞི།
,471,21,1,《པེ་》《སྣར་》,བར།
,,22,2,《པེ་》《སྣར་》,ཀྱི།
,,23,3,《པེ་》《སྣར་》,༼ གནས།
,,24,4,《པེ་》《སྣར་》,བཏན།
,,25,5,《སྣར་》,པོ་ཞེས།
,,26,6,《པེ་》《སྣར་》,༼ ནི།
,,27,7,《ཅོ་》,ཕ་མེ།
,,28,8,《པེ་》《སྣར་》,༼ བྱ་བ།
,472,29,1,《པེ་》《སྣར་》,པས།
,,30,2,《པེ་》,བསྟེན།
,,31,3,《པེ་》《སྣར་》,གི།
,,32,4,《པེ་》《སྣར་》,འཇིགས།
,473,33,1,《པེ་》《སྣར་》,མཁས།
,,34,2,《པེ་》《སྣར་》,ཀྱི།
,,35,3,《པེ་》《སྣར་》,༽གྱི།
,,36,4,《པེ་》《སྣར་》,ན།
,,37,5,《པེ་》《སྣར་》,༽དང་།
,474,38,1,《པེ་》《སྣར་》,ཀྱིས།
,,39,2,《པེ་》《སྣར་》,བསམ།
,,40,3,《ཅོ་》,པས།
,,41,4,《སྣར་》,བྱིས།
,,42,5,《པེ་》《སྣར་》,པ།
,,43,6,《པེ་》《སྣར་》,རྟོགས།
,475,44,1,《པེ་》《སྣར་》,བསྡམས།
,,45,2,《པེ་》《སྣར་》,ལ།
,,46,3,《སྣར་》,རིམ་ཆེམ།
,,47,4,《པེ་》《སྣར་》,བསལ།
,,48,5,《པེ་》《སྣར་》,སྒྱུར།
,476,49,1,《སྣར་》,བའི།,
,,50,2,《སྣར་》,སྣམས།,
,,51,3,《པེ་》《སྣར་》,དཔའ།,
,,52,4,《པེ་》《སྣར་》,ཞུགས།,
,,53,5,《སྣར་》,མ།,
,,54,6,《པེ་》,པ་བསྲེགས།,《སྣར་》,པ་བསྲེག
,,55,7,《པེ་》《སྣར་》,ལ།,
,477,56,1,《སྣར་》《ཅོ་》,ནི།,
,,57,2,《པེ་》《སྣར་》,༽གཉིས།,
,,58,3,《པེ་》《སྣར་》,།།,
,,59,4,《པེ་》《སྣར་》,དཔས།,
,,60,5,《པེ་》《སྣར་》,པ།,
,478,61,1,《པེ་》《སྣར་》,དེ།,
,479,62,1,《པེ་》《སྣར་》,སྒྲིབ།,
,,63,2,《པེ་》《སྣར་》,།།,
,480,64,1,《སྣར་》,ཆར།,
,,65,2,《པེ་》《སྣར་》,༼ ཞེས།
,,66,3,《པེ་》《སྣར་》,པ།
,,67,4,《པེ་》《སྣར་》,ཀྱི།
,481,68,1,《སྣར་》,དེས།
,,69,2,《པེ་》《སྣར་》,ཀྱིས།
,482,70,1,《པེ་》《སྣར་》,འདི།
,,71,2,《སྣར་》,ནི།
,,72,3,《པེ་》《སྣར་》,ཀྱི།
,,73,4,《སྣར་》,ས།
,,74,5,《པེ་》《སྣར་》,དྲང་སྟེ།
,483,75,1,《པེ་》《སྣར་》,བསྟད།
,484,76,1,《པེ་》,བསམ།
,,77,2,《སྣར་》,སྡེ།
,,78,3,《སྣར་》,ནས།
,,79,4,《པེ་》《སྣར་》,གི།
,,80,5,《པེ་》,༼ ལ་སོགས།
,,81,6,《པེ་》《སྣར་》,གྱིས་བྱེད་པ།
,,82,7,《པེ་》《སྣར་》,པའོ།
,485,83,1,《སྣར་》,གི།
,,84,2,《པེ་》,གྱིད།
,,85,3,《པེ་》《སྣར་》,རྩལ།
,,86,4,《པེ་》《སྣར་》,པ་ཡིའོ།
,,87,5,《པེ་》《སྣར་》,འགྲོན།
,,88,6,《པེ་》《སྣར་》,༼ དང་།
,,89,7,《པེ་》,འཕྲོགས།
,,90,8,《པེ་》《སྣར་》,༽མ།
,,91,9,《པེ་》《སྣར་》,༼ པ།
,,92,10,《སྣར་》,བ།
,,93,11,《སྣར་》,ཡིད།
,,94,12,《པེ་》《སྣར་》,པ།
,,95,13,《པེ་》《སྣར་》,ད།
,486,96,1,《པེ་》《སྣར་》,ཡང་།
,,97,2,《པེ་》,ཀྱི།
,,98,3,《སྣར་》,༼ པ།
,,99,4,《པེ་》《སྣར་》,༼ པ།
,,100,5,《པེ་》《སྣར་》,པའོ།
,,101,6,《སྣར་》,འགག
,487,102,1,《པེ་》《སྣར་》,༼ དེ།
,,103,2,《པེ་》《སྣར་》,པར།
,,104,3,《པེ་》《སྣར་》,ཀྱི།
,,105,4,《པེ་》《སྣར་》,ཏེ།
,,106,5,《པེ་》《སྣར་》,བཞིས།
,488,107,1,《པེ་》《སྣར་》,ད།
,,108,2,《པེ་》《སྣར་》,བཅད།
,,109,3,《པེ་》《སྣར་》,བསྟེན།
,,110,4,《པེ་》《སྣར་》,ན།
,,111,5,《པེ་》《སྣར་》,དཀར།
,,112,6,《པེ་》《སྣར་》,ན།
,489,113,1,《པེ་》《སྣར་》,༼ པ།
,,114,2,《པེ་》,༼ ཏུ།
,,115,3,《པེ་》《སྣར་》,༼ ནི།
,,116,4,《པེ་》,༼ སུ།
,,117,5,《སྣར་》,ངོ་།
,490,118,1,《སྣར་》,ན།
,,119,2,《པེ་》,གྱི།
,,120,3,《པེ་》《སྣར་》,༼ ན།
,,121,4,《པེ་》,སྐབས།
,,122,5,《པེ་》《སྣར་》,༼ ནི།
,,123,6,《སྣར་》,མི།
,491,124,1,《པེ་》《སྣར་》,འདི།
,,125,2,《པེ་》《སྣར་》,སྙོམས།
,,126,3,《སྣར་》,པའོ།
,,127,4,《པེ་》《སྣར་》,ལོཙྪ།
,,,,,
