མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།,1182,2,1,《པེ་》,བཟང་སྤྱོད་འགྲེལ་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས། ,《སྣར་》,བཟང་སྤྱོད་འགྲེལ་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་དུ་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ནཱ།,,,,,,
,,4,3,《སྣར་》,མོ།,,,,,,
,,5,4,《སྣར་》,པས།,,,,,,
,1183,6,1,《པེ་》《སྣར་》,pབ།,,,,,,
,,7,2,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,8,3,《པེ་》《སྣར་》,mཡངས།,,,,,,
,,9,4,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,1184,10,1,《པེ་》《སྣར་》,པས།,,,,,,
,,11,2,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,12,3,《སྣར་》,pནི།,,,,,,
,,13,4,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,14,5,《པེ་》《སྣར་》,དེས་ན།,,,,,,
,,15,6,《པེ་》《སྣར་》,གྱིས།,,,,,,
,1185,16,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,17,2,《པེ་》《སྣར་》,དཔའི།,,,,,,
,,18,3,《པེ་》《སྣར་》,mན།,,,,,,
,,19,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,20,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,21,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,1186,22,1,《པེ་》《སྣར་》,མཚོ།,,,,,,
,,23,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,24,3,《པེ་》《སྣར་》,ཡན་ལག,,,,,,
,,25,4,《པེ་》《སྣར་》,སྒྲ་སྟེ།,,,,,,
,,26,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,27,6,《པེ་》《སྣར་》,pཀུན་གྱི།,,,,,,
,,28,7,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,29,8,《པེ་》《སྣར་》,གི།,,,,,,
,,30,9,《པེ་》《སྣར་》,mབ།,,,,,,
,,31,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,32,11,《པེ་》《སྣར་》,ཏུ་རྗོད།,,,,,,
,,33,12,《པེ་》《སྣར་》,mཏེ།,,,,,,
,1187,34,1,《པེ་》《སྣར་》,ཀ,,,,,,
,,35,2,《པེ་》《སྣར་》,པའི།,,,,,,
,,36,3,《པེ་》《སྣར་》,བགྱི་བའོ།,,,,,,
,,37,4,《པེ་》《སྣར་》,པས།,,,,,,
,,38,5,《པེ་》《སྣར་》,པ།,,,,,,
,,39,6,《པེ་》《སྣར་》,པ།,,,,,,
,1188,40,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,41,2,《པེ་》《སྣར་》,mསྤྱན་སྔར།,,,,,,
,,42,3,《པེ་》《སྣར་》,mལའང་།,,,,,,
,,43,4,《སྣར་》,དེ།,,,,,,
,,44,5,《པེ་》,བསྒོམས།,,,,,,
,,45,6,《པེ་》《སྣར་》,mབ།,,,,,,
,1189,46,1,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,47,2,《པེ་》《སྣར་》,mསློབ་པ་དང་མི།,,,,,,
,,48,3,《པེ་》《སྣར་》,སྲེད།,,,,,,
,,49,4,《སྣར་》,pཔར།,,,,,,
,,50,5,《ཅོ་》,ཏོ།,,,,,,
,,51,6,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,52,7,《པེ་》《སྣར་》,པས་སྙེས།,,,,,,
,1190,53,1,《པེ་》《སྣར་》,mཔར།,,,,,,
,,54,2,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,55,3,《པེ་》《སྣར་》,བྱས་པའི།,,,,,,
,,56,4,《པེ་》《སྣར་》,བརྩུགས།,,,,,,
,,57,5,《པེ་》《སྣར་》,བར།,,,,,,
,,58,6,《པེ་》《སྣར་》,སྐོར།,,,,,,
,,59,7,《པེ་》《སྣར་》,འདའ།,,,,,,
,,60,8,《པེ་》《སྣར་》,mགང་།,,,,,,
,,61,9,《པེ་》《སྣར་》,བར་དབུལ།,,,,,,
,,62,10,《པེ་》《སྣར་》,pན།,,,,,,
,,63,11,《པེ་》《སྣར་》,གཏོགས།,,,,,,
,1191,64,1,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,65,2,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,66,3,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,67,4,《པེ་》《སྣར་》,བསྔོ།,,,,,,
,,68,5,《པེ་》,སོགས་བ་བཏབ་པས།;《སྣར་》,གསོལ་བ་བཏབ་པས།,,,,,
,,69,6,《པེ་》《སྣར་》,mབཅུ།,,,,,,
,,70,7,《པེ་》《སྣར་》,འཕྲད།,,,,,,
,1192,71,1,《པེ་》《སྣར་》,ད་ལྟ།,,,,,,
,,72,2,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,73,3,《པེ་》《སྣར་》,བཅུའི།,,,,,,
,1193,74,1,《སྣར་》,བྱའོ།,,,,,,
,,75,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,76,3,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,77,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,78,5,《སྣར་》,mསུ།,,,,,,
,,79,6,《སྣར་》,སྤངས།,,,,,,
,,80,7,《སྣར་》,དང་།,,,,,,
,,81,8,《པེ་》,mནས་བདག;《སྣར་》,ན་བདག,,,,,
,,82,9,《པེ་》,pགྱིས་ན་བར།,,,,,,
,1194,83,1,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,84,2,《པེ་》《སྣར་》,པས།,,,,,,
,,85,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,86,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,87,5,《པེ་》《སྣར་》,སྐྱེན།,,,,,,
,,88,6,《པེ་》《སྣར་》,དབྱུང་།,,,,,,
,,89,7,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,1195,90,1,《པེ་》《སྣར་》,སྟེན།,,,,,,
,,91,2,《སྣར་》,གཞིན།,,,,,,
,,92,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,93,4,《པེ་》《སྣར་》,mན།,,,,,,
,,94,5,《པེ་》《སྣར་》,pམ།,,,,,,
,,95,6,《པེ་》《སྣར་》,mསོ།,,,,,,
,,96,7,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,97,8,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,98,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,99,10,《པེ་》《སྣར་》,mའདི།,,,,,,
,,100,11,《པེ་》《སྣར་》,mཔ།,,,,,,
,1196,101,1,《པེ་》,mནི།,,,,,,
,,102,2,《པེ་》《སྣར་》,སྤོང་པ་སྟོན།,,,,,,
,,103,3,《པེ་》《སྣར་》,སྤངས་པར།,,,,,,
,,104,4,《པེ་》,ལ།,,,,,,
,,105,5,《སྣར་》,ཀྱིས།,,,,,,
,,106,6,《པེ་》《སྣར་》,mནི།,,,,,,
,,107,7,《སྣར་》,ཀྱིས།,,,,,,
,1197,108,1,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,109,2,《པེ་》《སྣར་》,mདེ་བཞིན།,,,,,,
,,110,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,111,4,《པེ་》《སྣར་》,མོར།,,,,,,
,,112,5,《པེ་》《སྣར་》,ལམ།,,,,,,
,,113,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,,114,7,《པེ་》《སྣར་》,དང་།,,,,,,
,,115,8,《པེ་》《སྣར་》,བདག,,,,,,
,,116,9,《པེ་》《སྣར་》,mབ།,,,,,,
,1198,117,1,《པེ་》《སྣར་》,མས།,,,,,,
,,118,2,《པེ་》《སྣར་》,སྲོག,,,,,,
,,119,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,120,4,《པེ་》,རྗོད།,,,,,,
,,121,5,《པེ་》《སྣར་》,གསལ།,,,,,,
,1199,122,1,《པེ་》《སྣར་》,mལྡན་པ།,,,,,,
