མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དཔེ་མེད་པར་བསྟོད་པ།,190,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,རཱུ།,
,,4,3,《པེ་》,པ།,《སྣར་》,བ།
,,5,4,《པེ་》《སྣར་》,ཀྱི།,
,,6,5,《པེ་》《སྣར་》,ཀྱི།,
,,7,6,《པེ་》《སྣར་》,མ་ཧོ།,
,,8,7,《པེ་》《སྣར་》,ཀྱིས།,
,191,9,1,《པེ་》《སྣར་》,ཀྱི་གང་།,
,,10,2,《པེ་》《སྣར་》,པའང་།,
,,11,3,《པེ་》《སྣར་》,གྱུར་པ།,
,,12,4,《པེ་》《སྣར་》,ལས།,
,,13,5,《པེ་》《སྣར་》,ཀྱི།,
,,14,6,《པེ་》《སྣར་》,པའང་མ་ལགས་ལ།,
,,15,7,《པེ་》《སྣར་》,བཞིན།,
,,16,8,《པེ་》《སྣར་》,རྣམས།,
,,17,9,《པེ་》《སྣར་》,པར།,
,,18,10,《པེ་》《སྣར་》,པར།,
,,19,11,《པེ་》《སྣར་》,སོགས།,
,,20,12,《སྣར་》,བཞིར།,
,,21,13,《པེ་》《སྣར་》,ཀྱི།,
,,22,14,《པེ་》《སྣར་》,ཀྱི།,
,192,23,1,《པེ་》《སྣར་》,ཀྱང་མེད།,
,,24,2,《པེ་》《སྣར་》,རུས་པའང་།,
,,25,3,《པེ་》《སྣར་》,བསྟེན།,
,,26,4,《པེ་》《སྣར་》,ཀྱང་།,
,,27,5,《པེ་》《སྣར་》,ཀྱི།,
,,28,6,《པེ་》《སྣར་》,ཀྱི།,
,,29,7,《པེ་》《སྣར་》,འཇུག,
,,30,8,《པེ་》《སྣར་》,པ།,
,,31,9,《པེ་》《སྣར་》,དབྱེ།,
,,32,10,《པེ་》《སྣར་》,ཀྱིས།,
,,33,11,《པེ་》《སྣར་》,དགྲོལ།,
,,34,12,《པེ་》《སྣར་》,ཀྱིས།,
,,35,13,《པེ་》《སྣར་》,བ།,
,,36,14,《པེ་》《སྣར་》,ཀྱང་།,
,,37,15,《པེ་》《སྣར་》,ཀྱིས།,
,,38,16,《པེ་》《སྣར་》,དེ་ལྟར་བདེ་…….ལས་བདག་གི།,
,,39,17,《པེ་》《སྣར་》,འདིས།,
,,40,18,《པེ་》《སྣར་》,mའཕགས་པ།,
,193,41,1,《པེ་》,ཀྲིཥྚ། ,《སྣར་》,ཀྲྀཥྚ། 
,,42,2,《པེ་》《སྣར་》,mདགེ་སློང་།,
,,43,3,《པེ་》,pམངྒ་ལཾ།།,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
