མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།,255,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།,
,,3,2,《སྣར་》,ཡཱ།,
,,4,3,《པེ་》《སྣར་》,pཞེས་བྱ་བ།,
,,5,4,《སྣར་》,ལུམ་བིའི།,
,,6,5,《པེ་》《སྣར་》,མཛད།,
,,7,6,《པེ་》《སྣར་》,ཡིས།,
,,8,7,《སྣར་》,ཨངྒ།,
,,9,8,《པེ་》《སྣར་》,ངྷར།,
,256,10,1,《པེ་》,ནས།,
,,11,2,《པེ་》《སྣར་》,ངྷ།,
,,12,3,《པེ་》《སྣར་》,བ་ར་ཎཱ་སེ།,
,,13,4,《པེ་》《སྣར་》,ཁོར།,
,,14,5,《པེ་》,བཏུད།,
,,15,6,《སྣར་》,གྱི།,
,,16,7,《པེ་》,བཤིགས།,
,257,17,1,《སྣར་》,བ་ཡི།,《པེ་》,པ་ཡི།
,,18,2,《པེ་》《སྣར་》,mཆེན་པོ་འཕགས་པ།,
