མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ། ,1627,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄༅། །དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་བཞུགས་སོ། །
,,3,2,《པེ་》《སྣར་》,ནཱཾ།
,,4,3,《པེ་》《སྣར་》,གི།
,,5,4,《པེ་》《སྣར་》,དམོད།
,1628,6,1,《པེ་》《སྣར་》,བྱི།
,,7,2,《པེ་》,གྱི།
,,8,3,《པེ་》,སྟིམ།
,,9,4,《པེ་》《སྣར་》,སྟེང་དུ།
,,10,5,《པེ་》,ཀྱིས།
,,11,6,《པེ་》《སྣར་》,བཅོལ།
,,12,7,《པེ་》《སྣར་》,སྦྱར།
,1629,13,1,《པེ་》《སྣར་》,གི།
,,14,2,《པེ་》《སྣར་》,བསྒྲུབ།
,,15,3,《པེ་》《སྣར་》,བསྒྲུབ།
,,16,4,《པེ་》《སྣར་》,ཀྱི།
,,17,5,《པེ་》《སྣར་》,ཙ།,,
