མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,719,2,1,《པེ་》《སྣར་》,ལེའུ་བཅོ་བརྒྱད་པའི་འགྲེལ་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།;
,,3,2,《པེ་》《སྣར་》,ལ་བྷེ་ཏ།,,,,,,
,,4,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,5,4,《སྣར་》,ཏེ།,,,,,,
,,6,5,《པེ་》《སྣར་》,མའོ།,,,,,,
,,7,6,《པེ་》《སྣར་》,ལྟ།,,,,,,
,720,8,1,《པེ་》《སྣར་》,གི།,,,,,,
,,9,3,《པེ་》《སྣར་》,བུ།,,,,,,
,721,10,1,《པེ་》《སྣར་》,བོ།,,,,,,
,,11,2,《པེ་》《སྣར་》,པས།,,,,,,
,,12,3,《པེ་》《སྣར་》,པོ།,,,,,,
,,13,4,《པེ་》《སྣར་》,pབ།,,,,,,
,,14,5,《པེ་》《སྣར་》,པས།,,,,,,
,,15,6,《པེ་》《སྣར་》,པར།,,,,,,
,,16,7,《པེ་》《སྣར་》,པ།,,,,,,
,722,17,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,18,2,《པེ་》《སྣར་》,དྲི།,,,,,,
,,19,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,20,4,《པེ་》《སྣར་》,བཅད།,,,,,,
,,21,5,《པེ་》《སྣར་》,སུ་བཅད་པ།,,,,,,
,,22,6,《པེ་》《སྣར་》,མི་སྣང་བ།,,,,,,
,,23,7,《པེ་》《སྣར་》,གཞི།,,,,,,
,,24,8,《པེ་》《སྣར་》,གི།,,,,,,
,,25,9,《པེ་》《སྣར་》,པར།,,,,,,
,723,26,1,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,27,2,《པེ་》《སྣར་》,རྟོག་པར།,,,,,,
,,28,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,29,4,《པེ་》《སྣར་》,ཆོས་ཀྱི།,,,,,,
,,30,5,《པེ་》《སྣར་》,གི།,,,,,,
,,31,6,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,724,32,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,33,2,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,34,3,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,35,4,《པེ་》《སྣར་》,མའོ།,,,,,,
,725,36,1,《པེ་》《སྣར་》,འགྱུར་ཞིང་།,,,,,,
,,37,2,《པེ་》《སྣར་》,གསུམ་གྱི།,,,,,,
,,38,3,《པེ་》《སྣར་》,བའི།,,,,,,
,,39,4,《པེ་》《སྣར་》,བཞི།,,,,,,
,,40,5,《པེ་》《སྣར་》,mནི།,,,,,,
,726,41,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,42,2,《པེ་》《སྣར་》,མངོན།,,,,,,
,,43,3,《སྣར་》,གིས།,,,,,,
,,44,4,《པེ་》《སྣར་》,འདི་ཡིས།,,,,,,
,,45,5,《པེ་》《སྣར་》,པ།,,,,,,
,,46,6,《པེ་》《སྣར་》,ལ་སོགས་པའི།,,,,,,
,727,47,1,《པེ་》《སྣར་》,སྦས།,,,,,,
,,48,2,《པེ་》《སྣར་》,པོའི་གཅིག་གི།,,,,,,
,,49,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,50,4,《པེ་》《སྣར་》,ཀྱིས་འདྲི་བར།,,,,,,
,,51,5,《པེ་》《སྣར་》,ནས།,,,,,,
,728,52,1,《པེ་》《སྣར་》,pཚིག,,,,,,
,,53,2,《པེ་》《སྣར་》,mཞེས།,,,,,,
,,54,3,《པེ་》《སྣར་》,mཔའི།,,,,,,
,729,55,1,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,56,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,57,3,《སྣར་》,ན།,,,,,,
,730,58,1,《པེ་》《སྣར་》,mཐམས་ཅད།,,,,,,
,,59,2,《པེ་》《སྣར་》,ལ།,,,,,,
,731,60,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,61,2,《པེ་》《སྣར་》,བརླབ།,,,,,,
,,62,3,《པེ་》《སྣར་》,པ།,,,,,,
,,63,4,《པེ་》《སྣར་》,mནི་གསང་བ།,,,,,,
,,64,5,《པེ་》《སྣར་》,བས།,,,,,,
,,65,6,《པེ་》《སྣར་》,mགྱི།,,,,,,
,732,66,1,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,67,2,《པེ་》《སྣར་》,བསྡུས།,,,,,,
,,68,3,《པེ་》《སྣར་》,pབསྡུ་བ་དང་།,,,,,,
,,69,4,《པེ་》《སྣར་》,mསེམས་ཀྱི།,,,,,,
,733,70,1,《པེ་》《སྣར་》,mདཀྱིལ།,,,,,,
,,71,2,《པེ་》《སྣར་》,pམོ་དང་།,,,,,,
,,72,3,《པེ་》《སྣར་》,པས།,,,,,,
,,73,4,《པེ་》《སྣར་》,པ།,,,,,,
,,74,5,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,75,6,《པེ་》《སྣར་》,བ་ནི།,,,,,,
,,76,7,《པེ་》《སྣར་》,པ་སྟེ།,,,,,,
,,77,8,《པེ་》《སྣར་》,mནོ།,,,,,,
,,78,9,《པེ་》《སྣར་》,pའདུས་པ་ནི།,,,,,,
,,79,10,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,80,11,《པེ་》《སྣར་》,ན།,,,,,,
,734,81,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,82,2,《པེ་》《སྣར་》,སྐུར།,,,,,,
,,83,3,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,84,4,《པེ་》《སྣར་》,གི།,,,,,,
,,85,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,86,6,《པེ་》《སྣར་》,pགསུམ།,,,,,,
,,87,7,《པེ་》《སྣར་》,འབྱམས་ཀྱི།,,,,,,
,,88,8,《པེ་》《སྣར་》,གྱི།,,,,,,
,735,89,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,90,2,《པེ་》《སྣར་》,འབྱམས་ཀྱི།,,,,,,
,,91,3,《པེ་》《སྣར་》,སིདྷི།,,,,,,
,736,92,1,《པེ་》《སྣར་》,སྐུ།,,,,,,
,,93,2,《པེ་》《སྣར་》,བུ།,,,,,,
,,94,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,95,4,《པེ་》《སྣར་》,པ།,,,,,,
,,96,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,97,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,98,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,99,8,《པེ་》《སྣར་》,ངེས།,,,,,,
,737,100,1,《པེ་》《སྣར་》,mཏེ།,,,,,,
,,101,2,《པེ་》,དུས་སུ་སྐུ་སྒྲུབ།;《སྣར་》,དུས་སུ་སྐུ་བསྒྲུབ།,,,,,
,,102,3,《པེ་》《སྣར་》,པས།,,,,,,
,,103,4,《པེ་》《སྣར་》,བསྒྲུབས་ནས།,,,,,,
,,104,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,105,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,106,7,《པེ་》《སྣར་》,pམ་ཡིན།,,,,,,
,,107,8,《པེ་》《སྣར་》,པས།,,,,,,
,,108,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,109,10,《པེ་》《སྣར་》,mསོགས་པ།,,,,,,
,738,110,1,《པེ་》《སྣར་》,ལོ།,,,,,,
,,111,2,《པེ་》《སྣར་》,pལྔ་བ།,,,,,,
,,112,3,《པེ་》《སྣར་》,mམི།,,,,,,
,,113,4,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,114,5,《པེ་》《སྣར་》,ཉེ་བར།,,,,,,
,,115,6,《པེ་》《སྣར་》,གཞི།,,,,,,
,739,116,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,117,2,《པེ་》《སྣར་》,ཏོ།,,,,,,
,740,118,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,119,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,120,3,《པེ་》《སྣར་》,རང་བཞིན་གྱི་མིང་གི།,,,,,,
,,121,4,《པེ་》《སྣར་》,pཔའིི།,,,,,,
,,122,5,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,123,6,《པེ་》《སྣར་》,ཉེ་དོན་བྱེད་པ།,,,,,,
,,124,7,《པེ་》《སྣར་》,གྱུར་པའོ།,,,,,,
,,125,8,《པེ་》《སྣར་》,མེད།,,,,,,
,,126,9,《པེ་》《སྣར་》,པ།,,,,,,
,,127,10,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,741,128,1,《པེ་》《སྣར་》,pགི།,,,,,,
,,129,2,《པེ་》《སྣར་》,ཤེས་རབ་དང་ཐབས།,,,,,,
,742,130,1,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,131,2,《པེ་》《སྣར་》,བསྡུ་བ།,,,,,,
,,132,3,《པེ་》《སྣར་》,pདུ།,,,,,,
,,133,4,《པེ་》《སྣར་》,mམོ།,,,,,,
,743,134,1,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,135,2,《པེ་》《སྣར་》,ཀྱིས་རྒྱུན་ནི།,,,,,,
,,136,3,《པེ་》《སྣར་》,རྒྱུན།,,,,,,
,,137,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,138,5,《པེ་》《སྣར་》,pདག,,,,,,
,,139,6,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,140,7,《པེ་》《སྣར་》,པ་བསྟན་ཏོ།,,,,,,
,,141,8,《པེ་》《སྣར་》,འཕྲོག,,,,,,
,,142,9,《པེ་》《སྣར་》,pཔ།,,,,,,
,,143,10,《པེ་》《སྣར་》,mཔ།,,,,,,
,,144,11,《པེ་》《སྣར་》,མི་བསྐྱོད།,,,,,,
,,145,12,《པེ་》《སྣར་》,mབདག་བསྲུང་བ་དང་།,,,,,,
,744,146,1,《པེ་》《སྣར་》,སྒོ་བཞི་བསྒོམ།,,,,,,
,,147,2,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,148,3,《པེ་》《སྣར་》,འཇིག,,,,,,
,,149,4,《པེ་》《སྣར་》,པ།,,,,,,
,,150,5,《པེ་》《སྣར་》,འཇོམ།,,,,,,
,745,151,1,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,,
,,152,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,153,3,《པེ་》《སྣར་》,བརླབས།,,,,,,
,746,154,1,《པེ་》《སྣར་》,ན།,,,,,,
,,155,2,《པེ་》《སྣར་》,བ།,,,,,,
,,156,3,《པེ་》《སྣར་》,mདང་།,,,,,,
