མཚན་བྱང་།,ཤོག་གྲངས།,1,པར་མ།,,མཆན། ,
སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》,པིཎྜ་དྷི་ཀྲི་ཏ་སཱ་དྷ་ན།,《སྣར་》,དིཎྜ་དྷི་ཀྲི་ཏ་སཱ་དྷ་ན།
,,4,3,《སྣར་》,རྟོགས།,
,,5,4,《པེ་》《སྣར་》,དོན།,
,,6,5,《པེ་》《སྣར་》,སྐྱེད།,
,4,7,1,《པེ་》《སྣར་》,མགོན་པོ།,
,,8,2,《པེ་》《སྣར་》,དཀྱིལ།,
,,9,3,《པེ་》,བིདྱ་ར།,《སྣར་》,བིདྱཱ་ར།
,,10,4,《པེ་》《སྣར་》,དུཥྚཾ།,
,5,11,1,《པེ་》《སྣར་》,ལཱ།,
,,12,2,《པེ་》《སྣར་》,ཨཛྙཱ།,
,,13,3,《པེ་》《སྣར་》,mབཛྲ།,
,,14,4,《པེ་》《སྣར་》,པ།,
,,15,5,《པེ་》《སྣར་》,བཅུ།,
,,16,6,《སྣར་》,ཀྱང་།,
,,17,7,《པེ་》《སྣར་》,བྷྲུཾ།,
,6,18,1,《པེ་》《སྣར་》,pཕྱི་ཡི་དཀྱིལ་འཁོར་ཐིག་གདབ་བྱ། །,
,,19,2,《པེ་》《སྣར་》,བྱ་ནི།,
,,20,3,《པེ་》《སྣར་》,བུ།,
,,21,4,《པེ་》《སྣར་》,གྱི།,
,,22,5,《པེ་》《སྣར་》,ལོ།,
,7,23,1,《པེ་》《སྣར་》,བསམ།,
,,24,2,《པེ་》《སྣར་》,གཏོགས།,
,8,25,1,《པེ་》《སྣར་》,མཁའ།,
,,26,2,《པེ་》《སྣར་》,གྱུར།,
,,27,3,《པེ་》《སྣར་》,ཨཏྨ།,
,,28,4,《པེ་》《སྣར་》,ཡི།,
,,29,5,《པེ་》,བསྐྱོད་པས།,《སྣར་》,སྐྱོད་པས།
,,30,6,《སྣར་》,ཨིཎྡྲ།,
,,31,7,《པེ་》《སྣར་》,འདི།,
,,32,8,《པེ་》《སྣར་》,ཨ།,
,9,33,1,《སྣར་》,སྐྱོད།,
,,34,2,《པེ་》《སྣར་》,ཤིང་།,
,,35,3,《པེ་》《སྣར་》,ཨཾ།,
,,36,4,《པེ་》《སྣར་》,བསམ།,
,,37,5,《པེ་》《སྣར་》,མེ།,
,,38,6,《པེ་》《སྣར་》,ཚིག།,
,,39,7,《པེ་》《སྣར་》,ལོ།,
,10,40,1,《པེ་》《སྣར་》,དེ།,
,,41,2,《པེ་》《སྣར་》,བ།,
,,42,3,《པེ་》《སྣར་》《ཅོ་》,བསམ།,
,,43,4,《སྣར་》,ཆང་།,
,,44,5,《སྣར་》,བསྒོམ།,
,,45,6,《པེ་》《སྣར་》,སྐུར།,
,,46,7,《པེ་》《སྣར་》,གྱིས།,
,,47,8,《པེ་》《སྣར་》,ཨཱ།,
,,48,9,《པེ་》《སྣར་》,པ།,
,,49,10,《པེ་》《སྣར་》,རྗེ།,
,11,50,1,《པེ་》《སྣར་》,བསྒོམ།,
,,51,2,《པེ་》《སྣར་》,གིས།,
,,52,3,《པེ་》《སྣར་》,ཨཏྨ།,
,,53,4,《པེ་》《སྣར་》,ཤིང་།,
,,54,5,《པེ་》《སྣར་》,བསྒོམ།,
,,55,6,《པེ》,མ་མཱ།,
,,56,7,《པེ་》《སྣར་》,བརླབས།,
,12,57,1,《པེ་》《སྣར་》,གྱིས།,
,,58,2,《པེ་》《སྣར་》,དང་།,
,,59,3,《པེ་》《སྣར་》,ལས།,
,13,60,1,《པེ་》《སྣར་》,བཞག,
,,61,2,《པེ་》《སྣར་》,ལྔ།,
,,62,3,《སྣར་》,བསམ།,
,,63,4,《པེ་》《སྣར་》,འོད།,
,,64,5,《པེ་》《སྣར་》,ཨཏྨ།,
,,65,6,《པེ་》《སྣར་》,ཀྱིས།,
,,66,7,《པེ་》《སྣར་》,རྗེར།,
,,67,8,《པེ་》《སྣར་》,བརྒྱན།,
,,68,9,《པེ་》《སྣར་》,ཞིང་།,
,14,69,1,《པེ་》《སྣར་》,ནི།,
,,70,2,《པེ་》《སྣར་》,གྱུར།,
,,71,3,《པེ་》《སྣར་》,སྒོམ།,
,,72,4,《པེ་》《སྣར་》,ན།,
