མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།,41,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའོ།།
,,3,2,《པེ་》《སྣར་》,སྤངས།
,42,4,1,《པེ་》《སྣར་》,བཞིན་དུལ་བ།
,,5,2,《པེ་》《སྣར་》,ཡི།
,,6,3,《ཅོ་》,བརླབས།
,,7,4,《པེ་》《སྣར་》,བཟུང་།
,43,8,1,《པེ་》《སྣར་》,བསམ་སྟེ།
,,9,2,《པེ་》《སྣར་》,པར།
,,10,3,《ཅོ་》,དོ།།
,,11,4,《པེ་》《སྣར་》,mརྒྱ།
,,12,5,《པེ་》《སྣར་》,དགུགས།
,,13,6,《པེ་》《སྣར་》,སྦྱང་།
,,14,7,《ཅོ་》,བརླབ།
,,15,8,《པེ་》《སྣར་》,ཨིནྡྲ་ཡེ།
,,16,9,《པེ་》《སྣར་》,ཡེ།
,,17,10,《པེ་》,ཎ་ཡེ།
,,18,11,《པེ་》《སྣར་》,ར་ཡེ།
,44,19,1,《པེ་》,ནེ་རེ་ཏི་རཱཀྵ་ཏི་བྷ།,《སྣར་》,ནེ་རེ་ཏི་རཱཀྵ་ཏ་བྷི།,《ཅོ་》,ནེ་རྀ་ཏྱ་རཱཀྵ་ས་རཱཀྵ་དྷི་པ་ཏ།
,,20,2,《པེ་》《སྣར་》,བ།
,,21,3,《པེ་》《སྣར་》,ན་ཡེ།
,,22,4,《པེ་》《སྣར་》,སཱུརྱ་ཡེ།
,,23,5,《པེ་》《སྣར་》,པྱ།
,,24,6,《པེ་》,པྲི་ཐྭི་བྷ་ཡེ།,《སྣར་》,པྲི་ཐྭི་བྷ་ཡ།
,,25,7,《པེ་》《སྣར་》,ནུཏྤཏནྣ་ཏྭད།
,,26,8,《པེ་》,དག
,,27,9,《པེ་》,མ་བསླུ།
,,28,10,《པེ་》《སྣར་》,རྗེ།
,,29,11,《པེ་》《སྣར་》,mགང་།
,,30,12,《པེ་》《སྣར་》,ཞོགས།
,,31,13,《པེ་》《སྣར་》,pནི།
,,32,14,《པེ་》《སྣར་》,ཞིམ་བསྣུམ།
,45,33,1,《པེ་》《སྣར་》,གིས།
,,34,2,《པེ་》《སྣར་》,།།  །།
,,35,3,《པེ་》《སྣར་》,བསམ།
,,36,4,《པེ་》《སྣར་》,སྦུབ།
,,37,5,《པེ་》《སྣར་》,ནི་བཛྲི།
,,38,6,《པེ་》《སྣར་》,mདེ་ནས།
,,39,7,《པེ་》《སྣར་》,བར།
,46,40,1,《པེ་》《སྣར་》,ལ།
,,41,2,《པེ་》《སྣར་》,སྒྱུར།
,,42,3,《པེ་》《སྣར་》,པོ།
,,43,4,《པེ་》《སྣར་》,mཁྲོ་བོའི།
,,44,5,《སྣར་》,བསྒོམ།
,,45,6,《པེ་》《སྣར་》,སྟངས།
,,46,7,《པེ་》《སྣར་》,mདུ་དཀྱིལ་འཁོར་གྱི་ས་ལ་ལན་གསུམ་བསྐོར།
,,47,8,《པེ་》《སྣར་》,གཤོག
,,48,9,《པེ་》《སྣར་》,pལ།
