མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།,98,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ཤེ་ཀ་ཙ་ཏུ་པྲ་ཀ,
,,4,3,《པེ་》《སྣར་》,mབོད་སྐད་དུ།,
,,5,4,《པེ་》《སྣར་》,པ།,
,,6,5,《པེ་》《སྣར་》,pཀྱི།,
,99,7,1,《པེ་》《སྣར་》,འབོད།,
,,8,2,《པེ་》《སྣར་》,བསྲུང་།,
,100,9,1,《པེ་》《སྣར་》,མགོ།,
,,10,2,《པེ་》《སྣར་》,བསྲུངས།,
,,11,3,《པེ་》《སྣར་》,ཧི།,
,,12,4,《པེ་》《སྣར་》,བསྲུང་།,
,,13,5,《པེ་》《སྣར་》,གཉིས།,
,,14,6,《པེ་》《སྣར་》,ཡི།,
,,15,7,《པེ་》《སྣར་》,གྱི།,
,101,16,1,《པེ་》《སྣར་》,པའི།,
,,17,2,《པེ་》《སྣར་》,པོ།,
,,18,3,《པེ་》《སྣར་》《ཅོ་》,དེ།,
,,19,4,《པེ་》,སྐྱེ།,《སྣར་》,སྒྱེ།
,102,20,1,《པེ་》《སྣར་》,བཞག,
,,21,2,《པེ་》《སྣར་》,མཐོར།,
,,22,3,《པེ་》《སྣར་》,བཞག,
,,23,4,《པེ་》《སྣར་》,བཞག,
,,24,5,《པེ་》《སྣར་》,བཞག,
,,25,6,《པེ་》《སྣར་》,བཞག,
,,26,7,《པེ་》《སྣར་》,བརྟེན།,
,,27,8,《པེ་》《སྣར་》,བཾ་མ་ཡའི།,
,,28,9,《པེ་》《སྣར་》,བཾ།,
,,29,10,《པེ་》《སྣར་》,བསྲུང་བ་ཡ།,
,,30,11,《པེ་》《སྣར་》,བཾ།,
,,31,12,《པེ་》,རུ་དྲ་ཡ་དྭཱ་དཀའ།,《སྣར་》,རུ་ཏྲ་མ་དཱ་དཀའ།
,,32,13,《པེ་》《སྣར་》,བཾ།,
,,33,14,《པེ་》《སྣར་》,ཡ།,
,,34,15,《པེ་》《སྣར་》,བཾ།,
,,35,16,《པེ་》《སྣར་》,བསྟན།,
,,36,17,《པེ་》《སྣར་》,ཡ།,
,103,37,1,《པེ་》,སྦྱང་།,《སྣར་》,སྤྱད།
,,38,2,《པེ་》《སྣར་》,བལྟོས།,
,,39,3,《པེ་》《སྣར་》,མའི།,
,,40,4,《པེ་》《སྣར་》,བསྲུངས།,
,,41,5,《པེ་》《སྣར་》,ནས་འདུན།,
,,42,6,《པེ་》《སྣར་》,སྔོན།,
,,43,7,《པེ་》《སྣར་》,ཉིད།,
,,44,8,《པེ་》《སྣར་》,བརླབས།,
,,45,9,《པེ་》《སྣར་》,མའི།,
,104,46,1,《པེ་》《སྣར་》,ཀུན།,
,,47,2,《པེ་》《སྣར་》,རྫུན།,
,,48,3,《པེ་》《སྣར་》,རིགས།,
,,49,4,《པེ་》《སྣར་》,སྦྱང་།,
,,50,5,《སྣར་》,རིགས།,
,,51,6,《པེ་》《སྣར་》,བཞི་པོ།,
,105,52,1,《པེ་》《སྣར་》,ཀྱིས།,
,,53,2,《པེ་》《སྣར་》,ན་གརྫུ།,
,,54,3,《པེ་》《སྣར་》,ཤནྟི།,
,,,,,,
,,,,,,
,,,,,,
