མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ།,108,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའོ།།
,,3,2,《པེ་》《སྣར་》,པས།
,,4,3,《པེ་》,སྒྲལ།
,109,5,1,《པེ་》《སྣར་》,དེ།
,,6,2,《པེ་》《སྣར་》,ཀྱིས།
,,7,3,《པེ་》《སྣར་》,བསྒོམས།
,,8,4,《པེ་》《སྣར་》,རིག
,,9,5,《པེ་》《སྣར་》,ན།
,,10,6,《པེ་》《སྣར་》,པས།
,110,11,1,《པེ་》《སྣར་》,འདྲ།
,111,12,1,《པེ་》《སྣར་》,ཀྱི།
,,13,2,《པེ་》《སྣར་》,བརྟགས།
,,14,3,《པེ་》《སྣར་》,སོར་རང་གི།
,,15,4,《པེ་》《སྣར་》,ཡིན།
,112,16,1,《པེ་》《སྣར་》,གཞི།
,,17,2,《པེ་》《སྣར་》,སྒྲ།
,,18,3,《པེ་》《སྣར་》,གཞི།
,,19,4,《པེ་》《སྣར་》,དེ།
,,20,5,《པེ་》《སྣར་》,དགའ།
,,21,6,《པེ་》《སྣར་》,ཀྱི།
,,22,7,《པེ་》《སྣར་》,ཀྱིས།
,113,23,1,《པེ་》《སྣར་》,རྟོགས་བྱ་རྟོགས།
,,24,2,《པེ་》《སྣར་》,རྟོགས་བྱ་རྟོགས།
,,25,3,《པེ་》《སྣར་》,སྒོམ།
,,26,4,《པེ་》《སྣར་》,སྒོམ།
,,27,5,《ཅོ་》,གིས།
,114,28,1,《པེ་》《སྣར་》,དགའ་བ་ཡིན།
,115,29,1,《པེ་》《སྣར་》,པ།
,,30,2,《པེ་》《སྣར་》,བ།
,,31,3,《པེ་》《སྣར་》,ཡིས།
,,32,4,《པེ་》《སྣར་》,ཀྱིས།
,,33,5,《པེ་》《སྣར་》,བརྟེན།
,116,34,1,《པེ་》《སྣར་》,བདེག
,,35,2,《པེ་》《སྣར་》,གང་།
,,36,3,《པེ་》《སྣར་》,རྟེན།
,,37,4,《པེ་》《སྣར་》,གནས།
,,38,5,《པེ་》《སྣར་》,བསྒོམ།
,,39,6,《པེ་》《སྣར་》,པ།
,117,40,1,《པེ་》《སྣར་》,ལྟའང་།
,,41,2,《པེ་》《སྣར་》,བལྟམ།
,,42,3,《པེ་》《སྣར་》,སྐོར།
,,43,4,《པེ་》《སྣར་》,གྱིས།
,,44,5,《པེ་》《སྣར་》,ནས།
,,45,6,《པེ་》《སྣར་》,ཀྱིས།
,118,46,1,《པེ་》《སྣར་》,བརྟགས།
,,47,2,《པེ་》《སྣར་》,སྟེ།
,,48,3,《པེ་》《སྣར་》,སྒྲུབ།
,,49,4,《པེ་》《སྣར་》,པས།
,,50,5,《པེ་》《སྣར་》,ཕྲོགས།
,119,51,1,《པེ་》《སྣར་》,ཀྱིས།
,,52,2,《པེ་》《སྣར་》,ཨ།
,,53,3,《པེ་》《སྣར་》,པ།
