མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
རིམ་པ་ལྔ་པ།,129,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》རིམ་པ་ལྔ་པ་སློབ་དཔོན་ཆེན་པོ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པ་བཞུགས་སོ།།,
,,3,2,《པེ་》,གཞོན།,
,,4,3,《པེ་》《སྣར་》,སློབས།,
,,5,4,《པེ་》《སྣར་》,མཐའ།,
,130,6,1,《པེ་》《སྣར་》,བཟུང་།,
,,7,2,《པེ་》《སྣར་》,ད།,
,,8,3,《པེ་》《སྣར་》,གནས།,
,,9,4,《པེ་》《སྣར་》,ཡིས།,
,,10,5,《པེ་》《སྣར་》,ཀྱང་།,
,131,11,1,《སྣར་》,བཞག,
,,12,2,《པེ་》《སྣར་》,mབ།,
,,13,3,《པེ་》《སྣར་》,རྩོལ།,
,,14,4,《པེ་》《སྣར་》,བྱུང་།,
,,15,5,《པེ་》《སྣར་》,དག,
,,16,6,《པེ་》《སྣར་》,གཉིས་ཀ,
,132,17,1,《ཅོ་》,ཨཿ།,
,,18,2,《པེ་》《སྣར་》,ཡིས།,
,,19,3,《པེ་》《སྣར་》,མེ་ཏོག,
,133,20,1,《པེ་》《སྣར་》,གཅིངས།,
,,21,2,《པེ་》《སྣར་》,བཅིངས།,
,,22,3,《པེ་》《སྣར་》,ན།,
,,23,4,《པེ་》《སྣར་》,ཕྱིས།,
,,24,5,《པེ་》《སྣར་》,ལུས།,
,,25,6,《པེ་》《སྣར་》,མ།,
,,26,7,《པེ་》《སྣར་》,པ།,
,134,27,1,《པེ་》《སྣར་》,སྤངས།,
,,28,2,《པེ་》《སྣར་》,ཡི།,
,,29,3,《པེ་》《སྣར་》,ཡང་།,
,,30,4,《པེ་》《སྣར་》,གིས།,
,,31,5,《པེ་》《སྣར་》,ཡི།,
,135,32,1,《པེ་》《སྣར་》,སྟོང་།,
,,33,2,《པེ་》《སྣར་》,བར།,
,,34,3,《པེ་》《སྣར་》,ནི།,
,,35,4,《པེ་》《སྣར་》,བརྟེན།,
,,36,5,《པེ་》《སྣར་》,སྒྲུབ།,
,,37,6,《པེ་》《སྣར་》,འདས།,
,,38,7,《པེ་》《སྣར་》,ལ།,
,,39,8,《པེ་》,པ།,
,,40,9,《པེ་》《སྣར་》,ལོག,
,,41,10,《པེ་》《སྣར་》,སྟེགས།,
,136,42,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,,43,2,《པེ་》《སྣར་》,ཅན།,
,,44,3,《པེ་》《སྣར་》,གནས།,
,,45,4,《པེ་》《སྣར་》,ཀྱི།,
,,46,5,《པེ་》《སྣར་》,སྐུར།,
,,47,6,《པེ་》《སྣར་》,གིས།,
,137,48,1,《པེ་》《སྣར་》,པར།,
,,49,2,《པེ་》《སྣར་》《ཅོ་》,པར།,
,,50,3,《པེ་》《སྣར་》,བས།,
,,51,4,《པེ་》《སྣར་》,རྟོགས།,
,,52,5,《པེ་》《སྣར་》,རྟགས།,
,138,53,1,《པེ་》《སྣར་》,དགོས།,
,,54,2,《པེ་》《སྣར་》,གྲགས།,
,,55,3,《པེ་》《སྣར་》,ཞེས།,
,,56,4,《པེ་》《སྣར་》,ཀྱི།,
,,57,5,《པེ་》《སྣར་》,གི།,
,,58,6,《པེ་》《སྣར་》,བརྗེས་ངན།,
,139,59,1,《པེ་》《སྣར་》,བཙུམ།,
,,60,2,《པེ་》《སྣར་》,གྱིས།,
,,61,3,《པེ་》《སྣར་》,འབྱུང་།,
,140,62,1,《པེ་》《སྣར་》,ཡིས།,
,,63,2,《པེ་》《སྣར་》,གྱི།,
,,64,3,《པེ་》《སྣར་》,འདིར།,
,141,65,1,《པེ་》《སྣར་》,ཆེ།,
,,66,2,《པེ་》《སྣར་》,འདི།,
,142,67,1,《པེ་》《སྣར་》,ནི།,
,,68,2,《པེ་》,བཞན།,《སྣར་》,བཞིན།
,,69,3,《པེ་》《སྣར་》,དགའ།,
,,70,4,《པེ་》《སྣར་》,ལྷར།,
,143,71,1,《པེ་》《སྣར་》,ཚིག་བཤད་ཀྱིས།,
,,72,2,《པེ་》《སྣར་》,དང་།,
,,73,3,《པེ་》《སྣར་》,ཀྱིས།,
,,74,4,《སྣར་》,བཟོད།,
,,75,5,《པེ་》《སྣར་》,བ།,
,144,76,1,《པེ་》《སྣར་》,བཙུམས།,
,,77,2,《པེ་》《སྣར་》,སྤངས།,
,,78,3,《པེ་》《སྣར་》,mཔར།,
,,79,4,《པེ་》《སྣར་》,པས།,
,,80,5,《པེ་》《སྣར་》,བཞག,
,145,81,1,《པེ་》《སྣར་》,པ་ཉིད།,
,,82,2,《པེ་》《སྣར་》,mརིམ་པའི།,
,,83,3,《པེ་》《སྣར་》,pདང་།,
,146,84,1,《པེ་》《སྣར་》,བོས།,
,,85,2,《པེ་》《སྣར་》,བརླབས།,
,,86,3,《པེ་》《སྣར་》,བརླབས།,
,147,87,1,《པེ་》《སྣར་》,བཅིང་།,
,148,88,1,《པེ་》《སྣར་》,གྱིས།,
,149,89,1,《པེ་》《སྣར་》,རེགས།,
,,90,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,,91,3,《པེ་》《སྣར་》,གྱི།,
,,92,4,《པེ་》《སྣར་》,བསྒྲུབ།,
,150,93,1,《པེ་》《སྣར་》,རྩོམ།,
,,94,2,《པེ་》《སྣར་》,བསྟན།,
,,95,3,《པེ་》《སྣར་》,མ།,
,,96,4,《པེ་》《སྣར་》,སྒྲོལ།,
,,97,5,《པེ་》《སྣར་》,བཅད།,
,151,98,1,《པེ་》《སྣར་》,བཞག,
,,99,2,《པེ་》《སྣར་》,བ།,
,,100,3,《པེ་》《སྣར་》,ཕྱག་འཚལ།,
,,101,4,《སྣར་》,pཕྱག,
,152,102,1,《སྣར་》,pཕྱག,
,,103,2,《པེ་》《སྣར་》,བའི།,
,,104,3,《སྣར་》,mམ།,
,,105,4,《པེ་》《སྣར་》,མེད།,
,,106,5,《པེ་》,པར་ནི།,《སྣར་》,པར་ན།
,,107,6,《པེ་》《སྣར་》,གཉེར།,
,153,108,1,《སྣར་》,བསྟན།,
,,109,2,《པེ་》《སྣར་》,གཞག,
,,110,3,《སྣར་》,དེ།,
,,111,4,《པེ་》《སྣར་》,གཞིག,
,,112,5,《པེ་》《སྣར་》,དབུས།,
,,113,6,《པེ་》《སྣར་》,མཐའ།,
,,114,7,《པེ་》《སྣར་》,འགར།,
,,115,8,《པེ་》《སྣར་》,བལྟོས།,
,,116,9,《པེ་》《སྣར་》,ལྔའི་ནི།,
,154,117,1,《པེ་》《སྣར་》,བལྟ།,
,,118,2,《པེ་》《སྣར་》,གདོད།,
,,119,3,《པེ་》《སྣར་》《ཅོ་》,pམོ།,
,,120,4,《པེ་》《སྣར་》,པའི།,
,155,121,1,《པེ་》《སྣར་》,pནས།,
,,122,2,《པེ་》《སྣར་》,mདང་།,
,,123,3,《པེ་》《སྣར་》,གྱུར་ཤེས།,
,,124,4,《པེ་》,རིམ།,
,,125,5,《པེ་》《སྣར་》,གཞིག,
,156,126,1,《པེ་》《སྣར་》,དང་།,
,,127,2,《པེ་》《སྣར་》,འགྱུར།,
,,128,3,《པེ་》《སྣར་》,རྟོགས།,
