མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །འཕགས་པ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་པོ་ཅན་གྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཐམས་ཅད་རྫོགས་པ་ཞེས་བྱ་བ།,1545,2,1,《པེ་》《སྣར་》,དཔལ་གོས་སྔོན་གྱི་དཀྱིལ་ཆོག་སློབ་དཔོན་ནཱ་གཱརྫུ་ནས་མཛད་པ་བཞུགས།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ལམ་བ།,,,,,,
,,4,3,《པེ་》,ཏེ།,,,,,,
,1546,5,1,《པེ་》《སྣར་》,བཞག,,,,,,
,,6,2,《པེ་》《སྣར་》,བསྟིམ།,,,,,,
,,7,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,8,4,《པེ་》《སྣར་》,སྲུངས།,,,,,,
,,9,5,《པེ་》《སྣར་》,མ་ཡེ་ཧཱུཾ་ཛ།,,,,,,
,,10,6,《པེ་》《སྣར་》,ནཻ་རི་ཏེ་ཡེ་ཧཱུཾ་ཛ།,,,,,,
,,11,7,《པེ་》《སྣར་》,ཎ་ཡེ།,,,,,,
,,12,8,《པེ་》《སྣར་》,pཡེ།,,,,,,
,,13,9,《པེ་》《སྣར་》,བཻ་ར་ཡེ།,,,,,,
,,14,10,《པེ་》《སྣར་》,ཨི་ཤ་ན་ཡེ།,,,,,,
,,15,11,《པེ་》《སྣར་》,སུརྱ་ཙནྡྲ་ཡེ་ཧཱུཾ་ཛ།,,,,,,
,,16,12,《པེ་》《སྣར་》,བརླབ་སྟེ།,,,,,,
,,17,13,《པེ་》《སྣར་》,སླུ།,,,,,,
,1547,18,1,《པེ་》《སྣར་》,།། །།,,,,,,
,,19,2,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,20,3,《པེ་》《སྣར་》,།། །།,,,,,,
,,21,4,《པེ་》《སྣར་》,པོ་བརྐོ།,,,,,,
,,22,5,《པེ་》《སྣར་》,མཐས།,,,,,,
,,23,6,《པེ་》《སྣར་》,དག་བྱེད།,,,,,,
,,24,7,《པེ་》《སྣར་》,།། །།,,,,,,
,1548,25,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,26,2,《པེ་》《སྣར་》,དི་ནི་བཛྲི་བྷ་ཝ།,,,,,,
,,27,3,《པེ་》《སྣར་》,pས།,,,,,,
,,28,4,《པེ་》《སྣར་》,mབྱས།,,,,,,
,,29,5,《པེ་》《སྣར་》,།། །།,,,,,,
,,30,6,《པེ་》《སྣར་》,བཅུ།,,,,,,
,,31,7,《ཅོ་》,ན་དང་།,,,,,,
,,32,8,《པེ་》《སྣར་》,pགདབ་པ།,,,,,,
,,33,9,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,34,10,《པེ་》《སྣར་》,བཅུ།,,,,,,
,,35,11,《པེ་》《སྣར་》,།། །།,,,,,,
,1549,36,1,《པེ་》《སྣར་》,དྲི།,,,,,,
,,37,2,《པེ་》《སྣར་》,སྐུ།,,,,,,
,,38,3,《པེ་》《སྣར་》,mདག,,,,,,
,,39,4,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,40,5,《པེ་》《སྣར་》,པདྨ།,,,,,,
,,41,6,《པེ་》《སྣར་》,པདྨ།,,,,,,
,,42,7,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,43,8,《པེ་》《སྣར་》,བཞི།,,,,,,
,,44,9,《པེ་》《སྣར་》,བྱ།,,,,,,
,,45,10,《པེ་》《སྣར་》,དེ།,,,,,,
,1550,46,1,《པེ་》《སྣར་》,ཡི་གེ།,,,,,,
,,47,2,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,48,3,《པེ་》《སྣར་》,ཧ།,,,,,,
,,49,4,《པེ་》《སྣར་》,པ།,,,,,,
,,50,5,《པེ་》《སྣར་》,པ།,,,,,,
,,51,6,《པེ་》《སྣར་》,སྒོ།,,,,,,
,,52,7,《པེ་》《སྣར་》,mམ་གནས་པར།;《ཅོ་》,མ་གནས་པ།,,,,,
,,53,8,《པེ་》《སྣར་》,པས།,,,,,,
,,54,9,《པེ་》《སྣར་》,ནན།,,,,,,
,,55,10,《པེ་》《སྣར་》,སྥོ།,,,,,,
,,56,11,《པེ་》《སྣར་》,སྥོ།,,,,,,
,,57,12,《པེ་》《སྣར་》,ན་ཡ་ཀ་ནན།,,,,,,
,,58,13,《པེ་》《སྣར་》,གྷ་ན་ཛ་བིན་ཏན་ཏ།,,,,,,
,,59,14,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,60,15,《པེ་》《སྣར་》,པར།,,,,,,
,1551,61,1,《པེ་》《སྣར་》,བོ།,,,,,,
,,62,2,《པེ་》《སྣར་》,སྐུ།,,,,,,
,,63,3,《པེ་》《སྣར་》,རིགས།,,,,,,
,,64,4,《པེ་》《སྣར་》,བར།,,,,,,
,,65,5,《པེ་》《སྣར་》,ཤིང་།,,,,,,
,,66,6,《པེ་》《སྣར་》,རིགས།,,,,,,
,1552,67,1,《པེ་》《སྣར་》,དེ་ནས་བསམས།,,,,,,
,,68,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,69,3,《པེ་》《སྣར་》,འདབ་མ་བརྒྱད།,,,,,,
,,70,4,《པེ་》《སྣར་》,མའི།,,,,,,
,,71,5,《པེ་》《སྣར་》,རྐང་།,,,,,,
,,72,6,《པེ་》《སྣར་》,པས།,,,,,,
,,73,7,《པེ་》《སྣར་》,བཅིང་།,,,,,,
,,74,8,《པེ་》《སྣར་》,ལྷག,,,,,,
,1553,75,1,《པེ་》《སྣར་》《ཅོ་》,བྱུགས།,,,,,,
,,76,2,《པེ་》《སྣར་》,རོལ།,,,,,,
,,77,3,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,78,4,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,79,5,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,80,6,《སྣར་》,ཕོག,,,,,,
,,81,7,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,82,8,《པེ་》《སྣར་》,བུའི།,,,,,,
,,83,9,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,84,10,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,85,11,《པེ་》《སྣར་》,དང་།,,,,,,
,,86,12,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,87,13,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,1554,88,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,89,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,90,3,《པེ་》《སྣར་》,མ་ལ་འོད།,,,,,,
,,91,4,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,92,5,《པེ་》《སྣར་》,ནོ།,,,,,,
,,93,6,《པེ་》《སྣར་》,ནོ།,,,,,,
,,94,7,《པེ་》《སྣར་》,རྩི།,,,,,,
,,95,8,《པེ་》《སྣར་》,བསྲུང་།,,,,,,
,,96,9,《པེ་》《སྣར་》,པར་བྱ།,,,,,,
,,97,10,《པེ་》《སྣར་》,བྱ།,,,,,,
,,98,11,《པེ་》《སྣར་》,ལྟས།,,,,,,
,,99,12,《པེ་》《སྣར་》,བལྟ།,,,,,,
,1555,100,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,101,2,《པེ་》《སྣར་》,ཡི།,,,,,,
,,102,3,《པེ་》《སྣར་》,སྔགས།,,,,,,
,,103,4,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,104,5,《པེ་》,ཡིས།,,,,,,
,,105,6,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,106,7,《པེ་》《སྣར་》,ཁྱད།,,,,,,
,1556,107,1,《པེ་》《སྣར་》,རིག,,,,,,
,,108,2,《པེ་》《སྣར་》,བསྐོར།,,,,,,
,,109,3,《པེ་》《སྣར་》,ག,,,,,,
,,110,4,《པེ་》《སྣར་》,ལོ།,,,,,,
,,111,5,《པེ་》《སྣར་》,གུ།,,,,,,
,1557,112,1,《པེ་》《སྣར་》,བུ་དགོད།,,,,,,
,,113,2,《པེ་》《སྣར་》,སུ།,,,,,,
,,114,3,《པེ་》《སྣར་》,ཁུ།,,,,,,
,,115,4,《པེ་》《སྣར་》,ན།,,,,,,
,,116,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,117,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,118,7,《པེ་》《སྣར་》,པུཥྤའི།,,,,,,
,,119,8,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,120,9,《པེ་》《སྣར་》,བཞི།,,,,,,
,,121,10,《པེ་》《སྣར་》,ལ།,,,,,,
,,122,11,《པེ་》《སྣར་》,།། །།,,,,,,
,,123,12,《པེ་》《སྣར་》,pལས་འཕྲོ་དང་ནི་ཐུགས་རྗེས་འབྱུང་། །བཅོམ་ལྡན་རྡོ་རྗེ་འཛིན་པ་ཆེ། །ཐོགས་པ་མེད་པའི་སྐུ་བརྙེས་པ། །འདི་ཡི་ཚུལ་གྱིས་མངོན་པར་བསྒྲུབ། །སེམས་ཅན་སྐལ་བ་ངན་པ་ཡིས། །དེ་ཡིས་མིང་ཡང་ཐོས་མི་སྲིད། །སྤྱད་པར་འགྱུར་བ་སྨོས་ཅི་དགོས། །སང་གི་ཉིན་མོ་ཁྱེད་རྣམས་ཀུན། །དཀྱིལ་འཁོར་བཟང་པོ་མཐོང་བ་ཡིས། །བླ་མེད་མཆོག་ལ་རེག་པར་འགྱུར། །ཞེས་སྤྲོ་བ་བསྐྱེད་པའི་ཆོས་གཞན་ཡང་བཤད་པར་བྱའོ།། །།ནང་པར་སྔར་ནི་བློ་ཅན་ལངས། །རྨི་ལམ་ཅི་མཐོང་དྲི་བར་བྱ། །གོས་སྔོན་སྐུ་གཟུགས་མཐོང་བ་དང་། །,,,,,,
,1558,124,1,《པེ་》《སྣར་》,བསྒྲགས།,,,,,,
,,125,2,《པེ་》《སྣར་》,བསྐུལ།,,,,,,
,,126,3,《པེ་》《སྣར་》,བསྲེག,,,,,,
,,127,4,《པེ་》《སྣར་》,མྲྀ།,,,,,,
,,128,5,《པེ་》《སྣར་》,བསྒག,,,,,,
,,129,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,130,7,《པེ་》《སྣར་》,བསྐུལ།,,,,,,
,,131,8,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,132,9,《པེ་》《སྣར་》,སྐུལ།,,,,,,
,,133,10,《པེ་》《སྣར་》,པ་ཀུན། །ཡི་གེའི་གཟུགས་སུ་བླང་ཞིང་བསྲེག།,,,,,,
,1559,134,1,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,135,2,《པེ་》《སྣར་》,རིང་།,,,,,,
,,136,3,《པེ་》《སྣར་》,བཞི།,,,,,,
,,137,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,138,5,《པེ་》《སྣར་》,བཀབ།,,,,,,
,,139,6,《པེ་》《སྣར་》,pཔ་ནི།,,,,,,
,,140,7,《པེ་》《སྣར་》,མོ།,,,,,,
,1560,141,1,《པེ་》《སྣར་》,ཥིཉྩ།,,,,,,
,,142,2,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,143,3,《པེ་》《སྣར་》,ས་མ་ཏཱ།,,,,,,
,,144,4,《པེ་》《སྣར་》,ཥིཉྩ།,,,,,,
,,145,5,《པེ་》《སྣར་》,ན་མེད།,,,,,,
,,146,6,《པེ་》《སྣར་》,པྲ་ཏྱ་བཀྵེ་ཎ་ཨ་བྷི་ཥིཉྩ།,,,,,,
,,147,7,《པེ་》《སྣར་》,ཀྲྀ་ཏྱཱ་ནུ་ཥྵཱ་ཎ་ཨ་བྷི་ཥིཉྩ།,,,,,,
,,148,8,《པེ་》《སྣར་》,ཅི།,,,,,,
,,149,9,《པེ་》《སྣར་》,ཀྵུ་ཉ།,,,,,,
,,150,10,《པེ་》《སྣར་》,ཥིཉྩ།,,,,,,
,1561,151,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,152,2,《པེ་》《སྣར་》,རྡོར་འཛིན་ལག་ན།,,,,,,
,,153,3,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,154,4,《པེ་》《སྣར་》,ན།,,,,,,
,,155,5,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,156,6,《པེ་》《སྣར་》,སྨེ།,,,,,,
,,157,7,《པེ་》《སྣར་》,ཕྲལ།,,,,,,
,,158,8,《པེ་》,བཞུགས།,,,,,,
,,159,9,《པེ་》《སྣར་》,རྣམ།,,,,,,
,1562,160,1,《པེ་》《སྣར་》,གི།,,,,,,
,,161,2,《པེ་》《སྣར་》,བའི།,,,,,,
,,162,3,《པེ་》《སྣར་》,ལང་།,,,,,,
,,163,4,《པེ་》《སྣར་》,བྱུག,,,,,,
,,164,5,《པེ་》《སྣར་》,ན།,,,,,,
,,165,6,《པེ་》《སྣར་》,ཡི།,,,,,,
,1563,166,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,167,2,《པེ་》《སྣར་》,།། །།,,,,,,
,,168,3,《པེ་》《སྣར་》,བོ།,,,,,,
,1564,169,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,170,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,171,3,《པེ་》《སྣར་》,པ།,,,,,,
,,172,4,《པེ་》《སྣར་》,སྙེད།,,,,,,
,,173,5,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,174,6,《པེ་》《སྣར་》,ཡུམ།,,,,,,
,,175,7,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,176,8,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,177,9,《པེ་》《སྣར་》,གའི།,,,,,,
,,178,10,《པེ་》《སྣར་》,སྤྲད།,,,,,,
,,179,11,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,180,12,《པེ་》《སྣར་》,མེས།,,,,,,
,,181,13,《པེ་》《སྣར་》,ཚད་བཟུང་།,,,,,,
,1565,182,1,《པེ་》《སྣར་》,།། །།,,,,,,
,,183,2,《པེ་》《སྣར་》,བྱུ།,,,,,,
,,184,3,《པེ་》《སྣར་》,ལོ།,,,,,,
,1566,185,1,《པེ་》《སྣར་》,གི།,,,,,,
,,186,2,《པེ་》《སྣར་》,ཟུང་།,,,,,,
,,187,3,《པེ་》《སྣར་》,གི།,,,,,,
,,188,4,《པེ་》,བརྟག;《སྣར་》,རྟག,,,,,
,,189,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,190,6,《པེ་》《སྣར་》,དྲང་།,,,,,,
,1567,191,1,《པེ་》《སྣར་》,བསྐུལ།,,,,,,
,,192,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,193,3,《པེ་》《སྣར་》,བརྩམ།,,,,,,
,,194,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,195,5,《པེ་》,འགྲུབ།,,,,,,
,,196,6,《སྣར་》,གིས།,,,,,,
,,197,7,《པེ་》《སྣར་》,mལྡན།,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
