མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
རྟོག་པ་ལས་གསུངས་པའུ་ལྷ་མོ་རིགས་བྱེད་མའི་སྒྲུབ་པའི་ཐབས། ,210,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄༅།  །རྟོག་པ་ལས་གསུངས་པའི་ལྷ་མོ་རིག་བྱེད་སྒྲུབ་ཐབས་བཞུགས་སོ།།,
,,3,2,《པེ་》,ཀལྤ་ཌ་ཀུ་མ་ཀུ་རུ་ཀུལླེ།,《སྣར་》,ཀལ་བ་ཊ་ཀུ་རུ་ཀུ་རུ་ལེ།
,,4,3,《སྣར་》,རྟོགས།,
,,5,4,《པེ་》,རིགས་བྱེད།,《སྣར་》,རིག་བྱེད་མའི།
,,6,5,《པེ་》《སྣར་》,རིག,
,,7,6,《སྣར་》,གྱིས།,
,,8,7,《པེ་》,ནས། །དང་པོར།,《སྣར་》,ལོ། །དང་པོར།
,,9,8,《སྣར་》,འཐུན།,
,,10,9,《སྣར་》,མངོན།,
,,11,10,《སྣར་》,རིག,
,,12,11,《སྣར་》,རིག་པ།,
,,13,12,《སྣར་》,རིག,
,211,14,1,《སྣར་》,pགྱིས་འོད།,
,,15,2,《པེ་》,འཚལ།,
,,16,3,《སྣར་》,སོའི་སོ།,
,,17,4,《པེ་》,ཀྱིས་གཟུང་།།,《སྣར་》,ཀྱི་བཟུང་།།
,,18,5,《སྣར་》,གྱིས།,
,,19,6,《སྣར་》,mཉིད།,
,,20,7,《སྣར་》,ཉིད་བསྒོམས།,
,,21,8,《པེ་》,བྱིན་གྱིས།,《སྣར་》,བྱིན་གྱི།
,,22,9,《པེ་》,བ་ཨཱཏྨ་ཀོ་ཧཾ།,《སྣར་》,ཨད་མ་ཀོ་ཧཾ།
,,23,10,《སྣར་》,pལ།,
,,24,11,《སྣར་》,གྱིས།,
,,25,12,《པེ་》《སྣར་》,mདང་པོ།,
,,26,13,《སྣར་》,གྱིས།,
,,27,14,《སྣར་》,mལ།,
,,28,15,《སྣར་》,ཨུད་པ་ལ།,
,,29,16,《སྣར་》,ཞུགས།,
,,30,17,《སྣར་》,བརྒྱན་པ།,
,,31,18,《སྣར་》,བརྒྱན།,
,,32,19,《པེ་》《སྣར་》,པས།,
,,33,20,《སྣར་》,ཨུད་པ།,
,,34,21,《སྣར་》,pཏུ།,
,212,35,1,《སྣར་》,རིག,
,,36,2,《སྣར་》,mབོ།,
,,37,3,《པེ་》《སྣར་》,བ།,
,,38,4,《སྣར་》,ཚིགས།,
,,39,5,《སྣར་》,གྱི།,
,,40,6,《པེ་》《སྣར་》,mཡང་དག་པར།,
,,41,7,《སྣར་》,mགི།,
,,42,8,《སྣར་》,གཞུགས།,
,,43,9,《སྣར་》,འཛུབ།,
,,44,10,《པེ་》《སྣར་》,མོ་གཉིས་ཕྱེད།,
,,45,11,《སྣར་》,ལ།,
,,46,12,《སྣར་》,ཨུད་པ།,
,,47,13,《སྣར་》,རྗེ་ཕྱག་རྒྱ།,
,,48,14,《སྣར་》,སྲུང་།,
,,49,15,《པེ་》《སྣར་》,གསོལ།,
,,50,16,《སྣར་》,སྐུར།,
,,51,17,《པེ་》《སྣར་》,གྱིས།,
,,52,18,《སྣར་》,གྱིས།,
,,53,19,《སྣར་》,བསམས།,
,,54,20,《སྣར་》,གོ་རིམས།,
,,55,21,《སྣར་》,གཏན།,
,,56,22,《སྣར་》,བསྒོམས།,
,,57,23,《སྣར་》,ནས། ,
,213,58,1,《པེ་》《སྣར་》,pཟླ་བ།,
,,59,2,《པེ་》《སྣར་》,mལྷ་དང་།,
,,60,3,《པེ་》《སྣར་》,པའི།,
,,61,4,《སྣར་》,བསྒོམ།,
,,62,5,《པེ་》,ཀྱི་འཚེ།,《སྣར་》,ཀྱིས་འཚེ།
,,63,6,《པེ་》,བསྒོམ།,《སྣར་》,མ་བསྒོམ།
,,64,7,《སྣར་》,སྨིག,
,,65,8,《སྣར་》,mཔ།,
,,66,9,《སྣར་》,པའི་དངོས་གྲུབ།,
,,67,10,《སྣར་》,བཅིངས་ཏེ།,
,,68,11,《སྣར་》,གིས།,
,,69,12,《སྣར་》,སྟེ།,
,,70,13,《སྣར་》,གྲུབ།,
,,71,14,《པེ་》《སྣར་》,mན་བ་དང་།,
,,72,15,《སྣར་》,གྱིས།,
,,73,16,《པེ་》《སྣར་》,pསོང་།,
,,74,17,《སྣར་》,གཟུགས།,
,214,75,1,《པེ་》,ཀླུའི་སྒྲུབ།,《སྣར་》,ཀླུ་གྲུབ།
,,76,2,《པེ་》,ལོ་ཙ།,《སྣར་》,ལོཙྪ།
