མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།,918,2,,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,ཀུ་རུ་ལླེ།,,,,,,
,,4,3,《པེ་》《སྣར་》,འབྱུང།,,,,,,
,,5,4,《པེ་》《སྣར་》,རིག,,,,,,
,,6,5,《པེ་》《སྣར་》,རིག,,,,,,
,,7,6,《པེ་》《སྣར་》,ཞུགས།,,,,,,
,,8,7,《པེ་》《སྣར་》,པོར།,,,,,,
,,9,8,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,10,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,11,10,《པེ་》《སྣར་》,གིས།,,,,,,
,919,12,1,《སྣར་》,བསམ།,,,,,,
,,13,2,《སྣར་》,mམཆོད་པས།,,,,,,
,,14,3,《སྣར་》,ཡིད།,,,,,,
,,15,4,《སྣར་》,mབསྒོམ་པ་…...སྟོང་པ་ཉིད་དུ།,,,,,,
,,16,5,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,17,6,《སྣར་》,བྱ་སྟེ།,,,,,,
,,18,7,《སྣར་》,སྭཱ་བྷཱ་བ་ཨད་མ་ཀོ་ཧཾ།,,,,,,
,,19,8,《སྣར་》,ལས་ཨུད་པ།,,,,,,
,,20,9,《སྣར་》,དུ།,,,,,,
,,21,10,《པེ་》《སྣར་》,mཡིག,,,,,,
,,22,11,《སྣར་》,གྱིས།,,,,,,
,,23,12,《སྣར་》,ཀྱི།,,,,,,
,,24,13,《སྣར་》,ནང།,,,,,,
,,25,14,《སྣར་》,ལ་ཨུད་པ།,,,,,,
,,26,15,《པེ་》《སྣར་》,པ།,,,,,,
,,27,16,《སྣར་》,བརྒྱན།,,,,,,
,,28,17,《སྣར་》,བསམས།,,,,,,
,,29,18,《སྣར་》,ཨུད་པ་ལ།,,,,,,
,920,30,1,《པེ་》《སྣར་》,བརྒྱན།,,,,,,
,,31,2,《སྣར་》,mཟིན།,,,,,,
,,32,3,《པེ་》《སྣར་》,རིག,,,,,,
,,33,4,《སྣར་》,mན།,,,,,,
,,34,5,《སྣར་》,གསལ།,,,,,,
,,35,6,《སྣར་》,གྱིས།,,,,,,
,,36,7,《པེ་》,གཞུག་པར་བསྒོམ།;《སྣར་》,ཞུགས་པར་སྒོམ།,,,,,
,,37,8,《སྣར་》,གང།,,,,,,
,,38,9,《སྣར་》,འཛུབ།,,,,,,
,,39,10,《པེ་》,རབ་ཞུགས།;《སྣར་》,རབ་ཏུ་ཞུགས།,,,,,
,,40,11,《སྣར་》,ཨུད་པ།,,,,,,
,,41,12,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,42,13,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,43,14,《སྣར་》,གྱིས།,,,,,,
,,44,15,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,45,16,《སྣར་》,བཀའ།,,,,,,
,,46,17,《སྣར་》,བསྟེར།,,,,,,
,,47,18,《སྣར་》,བསླབས་པར།,,,,,,
,,48,19,《སྣར་》,mབུལ་བའང་མིན།,,,,,,
,,49,20,《སྣར་》,mཆ་མཉམ་མིན། །ཡང་དག་མ་ཡིན།,,,,,,
,,50,21,《སྣར་》,ཀུ་ལུ།,,,,,,
,,51,22,《སྣར་》,མཐུན།,,,,,,
,,52,23,《སྣར་》,རིམས་པས་འཁུར།,,,,,,
,,53,24,《སྣར་》,pབ།,,,,,,
,,54,25,《སྣར་》,འཕྲོ།,,,,,,
,921,55,1,《སྣར་》,སྒོམ།,,,,,,
,,56,2,《སྣར་》,བ།,,,,,,
,,57,3,《སྣར་》,གྱི།,,,,,,
,,58,4,《སྣར་》,སྙེེད་པར་འགྲུབ་བོ།,,,,,,
,,59,5,《སྣར་》,བྱི།,,,,,,
,,60,6,《སྣར་》,ཕྱུག,,,,,,
,,61,7,《སྣར་》,མི་འགྱུར།,,,,,,
,,62,8,《སྣར་》,པོ།,,,,,,
,,63,9,《སྣར་》,འདས།,,,,,,
,,64,10,《སྣར་》,སྲིད།,,,,,,
,922,65,1,《སྣར་》,mརྒས་པ་དང།,,,,,,
,,66,2,《སྣར་》,mརྣམས།,,,,,,
,,67,3,《སྣར་》,སྐུ།,,,,,,
