མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,270,2,1,《པེ་》《སྣར་》,ཞིབ་མོ་རྣམ་པར་འཐག་པའི་རབ་ཏུ་བྱེད་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།།    ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,བཅད།,,,,,,
,,4,3,《པེ་》《སྣར་》《ཅོ་》,རྣམས་ཀྱི།,,,,,,
,271,5,1,《པེ་》《སྣར་》,pཚད་མ་ནི།,,,,,,
,,6,2,《པེ་》《སྣར་》《ཅོ་》,བསྐྱེད།,,,,,,
,,7,3,《སྣར་》《ཅོ་》,པར།,,,,,,
,,8,4,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,9,5,《པེ་》《སྣར་》《ཅོ་》,པའམ།,,,,,,
,,10,6,《པེ་》《སྣར་》,mན།,,,,,,
,,11,7,《པེ་》《སྣར་》,pབར་འགྱུར།,,,,,,
,,12,8,《པེ་》《སྣར་》,སྨྲས།,,,,,,
,272,13,1,《པེ་》《སྣར་》,mཐལ་བར།,,,,,,
,,14,2,《པེ་》《སྣར་》,mརབ་ཏུ།,,,,,,
,,15,3,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,16,4,《པེ་》《སྣར་》,mན།,,,,,,
,,17,5,《པེ་》《སྣར་》《ཅོ་》,mཡོད་པ།,,,,,,
,273,18,1,《པེ་》《སྣར་》,ལྷས་བྱིན།,,,,,,
,,19,2,《པེ་》《སྣར་》,ན།,,,,,,
,,20,3,《པེ་》《སྣར་》,དེས་ན།,,,,,,
,,21,4,《པེ་》《སྣར་》,pམར།,,,,,,
,,22,5,《པེ་》《སྣར་》,རིགས།,,,,,,
,,23,6,《པེ་》《སྣར་》,དཔྱོད།,,,,,,
,,24,7,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,25,8,《པེ་》《སྣར་》,དཔེར།,,,,,,
,274,26,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,27,2,《པེ་》《སྣར་》,གསལ།,,,,,,
,,28,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,29,4,《པེ་》《སྣར་》,mམ།,,,,,,
,,30,5,《པེ་》《སྣར་》,བྱས་ཏེ།,,,,,,
,,31,6,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,32,7,《པེ་》《སྣར་》,གི།,,,,,,
,,33,8,《པེ་》《སྣར་》,པ།,,,,,,
,,34,9,《པེ་》《སྣར་》,mལ།,,,,,,
,275,35,1,《པེ་》《སྣར་》,གི།,,,,,,
,,36,2,《པེ་》《སྣར་》,ན།,,,,,,
,,37,3,《པེ་》《སྣར་》,ཆར།,,,,,,
,,38,4,《པེ་》《སྣར་》,དག,,,,,,
,,39,5,《པེ་》《སྣར་》,དགག,,,,,,
,,40,6,《པེ་》《སྣར་》,pཚད་མ་དང་།,,,,,,
,,41,7,《པེ་》《སྣར་》,དགག,,,,,,
,,42,8,《པེ་》《སྣར་》,དགག,,,,,,
,,43,9,《པེ་》《སྣར་》,ཏེ་དགག་པ།,,,,,,
,,44,10,《པེ་》《སྣར་》,འགོག,,,,,,
,,45,11,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,46,12,《པེ་》《སྣར་》,རྟག,,,,,,
,,47,13,《པེ་》《སྣར་》,mཔ།,,,,,,
,,48,14,《པེ་》《སྣར་》,pཔ།,,,,,,
,,49,15,《པེ་》《སྣར་》,དགག,,,,,,
,,50,16,《པེ་》《སྣར་》,པ།,,,,,,
,,51,17,《པེ་》《སྣར་》,pཞེས།,,,,,,
,276,52,1,《པེ་》《སྣར་》,པ།,,,,,,
,,53,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,54,3,《པེ་》《སྣར་》,དགག,,,,,,
,,55,4,《པེ་》《སྣར་》,ནམ།,,,,,,
,,56,5,《སྣར་》,འགག,,,,,,
,,57,6,《པེ་》《སྣར་》,སྨྲ་བར།,,,,,,
,,58,7,《པེ་》《སྣར་》,དགག,,,,,,
,,59,8,《པེ་》《སྣར་》,དགག,,,,,,
,,60,9,《པེ་》《སྣར་》,pདེ།,,,,,,
,,61,10,《པེ་》《སྣར་》,ནོ།,,,,,,
,,62,11,《པེ་》《སྣར་》,འཇིག,,,,,,
,,63,12,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,64,13,《པེ་》《སྣར་》,བསལ།,,,,,,
,277,65,1,《པེ་》《སྣར་》,འདིར།,,,,,,
,,66,2,《པེ་》《སྣར་》,ད།,,,,,,
,,67,3,《པེ་》《སྣར་》,ནས།,,,,,,
,,68,4,《པེ་》《སྣར་》,pདབང་པོ་དང་།,,,,,,
,,69,5,《པེ་》《སྣར་》,pམིག་གི།,,,,,,
,,70,6,《པེ་》《སྣར་》,དེའི།,,,,,,
,,71,7,《པེ་》《སྣར་》,འགྲེལ།,,,,,,
,,72,8,《པེ་》《སྣར་》,མངོན།,,,,,,
,,73,9,《པེ་》《སྣར་》,དེས།,,,,,,
,,74,10,《པེ་》《སྣར་》,mདེ།,,,,,,
,278,75,1,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,76,2,《པེ་》《སྣར་》,pམ།,,,,,,
,,77,3,《པེ་》《སྣར་》,གཞན།,,,,,,
,,78,4,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,79,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,80,6,《པེ་》《སྣར་》,མི།,,,,,,
,,81,7,《པེ་》《སྣར་》,mཔ།,,,,,,
,,82,8,《པེ་》《སྣར་》,mམ།,,,,,,
,279,83,1,《པེ་》《སྣར་》,འཕྲུག,,,,,,
,,84,2,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,85,3,《པེ་》《སྣར་》,ལྟོས།,,,,,,
,,86,4,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,87,5,《པེ་》《སྣར་》,pལ།,,,,,,
,,88,6,《པེ་》《སྣར་》,ནི།,,,,,,
,280,89,1,《པེ་》《སྣར་》,གཅིག,,,,,,
,,90,2,《པེ་》《སྣར་》,mབོ།,,,,,,
,,91,3,《པེ་》,mཔར་མ་སྐྱེས་པའི་དགོས།,,,,,,
,,92,4,《པེ་》《སྣར་》,pན།,,,,,,
,,93,5,《པེ་》《སྣར་》,སྣལ་མ།,,,,,,
,,94,6,《པེ་》《སྣར་》,འཇག་མ།,,,,,,
,,95,7,《པེ་》《སྣར་》,གིས།,,,,,,
,,96,8,《པེ་》《སྣར་》,དཔྱོད།,,,,,,
,,97,9,《པེ་》《སྣར་》,mཉིད།,,,,,,
,281,98,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,99,2,《པེ་》《སྣར་》,pརོ།,,,,,,
,,100,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,101,4,《པེ་》《སྣར་》,པས།,,,,,,
,,102,5,《པེ་》《སྣར་》,ལས་ཀྱང་།,,,,,,
,,103,6,《པེ་》《སྣར་》,ལས།,,,,,,
,,104,7,《པེ་》《སྣར་》,མཐའ།,,,,,,
,,105,8,《པེ་》《སྣར་》,mགལ་ཏེ་ཐོག་མ་མ་གྲུབ་ན་དབུས་དང་མཐའ་གཉིས་མ་གྲུབ་པོ།།  ,,,,,,
,,106,9,《པེ་》《སྣར་》,སྨྲ་བ།,,,,,,
,,107,10,《པེ་》《སྣར་》,mམ།,,,,,,
,282,108,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,109,2,《པེ་》《སྣར་》,རྣམས་ཀྱང་།,,,,,,
,,110,3,《པེ་》《སྣར་》,ཅན།,,,,,,
,,111,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,112,5,《པེ་》《སྣར་》,མ།,,,,,,
,,113,6,《པེ་》《སྣར་》,ཞིག,,,,,,
,,114,7,《པེ་》《སྣར་》,pཅན།,,,,,,
,,115,8,《པེ་》《སྣར་》,རྣམས་ལ།,,,,,,
,,116,9,《པེ་》《སྣར་》,mལྟར།,,,,,,
,,117,10,《པེ་》《སྣར་》,mན།,,,,,,
,,118,11,《པེ་》《སྣར་》,pཚོགས་པ།,,,,,,
,,119,12,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,120,13,《སྣར་》,སྟེ།,,,,,,
,283,121,1,《པེ་》《སྣར་》,ཅིག,,,,,,
,,122,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,123,3,《པེ་》《སྣར་》,མར།,,,,,,
,,124,4,《པེ་》《སྣར་》,pའབྱིན་པ།,,,,,,
,,125,5,《པེ་》《སྣར་》,ཅིག,,,,,,
,,126,6,《པེ་》《སྣར་》,ག་ལས་ཞེ།,,,,,,
,,127,7,《པེ་》《སྣར་》,ཅིག་ལའང་ཁའི།,,,,,,
,284,128,1,《པེ་》《སྣར་》,བ།,,,,,,
,,129,2,《པེ་》《སྣར་》,pདང་གཏན་ཚིགས་གཞན་ཡིན་ནམ་གཞན་ཡིན་ནམ་གཞན་ཡིན་པ་ཡིན་གྲང་།   གལ་ཏེ་གཞན་ཉིད་ན་ཅི་ཞིག་འཐོབ་པར་འགྱུར།   དམ་བཅའ་བ་ནི་སྣམ་བུ་དཀར་པོ་ཉིད་ཡིན་པའོ།   །གཞན་ཡང་གཏན་ཚིགས་གང་ཡིན་ཞེ་ན།  ནག་པོ་ཉིད་ཀྱི་ཕྱིར་རོ།     །འདོད་པ་མ་ཡིན་ཏེ།   གང་གི་ཕྱིར་དཀར་པོ་ཉིད་ནི་སྒྲུབ་བྱེད་ནག    ,,,,,,
,,130,3,《པེ་》《སྣར་》,pགཞན།,,,,,,
,,131,4,《པེ་》《སྣར་》,པའོ།,,,,,,
,,132,5,《སྣར་》,ཚིག,,,,,,
