མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,331,2,1,《པེ་》《སྣར་》,རྩོད་པ་བཟློག་པའི་འགྲེལ་པ་སློབ་དཔོན་ནཱ་གཱ་རྫུ་ནས་མཛད་པ་བཞུགས་སོ།     །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,4,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,5,4,《པེ་》《སྣར་》,pདེ།,,,,,,
,332,6,1,《པེ་》《སྣར་》,mམ།,,,,,,
,,7,2,《པེ་》《སྣར་》,mརྩེ།,,,,,,
,,8,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,9,4,《པེ་》《སྣར་》,བཟློག,,,,,,
,,10,5,《པེ་》《སྣར་》,མི་ནུས་ལ།,,,,,,
,,11,6,《པེ་》《སྣར་》,བཅད།,,,,,,
,,12,7,《པེ་》《སྣར་》,བཟློག,,,,,,
,,13,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,333,14,1,《སྣར་》,pཞེ་ན།,,,,,,
,,15,2,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,16,3,《པེ་》《སྣར་》,ཚིགས།,,,,,,
,,17,4,《པེ་》《སྣར་》,ལ།  སྟོང་པའི་ཕྱིར་དེས།,,,,,,
,,18,5,《པེ་》《སྣར་》,pམ།,,,,,,
,,19,6,《པེ་》《སྣར་》,pནོ།,,,,,,
,,20,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,21,8,《པེ་》《སྣར་》,ན།  གང་གི།,,,,,,
,,22,9,《པེ་》《སྣར་》《ཅོ་》,བསྡུས།,,,,,,
,334,23,1,《སྣར་》,mཁ་ཅིག་ནི་སྟོང་།,,,,,,
,,24,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,25,3,《པེ་》《སྣར་》,པ་ན་སྒྲ་དེས་སྒྲ་དེ་བཟློག,,,,,,
,,26,4,《པེ་》《སྣར་》,བཟློག,,,,,,
,,27,5,《པེ་》《སྣར་》,mསྙམ་ན།,,,,,,
,,28,6,《པེ་》《སྣར་》,དེ།,,,,,,
,,29,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,30,8,《པེ་》《སྣར་》,mསྒྲ།,,,,,,
,,31,9,《པེ་》《སྣར་》,ན་ཡང་།,,,,,,
,335,32,1,《པེ་》《སྣར་》,mའདི།,,,,,,
,,33,2,《པེ་》《སྣར་》,pདེ་ལ།,,,,,,
,,34,3,《པེ་》《སྣར་》,བཟློག,,,,,,
