མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
འཕགས་པ་ག་ཡ་མགོའི་རི་ཞེས་བྱ་བའི་མདོའི་རྣམ་པར་བཤད་པ།,932,2,1,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ ༄། །ག་ཡ་མགོའི་རིའི་མདོའི་རྣམ་པར་བཤད་པ་དབྱིག་གཉེན་གྱིས་མཛད་པ་བཞུགས། ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,གཽ།
,,4,3,《པེ་》《སྣར་》,རྟོག
,933,5,1,《པེ་》《སྣར་》,གཟུང་།
,,6,2,《སྣར་》,བསྡུད།
,,7,3,《སྣར་》,པར།
,,8,4,《པེ་》《སྣར་》,པའོ།
,,9,5,《པེ་》《སྣར་》,བརྟགས།
,,10,6,《པེ་》《སྣར་》,ཀྱིས།
,,11,7,《པེ་》《སྣར་》,མོངས།
,,12,8,《པེ་》《སྣར་》,mའདི།
,934,13,1,《པེ་》《སྣར་》,པར།
,,14,2,《པེ་》《སྣར་》,སྟོན།
,,15,3,《པེ་》《སྣར་》,ལ།
,,16,4,《པེ་》《སྣར་》,ཀྱིས།
,,17,5,《པེ་》《སྣར་》,བརྟགས།
,,18,6,《པེ་》《སྣར་》,རིག
,,19,7,《སྣར་》,པར།
,935,20,1,《པེ་》《སྣར་》,ཀྱིས།
,,21,2,《པེ་》《སྣར་》,ཀྱིས།
,936,22,1,《སྣར་》,བརྟགས།
,,23,2,《པེ་》《སྣར་》,པར།
,,24,3,《པེ་》《སྣར་》,mདང་བ།
,,25,4,《པེ་》《སྣར་》,གྱིས།
,,26,5,《པེ་》《སྣར་》,mཔ།
,,27,6,《པེ་》《སྣར་》,དེ།
,,28,7,《པེ་》《སྣར་》,དེ།
,937,29,1,《པེ་》《སྣར་》,པར།
,,30,2,《པེ་》《སྣར་》,པ།
,,31,3,《པེ་》《སྣར་》,ལས།
,,32,4,《པེ་》《སྣར་》,གཟུང་།
,,33,5,《སྣར་》,རྟོགས།
,,34,6,《པེ་》《སྣར་》,བརྟེན།
,938,35,1,《པེ་》《སྣར་》,བཞི།
,,36,2,《པེ་》《སྣར་》,pཀྱི།
,,37,3,《པེ་》《སྣར་》,བསྒྲུབ།
,,38,4,《པེ་》《སྣར་》,mལ།
,,39,5,《པེ་》《སྣར་》,mཔ།
,,40,6,《པེ་》《སྣར་》,གྱིས།
,939,41,1,《སྣར་》,གཞིན།
,,42,2,《པེ་》《སྣར་》,རྟོག
,,43,3,《སྣར་》,བསྒོས།
,,44,4,《པེ་》《སྣར་》,རྟོག
,,45,5,《པེ་》《སྣར་》,པའི།
,,46,6,《སྣར་》,བསླབས།
,,47,7,《པེ་》《སྣར་》,བསྒོམ།
,,48,8,《སྣར་》,པས།
,940,49,1,《སྣར་》,གིས།
,,50,2,《པེ་》《སྣར་》,པར།
,,51,3,《པེ་》《སྣར་》,བ།
,941,52,1,《པེ་》《སྣར་》,ཀྱི།
,,53,2,《པེ་》《སྣར་》,pཔ་མེད།
,,54,3,《པེ་》《སྣར་》,mདུ།
,,55,4,《པེ་》《སྣར་》,པ་ལས།
,,56,5,《སྣར་》,ཀྱིས།
,,57,6,《པེ་》《སྣར་》,པར།
,942,58,1,《པེ་》《སྣར་》,པ།
,,59,2,《པེ་》《སྣར་》,ངུས།
,,60,3,《པེ་》《སྣར་》,ཀྱིས།
,,61,4,《པེ་》,ཀྱི།
,,62,5,《པེ་》《སྣར་》,བསྒྱུར།
,,63,6,《སྣར་》,འཇིག
,,64,7,《པེ་》《སྣར་》,pམངོན་པས།
,943,65,1,《པེ་》《སྣར་》,པར།
,,66,2,《སྣར་》,ཆུབ་དུ།
,,67,3,《པེ་》《སྣར་》,རྟོགས།
,944,68,1,《སྣར་》,པའོ།
,,69,2,《སྣར་》,mཡང་།
,,70,3,《པེ་》《སྣར་》,བསླབས།
,,71,4,《པེ་》《སྣར་》,mབསྟན་པ་རྣམ་པར་དག་པ་དང་།
,945,72,1,《པེ་》《སྣར་》,ཞུས།
,,,,,,,,,,
