མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དོན་གསང་བ་རྣམ་པར་ཕྱེ་བ་བསྡུས་ཏེ་བཤད་པ།,782,2,1,《པེ་》《སྣར་》,༄༅། །ཐེག་བསྡུས་གནས་དང་པོའི་བཤད་པ་དོན་གསང་བ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,བི་བྲྀཏགཱུཌྷཱ།;《ཅོ་》,བི་བྲྀཏྟི་གུ་ཧྱཱ།,,,,,
,,4,3,《སྣར་》,མཐུན།,,,,,,
,,5,4,《སྣར་》,མཐུན།,,,,,,
,,6,5,《པེ་》,mདང་།,,,,,,
,,7,6,《པེ་》《སྣར་》,བཏགས།,,,,,,
,783,8,1,《སྣར་》,བཞུགས།,,,,,,
,,9,2,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,,10,3,《སྣར་》,བཞུགས།,,,,,,
,,11,4,《སྣར་》,བཞུགས།,,,,,,
,,12,5,《པེ་》《སྣར་》,pནི།,,,,,,
,,13,6,《པེ་》《སྣར་》,pདེ་ནི།,,,,,,
,,14,7,《ཅོ》,ཉིད།,,,,,,
,,15,8,《པེ་》《སྣར་》,པ།,,,,,,
,,16,9,《པེ་》《སྣར་》,mདཔའ།,,,,,,
,,17,10,《པེ་》《སྣར་》,pལ།,,,,,,
,,18,11,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,784,19,1,《པེ་》《སྣར་》,དག,,,,,,
,,20,2,《པེ་》《སྣར་》,བསོད།,,,,,,
,,21,3,《སྣར་》,ཀྱིས།,,,,,,
,,22,4,《པེ་》《སྣར་》,ན།,,,,,,
,,23,5,《སྣར་》,གིས།,,,,,,
,,24,6,《སྣར་》,གྱིས།,,,,,,
,,25,7,《པེ་》《སྣར་》,པ།,,,,,,
,,26,8,《སྣར་》,ཀྱིས།,,,,,,
,785,27,1,《སྣར་》,ཐུན།,,,,,,
,,28,2,《སྣར་》,ཀྱིས།,,,,,,
,,29,3,《པེ་》,ལྟ་ན།;《སྣར་》,ལྟ།,,,,,
,,30,4,《སྣར་》,མཆོག,,,,,,
,,31,5,《པེ་》《སྣར་》,སྤྱིའི།,,,,,,
,,32,6,《པེ་》《སྣར་》,སྤྱིའི།,,,,,,
,,33,7,《པེ་》,གཙོར།;《སྣར་》,བཙོར།,,,,,
,786,34,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,35,2,《པེ་》,གཙོར།;《སྣར་》,བཙོར།,,,,,
,,36,3,《སྣར་》,གྱིས།,,,,,,
,,37,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,38,5,《སྣར་》,གྱིས།,,,,,,
,,39,6,《སྣར་》,མཆོད།,,,,,,
,,40,7,《པེ་》《སྣར་》,mན།,,,,,,
,,41,8,《པེ་》《སྣར་》,བྱེད།,,,,,,
,,42,9,《པེ་》《སྣར་》,mཔར་དུ།,,,,,,
,,43,10,《པེ་》《སྣར་》,ཞེས་བྱ་བ།,,,,,,
,787,44,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,45,2,《སྣར་》,གྱིས།,,,,,,
,,46,3,《སྣར་》,mརང་།,,,,,,
,,47,4,《སྣར་》,གྱིས།,,,,,,
,,48,5,《པེ་》《སྣར་》,pལ།,,,,,,
,,49,6,《སྣར་》,pཔ།,,,,,,
,,50,7,《པེ་》《སྣར་》,pགནས།,,,,,,
,788,51,1,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,52,2,《སྣར་》,གིས།,,,,,,
,,53,3,《པེ་》《སྣར་》,mམ།,,,,,,
,,54,4,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,55,5,《པེ་》,pདེ།,,,,,,
,,56,6,《སྣར་》,པ།,,,,,,
,,57,7,《སྣར་》,ཀྱིས།,,,,,,
,,58,8,《ཅོ་》,དཀྱིས།,,,,,,
,,59,9,《པེ་》《སྣར་》,སྤྱད།,,,,,,
,789,60,1,《སྣར་》,ཀྱི།,,,,,,
