མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
༄༅། །འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,662,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་དབུའི་མཚན་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,བརྟེན།,
,,4,3,《པེ་》《སྣར་》,སྲུངས།,
,,5,4,《པེ་》《སྣར་》,འགྲན།,
,,6,5,《པེ་》《སྣར་》,འདྲའི།,
,,7,6,《པེ་》《སྣར་》,རིག,
,,8,7,《པེ་》《སྣར་》,གསད་པར།,
,,9,8,《པེ་》《སྣར་》,མི།,
,,10,9,《པེ་》《སྣར་》,ཡི། །རོ་མྱག་པ།,
,,11,10,《སྣར་》,ཡིས།,
,663,12,1,《པེ་》《སྣར་》,བུང་བ་དྲི་ཡི།,
,,13,2,《པེ་》《སྣར་》,བརླག,
,,14,3,《པེ་》《སྣར་》,pསྐྱེས་བུ་དག་ནི་རེ་རེ་ཡིས། །,
,,15,4,《སྣར་》,mབ།,
,,16,5,《པེ་》《སྣར་》,pལྟར།,
,,17,6,《པེ་》《སྣར་》,pདགེ་སློང་།,,
,,18,7,《པེ་》《སྣར་》,mབསྒྱུར་ཅིང་།,,
