མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།,681,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,བསྒོམས།,
,,4,3,《པེ་》《སྣར་》,mདག,
,,5,4,《པེ་》《སྣར་》,pཔ།,
,,6,5,《པེ་》《སྣར་》,སྤོང་།,
,682,7,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,8,2,《པེ་》《སྣར་》,བསྐྱེད།,
,683,9,1,《པེ་》《སྣར་》,བསྟན་ཏོ།,
,,10,2,《པེ་》《སྣར་》,པ།,
,,11,2,《པེ་》,བརྟན།,《སྣར་》,ས་བསྟན།
,,12,4,《པེ་》《སྣར་》,ཐག,
,,13,5,《པེ་》《སྣར་》,བརྒྱུག,
,,14,6,《པེ་》《སྣར་》,རྟོགས།,
,,15,7,《པེ་》《སྣར་》,པར།,
,684,16,1,《པེ་》《སྣར་》,རྣམ།,
,,17,2,《པེ་》,ལས།,
,,18,3,《པེ་》,mསྡུག་བསྔལ་གྱིས།,《སྣར་》,སྡུག་བསྔལ་གྱི།
,,19,4,《པེ་》《སྣར་》,pསྡུག་བསྔལ་གྱི།,
,,20,5,《པེ་》《སྣར་》,གྱི།,
,685,21,1,《པེ་》《སྣར་》,བས།,
,,22,2,《པེ་》《སྣར་》《ཅོ་》,pབ།,
,,23,3,《པེ་》《སྣར་》,བསྐྱེད།,
,,24,4,《པེ་》《སྣར་》,མོས།,
,686,25,1,《པེ་》《སྣར་》,mཡང་།,
,,26,2,《པེ་》《སྣར་》,ལྟར།,
,,27,3,《པེ་》《སྣར་》,བའི།,
,,28,4,《པེ་》《སྣར་》,pཕྱིར།,
,,29,5,《པེ་》《སྣར་》,mདག,
,,30,6,《པེ་》,གྲེའུ།,《སྣར་》,གྲེའུའོ།
,,31,7,《སྣར་》,སྟེན།,
,,32,8,《པེ་》《སྣར་》,རྟོགས་སོ།,
,,33,9,《པེ་》《སྣར་》,པས།,
,,34,10,《པེ་》,བཞག་གི་བདེན་པ།,《སྣར་》,བཞག་གི་བདེ་བ།
,,35,11,《པེ་》《སྣར་》,བལྟ།,
,687,36,1,《པེ་》《སྣར་》,པའི།,
,,37,2,《པེ་》《སྣར་》,བལྟ།,
,,38,3,《པེ་》《སྣར་》,བསྐྱེད།,
,688,39,1,《པེ་》《སྣར་》,གྱུར་པས།,
,,40,2,《པེ་》《སྣར་》,དེ།,
,,41,3,《པེ་》,བསྐྱེད།,
,,42,4,《པེ་》《སྣར་》,mཔ།,
,689,43,1,《པེ་》《སྣར་》,ཀྱིས།,
,,44,2,《པེ་》《སྣར་》,ལས།,
,,45,3,《པེ་》《སྣར་》,འགྱུར།,
,690,46,1,《པེ་》《སྣར་》,pམ།,
,,47,2,《སྣར་》,འདི་ཡི།,
,,48,3,《པེ་》《སྣར་》,pནི།,
,,49,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,50,5,《པེ་》《སྣར་》,བདེན་པར།,,,,,,
,,51,6,《པེ་》《སྣར་》,མྱང་།,,,,,,
,,52,7,《པེ་》,སྙམ།,,,,,,
,691,53,1,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,54,2,《པེ་》《སྣར་》,pདེ་ལས།,,,,,,
,,55,3,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,56,4,《པེ་》《སྣར་》,པ།,,,,,,
,,57,5,《པེ་》,སྐྱེ་བ།,《སྣར་》,སྐྱེ་བོ།,,,,,
,,58,6,《པེ་》《སྣར་》,བ།,,,,,,
,,59,7,《པེ་》《སྣར་》,མྱོང་།,,,,,,
,,60,8,《པེ་》《སྣར་》,ཆོས་སྐྱེ་བར་ཡང་།,,,,,,
,692,61,1,《པེ་》《སྣར་》,གོང་།,,,,,,
,,62,2,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,63,3,《པེ་》《སྣར་》,pནི།,,,,,,
,,64,4,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,65,5,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,66,6,《པེ་》《སྣར་》,ནས།,,,,,,
,,67,7,《པེ་》《སྣར་》,ནས།,,,,,,
,,68,8,《པེ་》,pདེ།,,,,,,
,,69,9,《པེ་》《སྣར་》,མེད།,,,,,,
,,70,10,《པེ་》《སྣར་》,mནི་མ་ཡིན་པ།,,,,,,
,693,71,1,《པེ་》《སྣར་》,གི།,,,,,,
,,72,2,《པེ་》《སྣར་》,སྤྲོད།,,,,,,
,,73,3,《སྣར་》,pདེ།,,,,,,
,,74,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,75,5,《པེ་》《སྣར་》,སྲེད།,,,,,,
,694,76,1,《པེ་》《སྣར་》,mལ།,,,,,,
