མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,909,2,1,《པེ་》,༄། །འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ་བཞུགས་སོ། ,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ལ།,,,,,,
,910,4,1,《པེ་》《སྣར་》,མི།,,,,,,
,,5,2,《པེ་》,mབའི།,,,,,,
,,6,3,《པེ་》《སྣར་》,mའདི།,,,,,,
,,7,4,《པེ་》《སྣར་》,ཏོ།།,,,,,,
,,8,5,《པེ་》《སྣར་》,གིས།,,,,,,
,,9,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,10,7,《པེ་》《སྣར་》,བའི།,,,,,,
,911,11,1,《པེ་》《སྣར་》,pནི།,,,,,,
,,12,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,13,3,《པེ་》《སྣར་》,གིས།,,,,,,
,912,14,1,《སྣར་》,སྡུས།,,,,,,
,,,,,,,,,,
