མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །ཚད་མ་རྣམ་པར་ངེས་པ་བཞུགས་སོ།།,614,2,1,,,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》《པེ་》《སྣར་》ལྟར་བཀོད།
,,3,2,《ཅོ་》,བཟུང་།,,,,,,
,,4,3,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,5,4,《པེ་》《སྣར་》,རྒྱས།,,,,,,
,,6,5,《པེ་》《སྣར་》,སྔོན།,,,,,,
,,7,6,《སྣར་》,pཔ།,,,,,,
,,8,7,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,9,8,《པེ་》《སྣར་》,དཔྱད།,,,,,,
,615,10,1,《སྣར་》,ནི།,,,,,,
,,11,2,《པེ་》《སྣར་》,mརོ།,,,,,,
,,12,3,《པེ་》,pམ།;《སྣར་》,pཡང་མ།,,,,,
,,13,4,《པེ་》《སྣར་》,mཏུ།,,,,,,
,616,14,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,15,2,《པེ་》《སྣར་》,mདོན།,,,,,,
,,16,3,《པེ་》《སྣར་》,mཏེ།,,,,,,
,,17,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,18,5,《པེ་》《སྣར་》,mགཞན།,,,,,,
,,19,6,《པེ་》《སྣར་》,པའི།,,,,,,
,,20,7,《པེ་》《སྣར་》,གིས་སྒྲུབ་པ།,,,,,,
,,21,8,《པེ་》《སྣར་》,mདང་།,,,,,,
,,22,9,《པེ་》《སྣར་》,དང་།,,,,,,
,617,23,1,《པེ་》《སྣར་》,བསླུ།,,,,,,
,,24,2,《པེ་》《སྣར་》,mནོ།,,,,,,
,,25,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,26,4,《པེ་》《སྣར་》,བསལ།,,,,,,
,,27,5,《པེ་》《སྣར་》,mམ།,,,,,,
,,28,6,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,29,7,《པེ་》《སྣར་》,གྱི།,,,,,,
,,30,8,《པེ་》《སྣར་》,ཆོད།,,,,,,
,,31,9,《པེ་》《སྣར་》,pམི།,,,,,,
,618,32,1,《པེ་》《སྣར་》,བསླུ།,,,,,,
,,33,2,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,34,3,《པེ་》《སྣར་》,pཐམས་ཅད།,,,,,,
,,35,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,36,5,《པེ་》《སྣར་》,འཁྲུལ།,,,,,,
,619,37,1,《ཅོ་》,གྱིས།,,,,,,
,,38,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,39,3,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,40,4,《པེ་》《སྣར་》,mརོ།,,,,,,
,,41,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,42,6,《པེ་》《སྣར་》,ཆུགས།,,,,,,
,,43,7,《པེ་》《སྣར་》,mམ།,,,,,,
,,44,8,《པེ་》《སྣར་》,mདང་།,,,,,,
,,45,9,《པེ་》《སྣར་》,པར།,,,,,,
,620,46,1,《པེ་》《སྣར་》,ཉེས་པར།,,,,,,
,,47,2,《པེ་》《སྣར་》,pནི།,,,,,,
,,48,3,《པེ་》《སྣར་》,མེད།,,,,,,
,,49,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,50,5,《པེ་》《སྣར་》,པ།,,,,,,
,,51,6,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,52,7,《པེ་》《སྣར་》,རྟོག,,,,,,
,,53,8,《པེ་》《སྣར་》,སྡོམ་བྱས་ན།,,,,,,
,,54,9,《པེ་》《སྣར་》,པས་འཛིན་པས།,,,,,,
,,55,10,《པེ་》《སྣར་》,དབྱུག,,,,,,
,,56,11,《སྣར་》,pཔ།,,,,,,
,,57,12,《པེ་》《སྣར་》,དོ།།,,,,,,
,621,58,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,59,2,《སྣར་》,pཔ།,,,,,,
,,60,3,《པེ་》《སྣར་》,བསླད།,,,,,,
,,61,4,《པེ་》《སྣར་》,རྟོག,,,,,,
,,62,5,《སྣར་》,ཆོད་པ།,,,,,,
,,63,6,《སྣར་》,གཙོ་བོ།,,,,,,
,,64,7,《ཅོ་》,རྟོགས།,,,,,,
,622,65,1,《པེ་》《སྣར་》,རེག,,,,,,
,,66,2,《པེ་》《སྣར་》,ལོག,,,,,,
,,67,3,《སྣར་》,ན།,,,,,,
,,68,4,《པེ་》,mརོ།,,,,,,
,,69,5,《པེ་》,ན།,,,,,,
,623,70,1,《པེ་》《སྣར་》,པ།,,,,,,
,,71,2,《པེ་》《སྣར་》,ལྡོག,,,,,,
,,72,3,《པེ་》《སྣར་》,འདི།,,,,,,
,,73,4,《པེ་》《སྣར་》,པ།,,,,,,
,,74,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,75,6,《པེ་》《སྣར་》,pན།,,,,,,
,,76,7,《པེ་》《སྣར་》,mནི།,,,,,,
,,77,8,《པེ་》《སྣར་》,དེ།,,,,,,
,,78,9,《པེ་》《སྣར་》,པའི།,,,,,,
,,79,10,《པེ་》《སྣར་》,ནི།,,,,,,
,624,80,1,《པེ་》,གི།,,,,,,
,,81,2,《པེ་》《སྣར་》,mརིག་པ།,,,,,,
,,82,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,83,4,《པེ་》《སྣར་》,པའི་མཐོང་།,,,,,,
,,84,5,《པེ་》,འགྱུར།,,,,,,
,,85,6,《པེ་》《སྣར་》,pའདིའི།,,,,,,
,,86,7,《པེ་》《སྣར་》,pརྣམ་པར།,,,,,,
,,87,8,《པེ་》《སྣར་》,pརྟོག་པའི།,,,,,,
,,88,9,《པེ་》《སྣར་》,ལ།,,,,,,
,625,89,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,90,2,《པེ་》《སྣར་》,ན།,,,,,,
,,91,3,《པེ་》《སྣར་》,mམ།,,,,,,
,,92,4,《པེ་》《སྣར་》,བསྟད།,,,,,,
,,93,5,《སྣར་》,pདེ།,,,,,,
,,94,6,《པེ་》《སྣར་》,མ།,,,,,,
,,95,7,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,626,96,1,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,97,2,《པེ་》《སྣར་》,ཞིང་།,,,,,,
,,98,3,《པེ་》《སྣར་》,pའདི།,,,,,,
,,99,4,《པེ་》《སྣར་》,mབའི།,,,,,,
,,100,5,《པེ་》《སྣར་》,pཕྱིར།,,,,,,
,627,101,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,102,2,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,103,3,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,104,4,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,105,5,《པེ་》《སྣར་》,mམ་ཡིན།,,,,,,
,,106,6,《པེ་》《སྣར་》,འདི།,,,,,,
,,107,7,《པེ་》《སྣར་》,འདི།,,,,,,
,,108,8,《པེ་》《སྣར་》,ལས།,,,,,,
,,109,9,《པེ་》,ནི།,,,,,,
,,110,10,《པེ་》《སྣར་》,mལ།,,,,,,
,,111,11,《པེ་》《སྣར་》,མ།,,,,,,
,628,112,1,《པེ་》《སྣར་》,ཅན།,,,,,,
,,113,2,《པེ་》《སྣར་》,pམ།,,,,,,
,,114,3,《པེ་》《སྣར་》,པ་སྔར་ནུས།,,,,,,
,,115,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,116,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,117,6,《པེ་》《སྣར་》,བྱར།,,,,,,
,629,118,1,《པེ་》,pགྱི་ཁྱད་པར།;《སྣར་》,pགྱིས་ཁྱད་པར།,,,,,
,,119,2,《པེ་》《སྣར་》,mཡིད།,,,,,,
,,120,3,《སྣར་》,pཔ།,,,,,,
,,121,4,《པེ་》《སྣར་》,བ་སོགས།,,,,,,
,,122,5,《པེ་》《སྣར་》,འདིའི།,,,,,,
,,123,6,《སྣར་》,པར།,,,,,,
,,124,7,《པེ་》《སྣར་》,བརྡའ།,,,,,,
,,125,8,《པེ་》《སྣར་》,ནོ།།,,,,,,
,630,126,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,127,2,《པེ་》,ལ།,,,,,,
,,128,3,《པེ་》《སྣར་》,ས།,,,,,,
,,129,4,《སྣར་》,སྐྱེས་པ།,,,,,,
,,130,5,《སྣར་》,ལྟར།,,,,,,
,,131,6,《པེ་》《སྣར་》,mཔའི་བདེ།,,,,,,
,,132,7,《པེ་》《སྣར་》,mམ།,,,,,,
