མཚན་བྱང་།,ཤོགས་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་ཚིག་ལེའུར་བྱས་པའི་རྣམ་པར་འགྲེལ་པ།,533,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,ཏི་སཱ།,
,,4,3,《པེ་》《སྣར་》,ཏོ།,
,,5,4,《པེ་》《སྣར་》,ཤཱ།,
,,6,5,《པེ་》《སྣར་》,ཡཱ།,
,,7,6,《པེ་》《སྣར་》,རཱི་ཀཱ་ར།,
,,8,7,《པེ་》《སྣར་》,བརྟཱི།,
,534,9,1,《པེ་》《སྣར་》,mབསྡུས་ནས་ཚིག,
,,10,2,《པེ་》《སྣར་》,ཀྱིས།,
,,11,3,《པེ་》《སྣར་》,ཕྱེ་བས།,
,,12,4,《པེ་》《སྣར་》,གཞི།,
,,13,5,《པེ་》《སྣར་》,པོ།,
,,14,6,《པེ་》《སྣར་》,སྡུས།,
,,15,7,《པེ་》《སྣར་》,རྟོག,
,,16,8,《པེ་》《སྣར་》,གཞི།,
,535,17,1,《པེ་》《སྣར་》,པས།,
,,18,2,《པེ་》《སྣར་》,གིས།,
,536,19,1,《པེ་》《སྣར་》,འདི།,
,,20,2,《པེ་》《སྣར་》,རྟེན།,
,,21,3,《སྣར་》,གསུམ།,
,,22,4,《པེ་》《སྣར་》,མཐའ།,
,,23,5,《པེ་》《སྣར་》,ཀྱི།,
,537,24,1,《པེ་》《སྣར་》,པ།,
,,25,2,《པེ་》《སྣར་》,དེ།,
,,26,3,《པེ་》《སྣར་》,ཀྱི།,
,,27,4,《པེ་》《སྣར་》,ཀྱི།,
,,28,5,《སྣར་》,སྡངས།,
,,29,6,《པེ་》《སྣར་》,mལ།,
,538,30,1,《པེ་》《སྣར་》,བསྐྱེད།,
,,31,2,《པེ་》《སྣར་》,གྱིས།,
,,32,3,《པེ་》《སྣར་》,སྒྲུབ།,
,,33,4,《པེ་》《སྣར་》,ཤེས་རབ་ཕ་རོལ་ཕྱིན་པའི་ཚུལ།,
,,34,5,《པེ་》《སྣར་》,Pཤེས་རབ་ཕ་རོལ་ཕྱིན་པའི་ཚུལ།།,
,,35,6,《པེ་》《སྣར་》,དག,
,,36,7,《པེ་》《སྣར་》,བསྒོམ།,
,539,37,1,《པེ་》《སྣར་》,གིས།,
,,38,2,《པེ་》《སྣར་》,བཅས།,
