མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
ཤེར་ཕྱིན། (ག),3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,,,,,
,,3,2,《པེ་》《སྣར་》,ཏཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,གསུང་བ།,,,,,,
,,5,4,《སྣར་》,pལོ།,,,,,,
,4,6,1,《པེ་》《སྣར་》,པ།,,,,,,
,,7,2,《པེ་》《སྣར་》,རིགས།,,,,,,
,,8,3,《པེ་》《སྣར་》《ཅོ་》,mམ,,,,,,
,,9,4,《པེ་》《སྣར་》,པོ།,,,,,,
,,10,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,5,11,1,《པེ་》,བརྩམ།,,,,,,
,,12,2,《པེ་》《སྣར་》,pལ།,,,,,,
,,13,3,《པེ་》《སྣར་》,གནོན།,,,,,,
,,14,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,15,5,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,16,6,《པེ་》《སྣར་》,mསྤྱོད་པ་དང་།,,,,,,
,,17,7,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,6,18,1,《པེ་》《སྣར་》,བརྒྱ།,,,,,,
,,19,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,20,3,《པེ་》《སྣར་》,pཔ,,,,,,
,7,21,1,《པེ་》《སྣར་》,བཞག,,,,,,
,,22,2,《པེ་》《སྣར་》,ལོ།,,,,,,
,,23,3,《པེ་》《སྣར་》,དཀུ་སྟ།,,,,,,
,,24,4,《པེ་》《སྣར་》,རྩིབས།,,,,,,
,,25,5,《སྣར་》,ཀྱི།,,,,,,
,8,26,1,《སྣར་》,mཕྱོགས།,,,,,,
,,27,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,28,3,《པེ་》,བཀྱེ།;《སྣར་》,བསྐྱེ།,,,,,
,,29,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,9,30,1,《པེ་》《སྣར་》,མཐོན།,,,,,,
,,31,2,《པེ་》《སྣར་》,mབྱུང་བ།,,,,,,
,,32,3,《པེ་》《སྣར་》,pསྣ་ཚོགས་སུ་འདུག་པ་ལྟ་ན་སྡུག་པ་ཡིད་དུ་འོང་བ་ཁ་དོག་བཟང་བ་དྲི་ཞིམ་པ་འཇམ་པ་ཀ་ཙ་ལིནྡི་ཀ་ལྟར་རེག་ན་བདེ་བར་འགྱུར་བ་ཤ་སྟག་ཀུན་ནས་གནས་པར།,,,,,,
,,33,4,《པེ་》《སྣར་》,པདྨ།,,,,,,
,,34,5,《པེ་》《སྣར་》,པར།,,,,,,
,,35,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,36,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,10,37,1,《པེ་》《སྣར་》,pདེ་རྣམས།,,,,,,
,,38,2,《སྣར་》,གཞལ།,,,,,,
,,39,3,《པེ་》《སྣར་》,ག,,,,,,
,13,40,1,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,41,2,《པེ་》,mཕྱོགས་ཀྱི།,,,,,,
,,42,3,《སྣར་》,mཀླུང་།,,,,,,
,,43,4,《པེ་》《སྣར་》,ནོན།,,,,,,
,14,44,1,《པེ་》《སྣར་》,ད།,,,,,,
,,45,2,《པེ་》《སྣར་》,ལའི།,,,,,,
,15,46,1,《པེ་》《སྣར་》,གནྟི།,,,,,,
,,47,2,《པེ་》《སྣར་》,ཀེེ།,,,,,,
,,48,3,《པེ་》《སྣར་》,ལའི།,,,,,,
,,49,4,《སྣར་》,བདུགས།,,,,,,
,,50,4,《པེ་》《སྣར་》,གི,,,,,,
,16,51,1,《པེ་》《སྣར་》,ཏོ།།,,,,,,
,,52,2,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,53,3,《པེ་》《སྣར་》,སྟེང་།,,,,,,
,,54,4,《པེ་》《སྣར་》,བཀྱེ།,,,,,,
,17,55,1,《སྣར་》,pརབ་ཏུ།,,,,,,
,18,56,1,《སྣར་》,འབྱུང་།,,,,,,
,19,57,1,《པེ་》《སྣར་》,དེ་ན།,,,,,,
,,58,2,《པེ་》《སྣར་》《ཅོ་》,བསྒྲུབ།,,,,,,
,,59,3,《པེ་》《སྣར་》,བཀུར།,,,,,,
,,60,4,《པེ་》《སྣར་》,པདྨོ།,,,,,,
,20,61,1,《པེ་》《སྣར་》,གྲོར།,,,,,,
,,62,2,《པེ་》《སྣར་》,སྟིར།,,,,,,
,21,63,1,《པེ་》《སྣར་》,པད་མོ།,,,,,,
,,64,2,《སྣར་》,དེས།,,,,,,
,22,65,1,《པེ་》《སྣར་》,གྲོ།,,,,,,
,,66,2,《པེ་》《སྣར་》,mདེ་དག་ཀུན་གྱི་ཕ་རོལ་ན།,,,,,,
,,67,3,《སྣར་》,mཕ་རོལ་ཏུ།,,,,,,
,,68,4,《པེ་》《སྣར་》,པ།,,,,,,
,23,69,1,《ཅོ་》,mགྱུར།,,,,,,
,,70,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,71,3,《ཅོ་》,ཆེའོ།,,,,,,
,24,72,1,《པེ་》《སྣར་》《ཅོ་》,ཏེ།,,,,,,
,25,73,1,《སྣར་》,པ།,,,,,,
,,74,2,《པེ་》《ཅོ་》,གིས།,,,,,,
,26,75,1,《སྣར་》,པའི།,,,,,,
,,76,2,《པེ་》,པར།,,,,,,
,,77,3,《པེ་》,ན།,,,,,,
,,78,4,《པེ་》《སྣར་》,pདེ།,,,,,,
,,79,5,《སྣར་》,ཆེས།,,,,,,
,,80,6,《པེ་》《སྣར་》,pའདི།,,,,,,
,27,81,1,《པེ་》,དེ།;《སྣར་》,དེ་སྐད།,,,,,
,,82,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,83,3,《སྣར་》,འཐོབ།,,,,,,
,28,84,1,《པེ་》《སྣར་》,འཕྲོ།,,,,,,
,29,85,1,《པེ་》《སྣར་》,འཕྲོ།,,,,,,
,,86,2,《པེ་》《སྣར་》,ཏོ།,,,,,,
,30,87,1,《པེ་》《སྣར་》,པ།,,,,,,
,31,88,1,《པེ་》《སྣར་》,འདི།,,,,,,
,,89,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,32,90,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,91,2,《སྣར་》,pངོ་།,,,,,,
,33,92,1,《པེ་》《སྣར་》,པོ།,,,,,,
,34,93,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,94,2,《པེ་》《སྣར་》,mརྣམ་པར་རྒྱལ་བས།,,,,,,
,35,95,1,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,96,2,《པེ་》《སྣར་》,mདང་།,,,,,,
,,97,3,《པེ་》,གཟུགས།,,,,,,
,,98,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,99,5,《པེ་》《སྣར་》,pསེམས་དཔའ་ཆེན་པོ།,,,,,,
,36,100,1,《པེ་》《སྣར་》,mལ,,,,,,
,,101,2,《པེ་》《སྣར་》,དེར།,,,,,,
,38,102,1,《པེ་》《སྣར་》,ཏིང་ངེ་འཛིན་གྱིས་བརྒྱན།,,,,,,
,,103,2,《པེ་》《སྣར་》,pགིས།,,,,,,
,,104,3,《སྣར་》,པ།,,,,,,
,,105,4,《སྣར་》,བསྟིར།,,,,,,
,,106,5,《པེ་》《སྣར་》,སུ།,,,,,,
,,107,6,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,108,7,《པེ་》《སྣར་》,པས།,,,,,,
,39,109,1,《པེ་》《སྣར་》,འདི།,,,,,,
,,110,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,40,111,1,《པེ་》《སྣར་》,འདི།,,,,,,
,41,112,1,《པེ་》《སྣར་》《ཅོ་》,pབ།,,,,,,
,,113,2,《པེ་》《སྣར་》,པ།,,,,,,
,,114,3,《པེ་》《སྣར་》,པོས།,,,,,,
,42,115,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,116,2,《པེ་》《སྣར་》,པ།,,,,,,
,43,117,1,《སྣར་》,mབ།,,,,,,
,44,118,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,119,2,《སྣར་》,བཀུར།,,,,,,
,47,120,1,《པེ་》《སྣར་》,ནས།,,,,,,
,48,121,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,122,2,《སྣར་》,པ།,,,,,,
,,123,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,124,4,《སྣར་》,པདྨོ།,,,,,,
,50,125,1,《སྣར་》,པས།,,,,,,
,,126,2,《སྣར་》,ནས།,,,,,,
,,127,3,《སྣར་》,འོང་བས།,,,,,,
,51,128,1,《པེ་》《སྣར་》,པ།,,,,,,
,,129,2,《སྣར་》,གྱིས།,,,,,,
