མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པའི་བཤད་པ་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་སྣང་བ་ཞེས་བྱ་བ།,891,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད། ,,,,,,
,,3,2,《པེ་》《སྣར་》,ཏཱཥྚ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀ་བྱ་ཁྱ་ནཱ།,,,,,,
,,5,4,《པེ་》,ལངྐཱ་རཱ་ལོ་ཀཱ།;《སྣར་》,ལངྐཱ་རཱ་ལོ་ཀ,,,,,
,,6,5,《པེ་》《སྣར་》,མ།,,,,,,
,,7,6,《པེ་》《སྣར་》,mཔ།,,,,,,
,,8,7,《པེ་》《སྣར་》,mའཕགས་པ།,,,,,,
,,9,8,《པེ་》《སྣར་》,ཉེ།,,,,,,
,,10,9,《པེ་》《སྣར་》,གསུངས་པ།,,,,,,
,892,11,1,《པེ་》,གྱི།,,,,,,
,,12,2,《པེ་》《སྣར་》,ལྡན་པར།,,,,,,
,,13,3,《པེ་》《སྣར་》,བཟང་།,,,,,,
,,14,4,《པེ་》《སྣར་》,ཡི་འགྲེལ།,,,,,,
,,15,5,《པེ་》《སྣར་》,ཅིག་སྐྱེས་གྱུར།,,,,,,
,,16,6,《པེ་》《སྣར་》,མེད་ཅིའང་།,,,,,,
,893,17,1,《པེ་》《སྣར་》,དེས།,,,,,,
,,18,2,《པེ་》,ཡིན།,,,,,,
,,19,3,《པེ་》《སྣར་》,འབྲེང་།,,,,,,
,,20,4,《པེ་》《སྣར་》,གཙོ་བོར།,,,,,,
,,21,5,《པེ་》《སྣར་》,བ་ཙམ་འམ།,,,,,,
,894,22,1,《ཅོ་》,གསལ།,,,,,,
,,23,2,《པེ་》《སྣར་》,pལ།,,,,,,
,,24,3,《པེ་》《སྣར་》,རྟོག,,,,,,
,,25,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
