མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འདུལ་བའི་མདོའི་འགྲེལ་པ་མངོན་པར་བརྗོད་པ་རང་གི་རྣམ་པར་བཤད་པ་ཞེས་བྱ་བ།,761,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་སྟོད་ཆ་ཞུ་དུམ་པའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,ལིའི།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཤིའི།,,,,,,
,,5,4,《པེ་》《སྣར་》,སྤུ།,,,,,,
,,6,5,《པེ་》《སྣར་》,ཀིའོ།,,,,,,
,762,7,1,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,8,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,9,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,10,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,11,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,12,6,《པེ་》《སྣར་》,pབྱ་ཞེས།,,,,,,
,,13,7,《པེ་》《སྣར་》,ཙན་ཞེས།,,,,,,
,,14,8,《པེ་》《སྣར་》,སྦྱར་རོ།,,,,,,
,,15,9,《པེ་》《སྣར་》,pམ།,,,,,,
,,16,10,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,17,11,《པེ་》《སྣར་》,།། །།,,,,,,
,763,18,1,《པེ་》《སྣར་》,mབྱེད་དམ།,,,,,,
,764,19,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,20,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,21,3,《པེ་》,mལ།,,,,,,
,,22,4,《པེ་》《སྣར་》,དེ།,,,,,,
,765,23,1,《པེ་》《སྣར་》,གཙོའི།,,,,,,
,,24,2,《པེ་》《སྣར་》,pའདུ་ཤེས་གཙོ་ཆེར་བྱེད་པ་ཡིན་གང་ལ།,,,,,,
,,25,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,26,4,《པེ་》《སྣར་》,འབྲིམ།,,,,,,
,,27,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,28,6,《པེ་》《སྣར་》,གིས་བཟུང་།,,,,,,
,,29,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,30,8,《སྣར་》,གི།,,,,,,
,766,31,1,《པེ་》《སྣར་》,pཞིག,,,,,,
,,32,2,《སྣར་》,བཅུགས།,,,,,,
,,33,3,《སྣར་》,བཅུགས།,,,,,,
,767,34,1,《པེ་》《སྣར་》,པོར།,,,,,,
,,35,2,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,36,3,《པེ་》《སྣར་》,mདེའམ།,,,,,,
,,37,4,《པེ་》《སྣར་》,དེ་ལམ།,,,,,,
,,38,5,《པེ་》,ལ་སྤྱིར་བཏང་།;《སྣར་》,ལས་སྤྱིར་བཏང་།,,,,,
,768,39,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,40,2,《པེ་》《སྣར་》,བར།,,,,,,
,,41,3,《པེ་》《སྣར་》,ལ་ལམ།,,,,,,
,,42,4,《པེ་》《སྣར་》,mཤེས།,,,,,,
,769,43,1,《པེ་》,mཔ་བདག; 《སྣར་》,པ།,,,,,
,,44,2,《སྣར་》,འགྱུར་བ།,,,,,,
,,45,3,《པེ་》《སྣར་》,mདུ།,,,,,,
,,46,4,《པེ་》《སྣར་》,པ།,,,,,,
,,47,5,《པེ་》《སྣར་》,འདྲི།,,,,,,
,,48,6,《པེ་》《སྣར་》,བསྒོ་བའམ།,,,,,,
,770,49,1,《པེ་》《སྣར་》,འདྲི།,,,,,,
,,50,2,《པེ་》《སྣར་》,འདྲི།,,,,,,
,,51,3,《སྣར་》,གཞི།,,,,,,
,,52,4,《པེ་》《སྣར་》,གྱུར་ཏོ།,,,,,,
,,53,5,《པེ་》《སྣར་》,དག་ལས།,,,,,,
,,54,6,《པེ་》《སྣར་》,ནས།,,,,,,
,,55,7,《པེ་》《སྣར་》,འདྲི།,,,,,,
,,56,8,《པེ་》《སྣར་》,གཙོ་བོ།,,,,,,
,,57,9,《པེ་》《སྣར་》,པའི།,,,,,,
,771,58,1,《པེ་》《སྣར་》,འཕོངས།,,,,,,
,,59,2,《པེ་》《སྣར་》,mཔར།,,,,,,
,,60,3,《པེ་》《སྣར་》,དེ་འཕོངས།,,,,,,
,,61,4,《པེ་》《སྣར་》,གི།,,,,,,
,,62,5,《པེ་》《སྣར་》,pདེ།,,,,,,
,,63,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,64,7,《པེ་》《སྣར་》,གིས།,,,,,,
,772,65,1,《པེ་》《སྣར་》,བྱིན།,,,,,,
,,66,2,《པེ་》《སྣར་》,སྙོམས།,,,,,,
,,67,3,《པེ་》《སྣར་》,ལས།,,,,,,
,,68,4,《པེ་》《སྣར་》,པོར།,,,,,,
,,69,5,《པེ་》《སྣར་》,mསོ།,,,,,,
,,70,6,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,71,7,《པེ་》《སྣར་》,པ།,,,,,,
,,72,8,《པེ་》《སྣར་》,གསོལ།,,,,,,
,,73,9,《པེ་》《སྣར་》,ལས་བཟུང་།,,,,,,
,,74,10,《པེ་》《སྣར་》,pའདི།,,,,,,
,,75,11,《པེ་》《སྣར་》,mཐ།,,,,,,
,773,76,1,《པེ་》《སྣར་》,གཙོ་བོ།,,,,,,
,,77,2,《པེ་》《སྣར་》,mབྱ།,,,,,,
,774,78,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,79,2,《པེ་》《སྣར་》,བ།,,,,,,
,,80,3,《པེ་》,པར་འགྱུར་བ།;《སྣར་》,འགྱུར་བ།,,,,,
,,81,4,《པེ་》《སྣར་》,mཉིད།,,,,,,
,775,82,1,《པེ་》《སྣར་》,mསུ།,,,,,,
,,83,2,《པེ་》,གནས་བརྟགས།;《སྣར་》,ནགས་བརྟགས།,,,,,
,,84,3,《པེ་》《སྣར་》,ལྟེབ།,,,,,,
,,85,4,《པེ་》《སྣར་》,ལྟེབ་ཞིང་།,,,,,,
,,86,5,《པེ་》《སྣར་》,བ།,,,,,,
,,87,6,《པེ་》《སྣར་》,དང་།,,,,,,
,,88,7,《པེ་》《སྣར་》,ལྟེབ།,,,,,,
,776,89,1,《པེ་》《སྣར་》,mཀྱང་།,,,,,,
,,90,2,《པེ་》《སྣར་》,mགང་།,,,,,,
,,91,3,《པེ་》《སྣར་》,mཞེས་བྱ།,,,,,,
,,92,4,《པེ་》《སྣར་》,ཐ་བ་སྤང་བའི།,,,,,,
,,93,5,《པེ་》《སྣར་》,གཡོག,,,,,,
,,94,6,《སྣར་》,བརྗེ།,,,,,,
,,95,7,《པེ་》《སྣར་》,mབྱ་ཞེས།,,,,,,
,,96,8,《པེ་》《སྣར་》,mམི།,,,,,,
,777,97,1,《པེ་》《སྣར་》,བསྒྱུར།,,,,,,
,,98,2,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,99,3,《པེ་》《སྣར་》,mཞེས་བྱ་བ་ལ་དེར།,,,,,,
,778,100,1,《པེ་》《སྣར་》,བརྟག,,,,,,
,,101,2,《པེ་》《སྣར་》,འདེབ།,,,,,,
,,102,3,《པེ་》《སྣར་》,ཀྱིས་བརྗིད།,,,,,,
,,103,4,《པེ་》《སྣར་》,འཁྲིགས་ཞེས།,,,,,,
,,104,5,《པེ་》《སྣར་》,མ།,,,,,,
,,105,6,《པེ་》《སྣར་》,འདོམས།,,,,,,
,,106,7,《པེ་》《སྣར་》,mརྐང་པ་གཉིས་སམ།,,,,,,
,,107,8,《པེ་》《སྣར་》,དེ།,,,,,,
,,108,9,《པེ་》《སྣར་》,བ།,,,,,,
,,109,10,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,110,11,《པེ་》,མ།,,,,,,
,779,111,1,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,112,2,《པེ་》《སྣར་》,mམི།,,,,,,
,,113,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,114,4,《སྣར་》,mཡིན།,,,,,,
,,115,5,《པེ་》《སྣར་》,འཚེ།,,,,,,
,,116,6,《པེ་》《སྣར་》,ནམ།,,,,,,
,,117,7,《པེ་》《སྣར་》,pཡིན།,,,,,,
,,118,8,《སྣར་》,ཟློག,,,,,,
,780,119,1,《པེ་》《སྣར་》,བྲིམས།,,,,,,
,,120,2,《པེ་》《སྣར་》,འབོད།,,,,,,
,,121,3,《པེ་》《སྣར་》,བྲིམས།,,,,,,
,,122,4,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,123,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,124,6,《པེ་》《སྣར་》,བྱའི།,,,,,,
,,125,7,《པེ་》,གིས།,,,,,,
,,126,8,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,127,9,《པེ་》《སྣར་》,ནོ།,,,,,,
,,128,10,《པེ་》《སྣར་》,ནི་ཟད།,,,,,,
,,129,11,《ཅོ་》,pཡང་།,,,,,,
,,130,12,《པེ་》《སྣར་》,ཟས།,,,,,,
,,131,13,《པེ་》,དགའ།,,,,,,
,,132,14,《པེ་》,ཅན་མི་དགའ་བར།;《སྣར་》,ཅན་མི་དགབ་པར།,,,,,
,,133,15,《པེ་》《སྣར་》,དེ།,,,,,,
,781,134,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,135,2,《སྣར་》,བར།,,,,,,
,,136,3,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,137,4,《པེ་》,འཁོར།,,,,,,
,,138,5,《པེ་》《སྣར་》,བཅད།,,,,,,
,,139,6,《པེ་》《སྣར་》,ལྡོག,,,,,,
,,140,7,《པེ་》《སྣར་》,mའདི།,,,,,,
,,141,8,《པེ་》《སྣར་》,གི།,,,,,,
,,142,9,《པེ་》《སྣར་》,ཞེས།,,,,,,
,782,143,1,《པེ་》《སྣར་》,པ།,,,,,,
,,144,2,《སྣར་》,འདྲིས།,,,,,,
,,145,3,《པེ་》《སྣར་》,དོར་བའོ།;《ཅོ་》,འདོར་རོ།,,,,,
,,146,4,《པེ་》《སྣར་》,པ།,,,,,,
,,147,5,《པེ་》,གད་ཀ;《སྣར་》,ག་ཀ,,,,,
,,148,6,《པེ་》《སྣར་》,པའི།,,,,,,
,,149,7,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,150,8,《པེ་》《སྣར་》,པ་ལ།,,,,,,
,783,151,1,《པེ་》《སྣར་》,འགྲོ་ཕྱིས།,,,,,,
,,152,2,《པེ་》《སྣར་》,mལམ།,,,,,,
,,153,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,154,4,《པེ་》《སྣར་》,pདག་ལ།,,,,,,
,,155,5,《པེ་》《སྣར་》,མཆོངས།,,,,,,
,,156,6,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,157,7,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,158,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,159,9,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,160,10,《པེ་》《སྣར་》,འཁར།,,,,,,
,,161,11,《པེ་》《སྣར་》,གཤང་།,,,,,,
,,162,12,《པེ་》《སྣར་》,འདོར།,,,,,,
,,163,13,《པེ་》《སྣར་》,mབར།,,,,,,
,,164,14,《པེ་》《སྣར་》,སྐྱུག,,,,,,
,784,165,1,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,166,2,《པེ་》,པ།,,,,,,
,,167,3,《པེ་》《སྣར་》,pདང་།,,,,,,
,,168,4,《པེ་》《སྣར་》,པོར་སྤང་།,,,,,,
,,169,5,《པེ་》《སྣར་》,mལྟར།,,,,,,
,785,170,1,《པེ་》《སྣར་》,པོའི།,,,,,,
,,171,2,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,172,3,《པེ་》《སྣར་》,དེས།,,,,,,
,,173,4,《པེ་》《སྣར་》,ལས།,,,,,,
,,174,5,《པེ་》《སྣར་》,མདུན།,,,,,,
,,175,6,《པེ་》《སྣར་》,པ།,,,,,,
,786,176,1,《པེ་》《སྣར་》,mཔར།,,,,,,
,,177,2,《པེ་》《སྣར་》,བས།,,,,,,
,,178,3,《པེ་》《སྣར་》,pདེ།,,,,,,
,,179,4,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,180,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,181,6,《པེ་》《སྣར་》,པོའི།,,,,,,
,,182,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,183,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,787,184,1,《པེ་》,ལ་སྦོམ།;《སྣར་》,ལ་སྒོམ།,,,,,
,,185,2,《པེ་》《སྣར་》,ཚ།,,,,,,
,,186,3,《སྣར་》,བྱ།,,,,,,
,,187,4,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,188,5,《སྣར་》,ཀྱིས།,,,,,,
,,189,6,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,788,190,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,191,2,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,,192,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,789,193,1,《སྣར་》,མའི།,,,,,,
