མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
མི་འཁྲུགས་པའི་སྦྱིན་སྲེག་གི་ཆོ་ག་བཞུགས་སོ།།,1612,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》མི་འཁྲུགས་པའི་སྦྱིན་སྲེག་གི་ཆོ་ག་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,mཿ།
,,4,3,《པེ་》《སྣར་》,གསོག
,,5,4,《པེ་》《སྣར་》,རྡེག
,,6,5,《པེ་》《སྣར་》,ནས།
,,7,6,《པེ་》《སྣར་》,ལྷ།
,,8,7,《པེ་》《སྣར་》,ལ།
,1613,9,1,《པེ་》《སྣར་》,བསྲེག
,,10,2,《པེ་》《སྣར་》,བགྷྣིན་ཏ་ཀྲྀད།
,,11,3,《པེ་》《སྣར་》,དགྱེས།
,,12,4,《སྣར་》,ཏོད་བྷཱ།
,,13,5,《པེ་》《སྣར་》,སྲེག
,,14,6,《པེ་》《སྣར་》,སྦྱང་།
,,15,7,《པེ་》《སྣར་》,འཐུན།
,,16,8,《པེ་》《སྣར་》,གསོལ།
,,17,9,《པེ་》《སྣར་》,བྱོན།,,
,,18,10,《པེ་》《སྣར་》,མ།,,
,,19,11,《པེ་》《སྣར་》,ཀར།,,
,,20,12,《པེ་》《སྣར་》,ཡི།,,
