མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།,
,,2,,,,
,230,3,1,《པེ་》《སྣར་》,བཅད།,
,,4,2,《པེ་》《སྣར་》,བཤིས།,
,,5,3,《པེ་》《སྣར་》,pཏེ།,
,,6,4,《པེ་》《སྣར་》,རྐང་།,
,,7,5,《པེ་》《སྣར་》,བཟུང་།,
,,8,6,《པེ་》《སྣར་》,མེད།,
,,9,7,《པེ་》《སྣར་》,pཅན།,
,,10,8,《པེ་》《སྣར་》,mངག,
,,11,9,《པེ་》《སྣར་》,གྲགས།,
,,12,10,《པེ་》《སྣར་》,སྟེངས་སུ།,
,,13,11,《པེ་》《སྣར་》,བལྟ།,
,,14,12,《པེ་》《སྣར་》,mབ།,
,,15,13,《པེ་》《སྣར་》,བཟུང་།,
,231,16,1,《པེ་》《སྣར་》,ཟླ།,
,,17,2,《པེ་》《སྣར་》,བཤིག,
,,18,3,《པེ་》《སྣར་》,བཅད།,
,,19,4,《པེ་》《སྣར་》,ལས།,
,,20,5,《པེ་》《སྣར་》,mལ།,
,,21,6,《པེ་》《སྣར་》,རྐྱེན།,
,,22,7,《པེ་》《སྣར་》,བཟློས།,
,,23,8,《པེ་》《སྣར་》,།། །།,
,,24,9,《པེ་》《སྣར་》,mགི།,
,,25,10,《པེ་》《སྣར་》,pལ།,
,,26,11,《པེ་》《སྣར་》,ཕྲེང་བའི།,
,,27,12,《པེ་》《སྣར་》,གང་།,
,,28,13,《པེ་》《སྣར་》,གྲག,
,,29,14,《པེ་》《སྣར་》,གཡོ་བ།,
,,30,15,《པེ་》《སྣར་》,mགི།,
,232,31,1,《པེ་》《སྣར་》,mན།,
,,32,2,《པེ་》《སྣར་》,ཤེས།,
,,33,3,《པེ་》《སྣར་》,།། །།,
,,34,4,《པེ་》《སྣར་》,།། །།,
,,35,5,《པེ་》《སྣར་》,pལ།,
,,36,6,《པེ་》《སྣར་》,pཔ།,
,233,37,1,《པེ་》《སྣར་》,pཆོས་ཉིད་ཟབ་མོའི་ཡིད།,
,,38,2,《པེ་》,mཔ།,
,,39,3,《པེ་》《སྣར་》,ཀྱིས།,
,234,40,1,《པེ་》《སྣར་》,མ་ལ་སྒོམ།,
,,41,2,《པེ་》《སྣར་》,བསྒོམ།,
,,42,3,《པེ་》《སྣར་》,བ།,
,,43,4,《པེ་》《སྣར་》,pལ།,
,,44,5,《པེ་》《སྣར་》,པའོ།,
,,45,6,《པེ་》《སྣར་》,བཏང་།,
,235,46,1,《པེ་》《སྣར་》,mཟླ།,
