མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་པའི་ཐབས།,1081,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄༅། །རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་པའི་ཐབས་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,པཱ་ར་ཧི།,
,,4,3,《སྣར་》,ཧྲི།,
,,5,4,《པེ་》《སྣར་》,པར།,
,,6,5,《པེ་》《སྣར་》,པ་དང་།,
,1082,7,1,《པེ་》,ཤུདྡྷོ་ཧཾ།,《སྣར་》,ཤུདདྷོ་ཧཾཿ།
,,8,2,《པེ་》《སྣར་》,m྅།,
,,9,3,《སྣར་》,སྤངས།,
,,10,4,《སྣར་》,mཔ།,
,,11,5,《པེ་》《སྣར་》,mན།,
,,12,6,《པེ་》《སྣར་》,ལྡན་པ་དང།,
,,13,7,《སྣར་》,mཿ།,
,,14,8,《པེ་》《སྣར་》,གའི།,
,,15,9,《པེ་》《སྣར་》,བརླབས།,
,,16,10,《པེ་》《སྣར་》,སྐུལ།,
,,17,11,《པེ་》,ཧྲིཾ།,《སྣར་》,ཧྲི།
,,18,12,《པེ་》《སྣར་》,m྅།,
,,19,13,《པེ་》《སྣར་》,དྷརྨཱ།,
,,20,14,《པེ་》《སྣར་》,m྅།,
,,21,15,《པེ་》《སྣར་》,ཡོ།,
,,22,16,《པེ་》《སྣར་》,མོ།,
,1083,23,1,《པེ་》《སྣར་》,དྷརྨ།,
,,24,2,《པེ་》,ཧྲཱིཿ།,《སྣར་》,ཧྲིཿ།
,,25,3,《པེ་》《སྣར་》,སྟེ།,
,,26,4,《པེ་》《སྣར་》,གསོལ།,
,,27,5,《སྣར་》,mལྔ།,
,,28,6,《སྣར་》,mབ།,
,,29,7,《པེ་》《སྣར་》,ཀྱིས།,
,,30,8,《པེ་》,pའགྲོ་ཀུན་སངས་རྒྱས་ཐོབ་པར་ཤོག།  །།འགྲོ་ལ་ཕན་གྱུར་ཅིག།  །།དགེའོ། །བཀྲཤིས།། །།,《སྣར་》,pའགྲོ་ཀུན་སངས་རྒྱས་ཐོབ་པར་ཤོག །འགྲོ་ལ་ཕན་གྱུར་ཅིག །བཀྲ་ཤིས།།
,,,,,,
,,,,,,
,,,,,
,,,,,
,,,,,
