མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།,344,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄༅། །ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,ཨཱ།,
,,4,3,《པེ་》《སྣར་》,སྟོཏྟྲ།,
,,5,4,《པེ་》《སྣར་》,བ།,
,345,6,1,《སྣར་》,བརྐུམ།,
,,7,2,《པེ་》《སྣར་》,རྦ།,
,,8,3,《པེ་》《སྣར་》,བཞིར།,
,,9,4,《པེ་》《སྣར་》,འདུལ།,
,346,10,1,《པེ་》《སྣར་》,ཆོད།,
,,11,2,《པེ་》《སྣར་》,ཀྱིས།,
,,12,3,《པེ་》《སྣར་》,སྟོབས།,
,,13,4,《སྣར་》,གནག,
,,14,5,《པེ་》《སྣར་》,འདུལ།,
,,15,6,《པེ་》《སྣར་》,བསྟོད།,
,,16,7,《པེ་》《སྣར་》,གསོལ།,
,,17,8,《ཅོ་》,mཀྱིས།,,
