མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།,1470,2,1,《པེ་》,༄༅། །འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ར།,,,,,,
,,4,3,《པེ་》《སྣར་》,mའཕགས་མ།,,,,,,
,,5,4,《པེ་》《སྣར་》,པདྨ།,,,,,,
,,6,5,《པེ་》《སྣར་》,རིངས་སུ།,,,,,,
,,7,6,《པེ་》《སྣར་》,ཡི།,,,,,,
,1471,8,1,《སྣར་》,བསྡུས།,,,,,,
,,9,2,《པེ་》《སྣར་》,ཡི།,,,,,,
,,10,3,《པེ་》,ཅན།;《སྣར་》,བཅན།,,,,,
,,11,4,《པེ་》《སྣར་》,དངས།,,,,,,
,,12,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,13,6,《པེ་》,གི་ཁྱོད་ཀྱི་མཚན་གཟུང་།;《སྣར་》,གི་ཁྱོད་ཀྱིས་མཚན་གཟུང་།,,,,,
,,14,7,《སྣར་》,mམ་སྒྲོལ།,,,,,,
,,15,8,《པེ་》《སྣར་》,ཀ,,,,,,
,,16,9,《པེ་》《སྣར་》,ལོཙྪ།,,,,,,

