མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
སྡོམ་པ་ཉི་ཤུ་པའི་འགྲེལ་པ།,451,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་སྡོམ་པ་ཉི་ཤུ་པའི་འགྲེལ་པ་ཞི་བ་འཚོས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》,ག་བྲྀཏྟི།,《སྣར་》,ག་བྲིཏྟི།
,,4,3,《པེ་》《སྣར་》,པར།,
,,5,4,《པེ་》《སྣར་》,བྱས།,
,,6,5,《པེ་》《སྣར་》,ཏོ།།,
,,7,6,《པེ་》《སྣར་》,pདུ།,
,452,8,1,《པེ་》《སྣར་》,mའདི་སྐད་ཅེས།,
,,9,2,《པེ་》《སྣར་》,གྱིས།,
,,10,3,《པེ་》《སྣར་》,གནོད་པ་མ།,
,,11,4,《པེ་》《སྣར་》,བསྟན།,
,,12,5,《ཅོ་》,བརྟེན།,
,,13,6,《པེ་》《སྣར་》,བསྐྱེད།,
,,14,7,《པེ་》《སྣར་》,mབ།,
,,15,8,《པེ་》《སྣར་》,བཞུགས།,
,453,16,1,《པེ་》《སྣར་》,བཞག,
,,17,2,《པེ་》《སྣར་》,བགྲེང་།,
,,18,3,《པེ་》,ཀྱང་།,《སྣར་》,ཀྱི།
,,19,4,《པེ་》《སྣར་》,ཀྱི།,
,454,20,1,《པེ་》《སྣར་》,ཀྱང་།,
,,21,2,《པེ་》《སྣར་》,mདང་།,
,,22,3,《པེ་》《སྣར་》,pང་།,
,,23,4,《སྣར་》,བླངས་པར།,
,455,24,1,《པེ་》《སྣར་》,པར།,
,,25,2,《པེ་》《སྣར་》,དཔའ།,
,,26,3,《པེ་》《སྣར་》,ནོད།,
,,27,4,《པེ་》《སྣར་》,སྙོམས།,
,,28,5,《པེ་》《སྣར་》,བློས།,
,,29,6,《སྣར་》,གནོད།,
,456,30,1,《པེ་》《སྣར་》,བཟུང་།,
,,31,2,《པེ་》《སྣར་》,ན།,
,,32,3,《པེ་》《སྣར་》,mཇི།,
,,33,4,《པེ་》《སྣར་》,mདེ།,
,,34,5,《པེ་》《སྣར་》,སླབ།,《ཅོ་》,བསློབ།
,,35,6,《པེ་》《སྣར་》,ཀྱི།,
,457,36,1,《པེ་》《སྣར་》,mཞབས་ལ།,
,,37,2,《སྣར་》,སྡང་།,
,,38,3,《སྣར་》,mཔར།,
,,39,4,《པེ་》《སྣར་》,mདུ།,
,,40,5,《པེ་》,mཡང་།,
,,41,6,《པེ་》《སྣར་》,ཀྱི།,
,,42,7,《པེ་》,ཀྱི་བརྟག,《སྣར་》,ཀྱི་བརྟགས།
,,43,8,《པེ་》《སྣར་》,pབ།,
,,44,9,《པེ་》《སྣར་》,ཚུད།,
,,45,10,《པེ་》《སྣར་》,གི།,
,,46,11,《པེ་》《སྣར་》,pདཔའ་བྱང་ཆུབ་སེམས།,
,458,47,1,《པེ་》《སྣར་》,པ།,
,,48,2,《པེ་》《སྣར་》,གིས།,
,,49,3,《པེ་》《སྣར་》,བར།,
,,50,4,《པེ་》《སྣར་》,འདིས།,
,,51,5,《པེ་》《སྣར་》,མོས།,
,459,52,1,《པེ་》《སྣར་》,mགང་།,
,,53,2,《པེ་》《སྣར་》,ལ།,
,,54,3,《པེ་》《སྣར་》,བདག,
,,55,4,《པེ་》《སྣར་》,mན།,
,,56,5,《པེ་》《སྣར་》,ས།,
,,57,6,《པེ་》《སྣར་》,ཅན།,
,,58,7,《པེ་》《སྣར་》,ཡིས།,
