           མཚན་བྱང་།,           ཤོག་གྲངས།,1,          མཆན་གྲངས།,            པར་མ།,         མཆན།,
དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,911,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་དགེ་སློང་གི་ལོ་དྲི་བ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,པར་ཤ།,
,,4,3,《པེ་》《སྣར་》,བགྱི།,
,,5,4,《པེ་》《སྣར་》,ཀྱིས།,
,,6,5,《པེ་》《སྣར་》,བགྱི། གཎྜེའི།,
,,7,6,《པེ་》《སྣར་》,བགྱི།,
,,8,7,《པེ་》《སྣར་》,སོ།,
,,9,8,《པེ་》,pདགེའི།, 《སྣར་》,དགེ་བའི།
,,10,9,《པེ་》《སྣར་》,བགྱི།,
,912,11,1,《པེ་》,ཞུ། གཎྜེའི།,《སྣར་》,ཞུས། གཎྜེའི།
,,12,2,《པེ་》《སྣར་》,སོ་གའི།,
,,13,3,《སྣར་》,བྱི།,
,,14,4,《པེ་》《སྣར་》,རྒུན།,
,,15,5,《པེ་》《སྣར་》,སོ་ག,
,,16,6,《པེ་》《སྣར་》,རྒུན་གྱི་དུས་ཚོད།,
,,17,7,《པེ་》《སྣར་》,རྒུན།,
,,18,8,《པེ་》《སྣར་》,རྒུན།,
,,19,9,《པེ་》《སྣར་》,རྒུན།,
,,20,10,《པེ་》《སྣར་》,སོ་གའི།,
,,21,11,《པེ་》《སྣར་》,གྱིས།,
,,22,12,《པེ་》《སྣར་》,ཆུང་ངོ་།,
,913,23,1,《པེ་》《སྣར་》,ཆུང་ངོ་།,
,,24,2,《སྣར་》,pབ།,
,,25,3,《པེ་》《སྣར་》,པོ།,
,,26,4,《པེ་》《སྣར་》,ཀྱི།,
,,27,5,《པེ་》《སྣར་》,།། །།,
,,28,6,《པེ་》《སྣར་》,pབཞིའོ། ། བཞི་པོ་གང་དག་ཅེ་ན།,
,,29,7,《པེ་》《སྣར་》,།། །།,
,,30,8,《པེ་》《སྣར་》,pདེ།,
,,31,9,《པེ་》《སྣར་》,གིས།,
,,32,10,《པེ་》《སྣར་》,སྡེ།,
,,33,11,《ཅོ་》,བརྟགས།,
,,34,12,《པེ་》《སྣར་》,།། །།,
,,35,13,《པེ་》《སྣར་》,བསྐུར།,
,914,36,1,《པེ་》《སྣར་》,།། །།ཤཱཀྱ་སེངྒེའི་བསྟན་པ་ནི། །དེ་ལྟར་བྱེ་བྲག་བཅོ་བརྒྱད་དུ། །,
,,37,2,《པེ་》《སྣར་》,ཉེས།,
,,38,3,《སྣར་》,།། །།,
,,39,4,《པེ་》《སྣར་》,mཔོ།,
,,40,5,《པེ་》《སྣར་》,བསྐུས།,
,,41,6,《པེ་》《སྣར་》,།། །།,
,,42,7,《པེ་》《སྣར་》,འགྱུར་བའི།,
,,43,8,《པེ་》,གཞད་གྱི།,《སྣར་》,གཞན་གྱིས།
,,44,9,《པེ་》,མེའི།,
,,45,10,《པེ་》《སྣར་》,མར།,
,,46,11,《པེ་》《སྣར་》,།། །།,
,,47,12,《པེ་》《སྣར་》,བརྡེག,
,,48,13,《པེ་》《སྣར་》,།། །།,
,915,49,1,《པེ་》《སྣར་》,བརྩིགས།,
,,50,2,《པེ་》《སྣར་》,བརྩིགས།,
,,51,3,《པེ་》《སྣར་》,pཕྱོགས་སུ།,
,,52,4,《པེ་》《སྣར་》,ཤིག,
,,53,5,《པེ་》,བྲལ།,
,,54,6,《པེ་》《སྣར་》,ཤིག,
,,55,7,《པེ་》《སྣར་》,ཀླན།,
,,56,8,《ཅོ་》,པར།,
,,57,9,《པེ་》《སྣར་》,ཆེན།,
,,58,10,《པེ་》《སྣར་》,དཀྲུག,
,916,59,1,《པེ་》,mལ།,
,,60,2,《ཅོ་》,ཅིག,
