མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ།,1007,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》  ༄། །དཔལ་དགྱེས་པ་རྡོ་རྗེས་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,ཀྱེ།,
,,4,3,《པེ་》《སྣར་》,དྲི།,
,,5,4,《པེ་》《སྣར་》,བཞག,
,,6,5,《པེ་》《སྣར་》,སྦྱངས་ནས།,
,1008,7,1,《ཅོ་》,སཱུ། ,
,,8,2,《པེ་》《སྣར་》,སྒྲོགས།,
,1009,9,1,《སྣར་》,སྐུལ།,
,,10,2,《པེ་》《སྣར་》,བར།,
,1010,11,1,《པེ་》《སྣར་》,ཀྱི།,
,1011,12,1,《པེ་》《སྣར་》,རཱ།,
,,13,2,《པེ་》《སྣར་》,གི།,
,,14,3,《པེ་》《སྣར་》,དེ་ཤ,
,,15,4,《པེ་》《སྣར་》,རཱ་ནནྟ།,
,,16,5,《པེ་》《སྣར་》,རྟོགས།,
,,17,6,《པེ་》《སྣར་》,བེཏྟཱ་ལི།,
,,18,7,《པེ་》《སྣར་》,ཀད།,
,1012,19,1,《ཅོ་》,ཊཾ།,
,,20,2,《པེ་》《སྣར་》,མཛོད།,
,,21,3,《པེ་》《སྣར་》,བརྫེས།,
,,22,4,《པེ་》《སྣར་》,ཚོགས།,
,,23,5,《པེ་》,མགོན།,《ཅོ་》,འགྲོན།
,1014,24,1,《པེ་》《སྣར་》,དེ།,
,,25,2,《པེ་》《སྣར་》,གི།,
,,26,3,《པེ་》《སྣར་》,བདག,
