མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,203,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། །འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་བཞུགས་སོ།།,
,,3,2,《པེ་》,ཏཱ་བྷ་ཧྲི་ཨུཏྟྲ་ན།,《སྣར་》,ཏཱི་བྷཱ་ཧྲི་ཨུཏྟྲ་ན།
,,4,3,《པེ་》《སྣར་》,mནཾ།,
,,5,4,《པེ་》《སྣར་》,གི།,
,204,6,1,《པེ་》《སྣར་》,ཧྲི་ཨུཏྟྲ་ན།,
,,7,2,《པེ་》《སྣར་》,མ།,
,,8,3,《པེ་》《སྣར་》,m྅།,
,,9,4,《པེ་》《སྣར་》,ཀ,
,,10,5,《པེ་》《སྣར་》,ཨ།,
,,11,6,《པེ་》《སྣར་》,pར།,
,,12,7,《པེ་》《སྣར་》,ན།,
,,13,8,《པེ་》《སྣར་》,གིས།,
,,,,,,
,,,,,,
