མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།,206,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》༄། །གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་རྣོན་པོའི་སྒྲུབ་ཐབས་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པ་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,མ།
,,4,3,《པེ་》《སྣར་》,མརྒཏ།
,,5,4,《པེ་》《སྣར་》,བརྟེན།
,207,6,1,《པེ་》《སྣར་》,བྷ།
,,7,2,《པེ་》《སྣར་》,m྅།
,,8,3,《པེ་》《སྣར་》,བསྲུང་།
,,9,4,《པེ་》《སྣར་》,འགྱུར།
,,10,5,《པེ་》《སྣར་》,གཏ།
,,11,6,《པེ་》《སྣར་》,བཅངས། །ཀླུ།
,,12,7,《པེ་》《སྣར་》,ཀྱིས།
,,13,8,《སྣར་》,བརླབས།
,,,,,
