མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ལས་ཀྱི་རྡོ་རྗེ་གཽ་རཱིའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,218,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄། །ལས་ཀྱི་རྡོ་རྗེ་གཽ་རཱིའི་སྒྲུབ་ཐབས་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,mཉིད།
,,4,3,《པེ་》《སྣར་》,བོར།
,,5,4,《པེ་》《སྣར་》,བསྲུང་།
,219,6,1,《པེ་》《སྣར་》,རཱི།
,,7,2,《པེ་》《སྣར་》,m྅།
,,8,3,《པེ་》《སྣར་》,མར་ཀཏ།
,,9,4,《པེ་》《སྣར་》,སྦྱངས།
,,10,5,《པེ་》《སྣར་》,མར་ཀཏ།
,,11,6,《པེ་》《སྣར་》,ཉིད།
,,12,7,《པེ་》《སྣར་》,བ་དང་།
,,13,8,《པེ་》《སྣར་》,mཅན།
,220,14,1,《པེ་》《སྣར་》,pལས།
