མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁར་ས་པ་ཎི་སྒྲུབ་ཐབས་བཞུགས་སོ།།,707,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》 ༄༅། །སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁར་ས་པ་ཎི་སྒྲུབ་ཐབས་བཞུགས་སོ།།,《སྣར་》,དཔལ་ཁ་སརྤ་ཎའི་སྒྲུབ་ཐབས་བཞུགས་སོ། །
,,3,2,《པེ་》,ཁར་ས་པ་ནི།,《སྣར་》,ཁ་སརྤ་ཎ།
,,4,3,《པེ་》,ཁར་ས་པ་ནི།,《སྣར་》,ཁ་སརྤ་ཎ།
,,5,4,《སྣར་》,བཟུང་།,
,708,6,1,《སྣར་》,pགྱི།,
,,7,2,《པེ་》,mཿ།,
,,8,3,《པེ་》,ཤུད་དྷ།,《སྣར་》,ཤུདྡྷ།
,,9,4,《པེ་》,དྷརྨཱ།,《སྣར་》,དྷརྨྨ།
,,10,5,《པེ་》,m྅།,
,,11,6,《སྣར་》,པ།,
,,12,7,《པེ་》《སྣར་》,pརིའི།,
,,13,8,《སྣར་》,གནས།,
,,14,9,《པེ་》,རྒྱན།,,
,709,15,1,《སྣར་》,བསམ།,,
,,16,2,《པེ་》《སྣར་》,གསོལ།,,
,,17,3,《པེ་》《སྣར་》,བྱོན།,,
,,18,4,《སྣར་》,པས།,,
,,19,5,《སྣར་》,ཞེས།,,
,,20,6,《པེ་》《སྣར་》《ཅོ་》,བྱས།,,
,,21,7,《པེ་》,ཁར་ས་པ་ནིའི།,《སྣར་》,ཁ་སརྤ་ཎ།,
,,22,8,《པེ་》《སྣར་》,mརྫོགས་སོ། །,,
,,23,9,《པེ་》,ལོཙྪ།,《སྣར་》,ལོ་ཙ།,
,,,,,,,
,,,,,,,
