མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,318,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,བ་བི་ཤུདྡྷ་སརྦ་དྷརྨ།,,,,,,
,,4,3,《པེ་》《སྣར་》,m྅།,,,,,,
,,5,4,《པེ་》《སྣར་》,mདག་པ་ལྟ་བུར་རྣམ་པར།,,,,,,
,,6,5,《པེ་》《སྣར་》,mཿ།,,,,,,
,,7,6,《པེ་》《སྣར་》,བུར།,,,,,,
,,8,7,《པེ་》《སྣར་》,mཿ།,,,,,,
,319,9,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,10,2,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,11,3,《པེ་》《སྣར་》,mདང་།,,,,,,
,,12,4,《པེ་》《སྣར་》,དྷུ་པེ་ཨཱ།,,,,,,
,,13,5,《པེ་》《སྣར་》,དྱཱ།,,,,,,
,,14,6,《པེ་》《སྣར་》,mཅེས།,,,,,,
,,15,7,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,16,8,《པེ་》,རིམས་ཀྱིས་བསྒོམ།;《སྣར་》,རིམས་ཀྱིས་བསྒོམས།,,,,,
,,17,9,《པེ་》《སྣར་》,mབཛྲ།,,,,,,
,,18,10,《པེ་》《སྣར་》,m྅།,,,,,,
,,19,11,《པེ་》《སྣར་》,ཞིག,,,,,,
,,20,12,《པེ་》《སྣར་》,པས།,,,,,,
,,21,13,《པེ་》《སྣར་》,བྲུཾ།,,,,,,
,,22,14,《པེ་》,mསུ།,,,,,,
,320,23,1,《པེ་》《སྣར་》,ཕུག,,,,,,
,,24,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,25,3,《པེ་》《སྣར་》,གཞུ།,,,,,,
,,26,4,《པེ་》《སྣར་》,གཅིག,,,,,,
,,27,5,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,28,6,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,29,7,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,30,8,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,31,9,《པེ་》《སྣར་》,འདིར།,,,,,,
,,32,10,《སྣར་》,པོའི།,,,,,,
,321,33,1,《པེ་》《སྣར་》,mན།,,,,,,
,,34,2,《པེ་》《སྣར་》,གི།,,,,,,
,,35,3,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,36,4,《པེ་》《སྣར་》,mམེའི།,,,,,,
,,37,5,《པེ་》《སྣར་》,ནས།,,,,,,
,,38,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,39,7,《པེ་》《སྣར་》,པའི།,,,,,,
,,40,8,《པེ་》《སྣར་》,mལྔ་པ།,,,,,,
,,41,9,《པེ་》《སྣར་》,འཁྲུག,,,,,,
,322,42,1,《པེ་》,ཆུ་སྤྱི་བོས།;《སྣར་》,ཆུ་སྤྱི་བོ།,,,,,
,,43,2,《སྣར་》,འཁྲུག,,,,,,
,,44,3,《པེ་》《སྣར་》,ཏྲཾ།,,,,,,
,,45,4,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,46,5,《པེ་》《སྣར་》,ཡེ།,,,,,,
,,47,6,《པེ་》《སྣར་》,mདཔལ།,,,,,,
,,48,7,《སྣར་》,འཆང་།,,,,,,
,,49,8,《པེ་》《སྣར་》,mལ།,,,,,,
,,50,9,《པེ་》《སྣར་》,ཕྲོག,,,,,,
,,51,10,《པེ་》《སྣར་》,བཅིང་།,,,,,,
,,52,11,《པེ་》《སྣར་》,mཧུ་ལུ།,,,,,,
,,53,12,《པེ་》《སྣར་》,mཅེས།,,,,,,
,,54,13,《པེ་》《སྣར་》,ལ།,,,,,,
,323,55,1,《སྣར་》,གྲི།,,,,,,
