མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །སྒྲོལ་མའི་སྒྲུབ་ཐབས་བཞུགས།,1444,2,1,,མཚན་བྱང་འདི 《སྡེ་》《ཅོ་》 ལྟར་བཀོད་།,
,,3,2,《པེ་》《སྣར་》,mམ།,
,,4,3,《པེ་》,མ།,《སྣར་》,བ།
,,5,4,《པེ་》《སྣར་》,བིགྷྣན།,
,,6,5,《པེ་》《སྣར་》,ཀྱི།,
,,7,6,《པེ་》《སྣར་》,གོང་།,
,1445,8,1,《པེ་》《སྣར་》,སྒྲོལ།,
,,9,2,《པེ་》,བདུན།,
,,10,3,《པེ་》《སྣར་》,ཀྱི།,
,,11,4,《པེ་》《སྣར་》,དྷུ།,
,,12,5,《པེ་》《སྣར་》,སྤྲོ་བའི་བདག་པོའི།,
,,13,6,《པེ་》《སྣར་》,ལ།,
,,14,7,《པེ་》《སྣར་》,mདྲིའི།,
,,15,8,《པེ་》《སྣར་》,pསུ།,
,,16,9,《པེ་》《སྣར་》,སརྦ།,
,,17,10,《པེ་》,ར་མ།,《སྣར་》,མུ།
,,18,11,《སྣར་》,གཾ་ཏཱེ།,
,,19,12,《པེ་》《སྣར་》,པར།,
,1446,20,1,《པེ་》《སྣར་》,སརྦ།,
,,21,2,《པེ་》《སྣར་》,བྷ།,
,,22,3,《པེ་》《སྣར་》,m྅།,
,,23,4,《པེ་》《སྣར་》,mལས།,
,,24,5,《སྣར་》,པས།,
,,25,6,《སྣར་》,སྟིམ།,
,,26,7,《པེ་》《སྣར་》,པོ།,
,,27,8,《པེ་》《སྣར་》,པ།,
,,28,9,《པེ་》《སྣར་》,སྐུ།,
,,29,10,《པེ་》《སྣར་》,ཡིས།,
,1447,30,1,《པེ་》《སྣར་》,བརྟན།,
,,31,2,《པེ་》《སྣར་》,གཞག,
,,32,3,《པེ་》《སྣར་》,ཧཱ།,
,,33,4,《པེ་》《སྣར་》,བསྐུལ།,
,,34,5,《པེ་》《སྣར་》,ལ།,
,,35,6,《པེ་》《སྣར་》,m྅།,
,,36,7,《པེ་》《སྣར་》,mབ།,
,,37,8,《པེ་》《སྣར་》,གསོལ།,
,,38,9,《པེ་》《སྣར་》,སྲུང་།,
,,39,10,《པེ་》《སྣར་》,ཙ།,
,,40,11,《པེ་》,གང་།,
,1448,41,1,《པེ་》《སྣར་》,mཏུ།,
,,42,2,《སྣར་》,བརླབས།,
,,43,3,《པེ་》《སྣར་》,བསྟིམ་སྟེ།,
,,44,4,《པེ་》《སྣར་》,pདེ།,
,1449,45,1,《པེ་》《སྣར་》,སརྦ་སིདྡྷི་མེ།,
,,46,2,《པེ་》《སྣར་》,ཀརྨཱ།,
,,47,3,《པེ་》《སྣར་》,ཤྲི་ཡཾ།,
,,48,4,《པེ་》《སྣར་》,mཿ།,
,,49,5,《པེ་》,སརྦ་ཏཱ།,《སྣར་》,སརྦ་ཏ།
,,50,6,《པེ་》,མཱ་མེ་མུཉྫ་བཛྲི།,《སྣར་》,མ་མེ་མཉྫ་བཛྲི།
,,51,7,《པེ་》《སྣར་》,བའི།,
,,52,8,《པེ་》《སྣར་》,ལོཙྪ།,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
