མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །སྙིང་པོ་ངེས་པར་བསྡུ་བ་ཞེས་བྱ་བ་བཞུགས།,1787,2,1,《པེ་》《སྣར་》,སྙིང་པོ་ངེས་པར་བསྡུ་བ་ཞེས་བྱ་བ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 
,,3,2,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,4,3,《སྣར་》,རྟོགས།,,,,,,
,,5,4,《པེ་》《སྣར་》,ནས།,,,,,,
,1788,6,1,《པེ་》《སྣར་》,གོམ།,,,,,,
,,7,2,《སྣར་》,ཐོགས།,,,,,,
,,8,3,《པེ་》,བརླམས།,《སྣར་》,བརླམ།,,,,,
,,9,4,《སྣར་》,སྐྱབ།,,,,,,
,,10,5,《པེ་》,ཐེགས།,,,,,,
,,11,6,《པེ་》《སྣར་》,སྐྱབས།,,,,,,
,,12,7,《པེ་》,སྐྱེད།,,,,,,
,1789,13,1,《སྣར་》,ཡངས།,,,,,,
,,14,2,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,15,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,16,4,《སྣར་》,ཀྱི།,,,,,,
,,17,5,《པེ་》《སྣར་》,སྤོང་།,,,
,,18,6,《པེ་》《སྣར་》,པོ,,,
,,19,7,《པེ་》《སྣར་》,རིང་།,,,
,,20,8,《པེ་》《སྣར་》,ཀྱི།,,,
,,21,9,《པེ་》,ཀྱིས། ཞལ་སྔ་ནས་དབུས་ཀྱི་སྙེ། ,《སྣར་》,ཀྱིས། ཞལ་གནས་དེ་བས་ཀྱི་སྙེ།,,
,,,,,,,,
,,,,,,,,
