མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །བྱང་ཆུབ་སེམས་དཔའི་ནོར་བུའི་ཕྲེང་བ་བཞུགས།,1791,2,1,《པེ་》《སྣར་》,བྱང་ཆུབ་སེམས་དཔའི་ནོར་བུའི་ཕྲེང་བ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཎི་ཨ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཅེས།,,,,,,
,,5,4,《པེ་》,སྤངས།,,,,,,
,,6,5,《སྣར་》,པར་རྩོན།,,,,,,
,,7,6,《པེ་》,གིས།,,,,,,
,,8,7,《པེ་》《སྣར་》,བསྒྲགས།,,,,,,
,,9,8,《པེ་》,ནི་བརྟག,《སྣར་》,མི་བརྟག,,,,,
,1792,10,1,《པེ་》《སྣར་》,སྤངས་ཤིང་།,,,,,,
,,11,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,12,3,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,13,4,《སྣར་》,ཚིགས།,,,,,,
,1793,14,1,《སྣར་》,pབ།,,,,,,
,,15,2,《པེ་》《སྣར་》,གི།,,,,,,
,,16,3,《པེ་》《སྣར་》,ཉེར།,,,,,,
,,17,4,《པེ་》《སྣར་》,གསང་།,,
,,18,5,《པེ་》《སྣར་》,བཅུ།,,
,,,,,,,
