མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །སྐྱབས་སུ་འགྲོ་བ་བསྟན་པ་བཞུགས།,1805,2,1,《པེ་》《སྣར་》,སྐྱབས་སུ་འགྲོ་བ་བསྟན་ལ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཎ།,,,,,,
,,4,3,《པེ་》《སྣར་》,རྩོལ།,,,,,,
,,5,4,《པེ་》《སྣར་》,པོ་པའི།,,,,,,
,1806,6,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,7,2,《པེ་》《སྣར་》,པའི།,,,,,,
,,8,3,《པེ་》《སྣར་》,མོ།,,,,,,
,,9,4,《པེ་》《སྣར་》,གཏོད།,,,,,,
,,10,5,《པེ་》《སྣར་》,mནི།,,,,,,
,,11,6,《པེ་》,ཚད་ནི་ལས།,《སྣར་》,རྒྱུད་ནི་ལས།,,,,,
,1807,12,1,《པེ་》《སྣར་》,རིགས་བྱེད་སྐྱེས།,,,,,,
,,13,2,《པེ་》,ཚིགས།,,,,,,
,,14,3,《སྣར་》,མོངས།,,,,,,
,,15,4,《པེ་》《སྣར་》,ཇི།,,,,,,
,,16,5,《པེ་》《སྣར་》,རྟེན།,,,,,,
,1808,17,1,《པེ་》《སྣར་》,ཀྱི།,
,,18,2,《པེ་》《སྣར་》,རྟེན།,
,,19,3,《པེ་》《སྣར་》,སྟོང་།,
,,20,4,《པེ་》《སྣར་》,ཀྱིས།,
,,21,5,《པེ་》《སྣར་》,གྱིས།,
,,22,6,《པེ་》《སྣར་》,བ།,
,,,,,,
