མཚན་བྱང།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །རང་གི་བྱ་བའི་རིམ་པ་བསྐུལ་བ་དང་བཅས་པ་ཡི་གེར་བྲིས་པ་བཞུགས།,1824,2,1,,,,,,,མཚན་བྱང་འདི་《སྡེ》《ཅོ》ལྟར་བཀོད། 
,,3,2,《པེ་》《སྣར་》,ན།,,,,,
,,4,3,《པེ་》《སྣར་》,ན།,,,,,
,1825,5,1,《པེ་》《སྣར་》,པ་སྤངས།,,,,,
,,6,2,《པེ་》《སྣར་》,གིས།,,,,,
,,7,3,《པེ་》《སྣར་》,རྣམ།,,,,,
,,8,4,《པེ་》《སྣར་》,གིས།,,,,,
,,9,5,《པེ་》《སྣར་》,དེ།,,,,,
,,10,6,《པེ་》《སྣར་》,ཤིང་།,,,,,
,,11,7,《པེ་》《སྣར་》,པར།,,,,,
,,12,8,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,
,,13,9,《པེ་》,རིགས།,,,,,
,,14,10,《སྣར་》,པའང་།,,,,,
,1826,15,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,16,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
