མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུའི་འགྲེལ་པ།,1590,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་། 《པེ་》《སྣར་》རྡོ་རྗེ་གདན་གྱི་གླུའི་འགྲེལ་པ་བཞུགས།,
,1591,3,1,《པེ་》《སྣར་》,པ།,
,,4,2,《པེ་》《སྣར་》,mཕྱིར།,
,,5,3,《པེ་》《སྣར་》,རྟེན།,
,,6,4,《པེ་》《སྣར་》,ལྡོག,
,,7,5,《པེ་》《སྣར་》,འགྱུར།,
,1592,8,1,《པེ་》《སྣར་》,pདང་།,
,,9,2,《པེ་》《སྣར་》,mལྡན།,
,,10,3,《པེ་》《སྣར་》,བདེན།,
,1593,11,1,《པེ་》,སྒྲུབ།,《སྣར་》,བསྒྲུབ།
,,12,2,《པེ་》《སྣར་》,ཀྱིས།,
,,13,3,《པེ་》《སྣར་》,ཆ།,
,,14,4,《པེ་》《སྣར་》,ནི།,
,,15,5,《པེ་》《སྣར་》,སྭ་བི།,
,,16,6,《པེ་》,pཔར།,
,1594,17,1,《པེ་》《སྣར་》,བླངས།,
,,18,2,《པེ་》《སྣར་》,ཆའི།,
,,19,3,《པེ་》《སྣར་》,ཡོངས།,
,1595,20,1,《པེ་》《སྣར་》,pཔ།,
,,21,2,《པེ་》《སྣར་》,མེད་བདེ།,
,,22,3,《སྣར་》,མཐའི།,
,,23,4,《པེ་》《སྣར་》,བའི།,
,,24,5,《པེ་》《སྣར་》,mདང་།,
,,25,6,《པེ་》《སྣར་》,བརྟག,
,1596,26,1,《པེ་》《སྣར་》,བསམ།,
,1597,27,1,《པེ་》《སྣར་》,དེ།,
,,28,2,《པེ་》《སྣར་》,ཀྱི།,
,,29,3,《པེ་》《སྣར་》,བལྟ།,
,,30,4,《པེ་》《སྣར་》,pནི།,
,1598,31,1,《པེ་》《སྣར་》,pཅན།,
,,32,2,《པེ་》《སྣར་》,འོང་བའི་བརྟག,
,,33,3,《པེ་》《སྣར་》,mརྣམས།,
,,34,4,《པེ་》《སྣར་》,པ།,
,1599,35,1,《པེ་》《སྣར་》,བདེ།,
,1601,36,1,《པེ་》《སྣར་》,བལྟོས།,
,,37,2,《པེ་》《སྣར་》,mསེམས།,
,,38,3,《པེ་》《སྣར་》,ཞེ།,
,,39,4,《པེ་》《སྣར་》,བསལ།,
,,40,5,《པེ་》《སྣར་》,རྟོག,
,,41,6,《པེ་》《སྣར་》,pདང་།,
,,42,7,《པེ་》《སྣར་》,བཞག,
,1602,43,1,《སྣར་》,mཔར།,
,,44,2,《པེ་》《སྣར་》,འཇིགས།,
,,45,3,《པེ་》《སྣར་》,དྷུ།,
,,,,,,
