མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
བླ་མའི་བྱ་བའི་རིམ་པ།,709,2,1,《པེ་》《སྣར་》,༄༅། །བླ་མའི་བྱ་བའི་རིམ་པ་མདོར་བསྡུས་པ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཀྲྀ།,,,,,,
,,4,3,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,5,4,《པེ་》《སྣར་》,བཙལ།,,,,,,
,,6,5,《པེ་》《སྣར་》,འབུལ།,,,,,,
,,7,6,《པེ་》《སྣར་》,སྟོད།,,,,,,
,710,8,1,《པེ་》《སྣར་》,རིམ།,,,,,,
,,9,2,《པེ་》《སྣར་》,རིམ།,,,,,,
,,10,3,《པེ་》《སྣར་》,པོས།,,,,,,
,,11,4,《པེ་》《སྣར་》,pམི།,,,,,,
,,12,5,《སྣར་》,ཀྱིས།,,,,,,
,,13,6,《པེ་》《སྣར་》,བཞག,,,,,,
,,14,7,《པེ་》《སྣར་》,རིམ་མོ།,,,,,,
,,15,8,《པེ་》《སྣར་》,རིམ།,,,,,,
