མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
སྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས།,107,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,བསྲུང་།,
,,4,3,《པེ་》《སྣར་》,mཔོ།,
,,5,4,《སྣར་》,བསྲུང་།,
,,6,5,《པེ་》《སྣར་》,ཡིས།,
,,7,6,《པེ་》《སྣར་》,བར།,
,,8,7,《སྣར་》,བཞི།,
,108,9,1,《པེ་》《སྣར་》,རེ།,
,,10,2,《པེ་》《སྣར་》,དྲི།,
,,11,3,《པེ་》《སྣར་》,རི།,
,,12,4,《པེ་》《སྣར་》,རེ།,
,,13,5,《པེ་》《སྣར་》,རེ།,
,,14,6,《སྣར་》,བསྐོར།,
,,15,7,《པེ་》,སྐོར་དག,《སྣར་》,བསྐོར་དག
,,16,8,《པེ་》《སྣར་》,ལྡོག །ཡིད།,
,,17,9,《པེ་》,སྤྲད།,
,,18,10,《པེ་》《སྣར་》,མཉན།,
,,19,11,《པེ་》《སྣར་》,བཙང་།,
,,20,12,《པེ་》《སྣར་》,སྟེངས།,
,109,21,1,《པེ་》《སྣར་》,བརླབས།,
,,22,2,《པེ་》,ཀྱི་གཟུགས་ཀྱིས།,《སྣར་》,ཀྱིས་གཟུགས་ཀྱིས།
,,23,3,《པེ་》《སྣར་》,བརླབས།,
,,24,4,《སྣར་》,སྤྲོས་སྡུ།,
,,25,5,《སྣར་》,བློ།,
,,26,6,《པེ་》《སྣར་》,མཱཎྜལ།,
,,27,7,《པེ་》《སྣར་》,མཱཎྜལ།,
,,28,8,《པེ་》《སྣར་》,སྐུལ།,
,110,29,1,《སྣར་》,བསྲུང་།,
,,30,2,《པེ་》《སྣར་》,གྱིས།,
,,,,,,
,,,,,,
,,,
