          མཚན་བྱང་།,       ཤོག་གྲངས།,1,        མཆན་གྲངས།,              པར་མ།,                                                             མཆན།
ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,771,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,བ་ལ།
,,4,3,《པེ་》《སྣར་》,ནས།
,,5,4,《པེ་》《སྣར་》,བཏགས།
,,6,5,《པེ་》《སྣར་》,མར།
,,7,6,《པེ་》《སྣར་》,མོ།
,772,8,1,《པེ་》《སྣར་》,གྱི་སྐྲག་བཞིན་པོ་སྤོང་།
,,9,2,《པེ་》《སྣར་》,སྤོང་།
,,10,3,《པེ་》《སྣར་》,ཀྱིས།
,,11,4,《པེ་》《སྣར་》,གྲུབ།
,,12,5,《པེ་》《སྣར་》,ཤདྡྷ།
