        མཚན་བྱང་།,     ཤོག་གྲངས།,1,        མཆན་གྲངས།,            པར་མ།,                                               མཆན།,,
ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ།,774,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,
,,3,2,《པེ་》《སྣར་》,བ་ལ།,,
,,4,3,《པེ་》,ཀཱ་ར་ཎ་བྲྀཏྟི།;《སྣར་》,ཀ་ར་ཎ།;《ཅོ་》,ཀ་ར་ཎི་པྲ་ཏྟི།
,,5,4,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,6,5,《པེ་》《སྣར་》,པ།,,
,775,7,1,《པེ་》《སྣར་》,བརྟགས།,,
,,8,2,《པེ་》《སྣར་》,པའི་ཤེས་པ།,,
,,9,3,《པེ་》《སྣར་》,བལྟོས་པ་ན།,,
,,10,4,《པེ་》《སྣར་》,pབློ་ཡང་བའི།,,
,,11,5,《པེ་》《སྣར་》,བརྟགས།,,
,,12,6,《པེ་》《སྣར་》,ན།,,
,,13,7,《པེ་》《སྣར་》,ཡི།,,
,,14,8,《པེ་》《སྣར་》《ཅོ་》,བརྟག,,
,,15,9,《པེ་》《སྣར་》,བཏགས།,,
,,16,10,《པེ་》《སྣར་》,བརྟགས།,,
,,17,11,《པེ་》《སྣར་》,པར།,,
,776,18,1,《པེ་》《སྣར་》,ཚིག,,
,,19,2,《པེ་》《སྣར་》,པ།,,
,,20,3,《པེ་》《སྣར་》,པ།,,
,,21,4,《པེ་》,འཁྱུལ་པའི་འདུ་ཤེས་འདི་མོད།;《སྣར་》,འཁྲུལ་བའི་འདུ་ཤེས་འདི་ཡོད།,
,,22,5,《པེ་》,mཁྱེར།,,
,,23,6,《པེ་》《སྣར་》,གིས་ངོ་བོ།,,
,777,24,1,《སྣར་》,བསྐྱེད།,,
,,25,2,《པེ་》《སྣར་》,བསྐྱེད་པར་བྱ་བ།,,
,,26,3,《པེ་》《སྣར་》,mཔ།,,
,,27,4,《པེ་》《སྣར་》,གྱི་སྐྲག་བཞི།,,
,,28,5,《པེ་》《སྣར་》,པས།,,
,,29,6,《པེ་》《སྣར་》,pཔ།,,
,,30,7,《པེ་》《སྣར་》,བསལ།,,
,,31,8,《པེ་》《སྣར་》,སླང་།,,
,,32,9,《པེ་》《སྣར་》,སྤྱད།,,
,,33,10,《པེ་》《སྣར་》,གྱི།,,
,,34,11,《པེ་》《སྣར་》,བསྐྱེད།,,
,,35,12,《པེ་》《སྣར་》,བརྟག,,
,,36,13,《པེ་》《སྣར་》,བྱ།,,
,,37,14,《པེ་》《སྣར་》,སྒྲུབ།,,
,778,38,1,《པེ་》《སྣར་》,ན།,,
,,39,2,《པེ་》《སྣར་》,ཡིས།,,
,,40,3,《པེ་》《སྣར་》,ཀྱི།,,
,,41,4,《པེ་》《སྣར་》,པ།,,
,,42,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,43,6,《པེ་》《སྣར་》,།། །།,,
,,44,7,《པེ་》,pདགེའོ།;《སྣར་》,pསརྦ་མངྒཱ་ལཾ།།  །།,
