མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ།,851,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་ ༄། །ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་སློབ་དཔོན་འཕགས་པ་ལྷས་མཛད་པ་བཞུགས་སོ། །ཞེས་དང་། 《སྣར་》ལ་ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་སློབ་དཔོན་འཕགས་པ་ལྷས་མཛད་པ་དང་དེའི་བཤད་པ་སློབ་དཔོན་བྱང་ཆུབ་བཟང་པོའི་ཞལ་སྔ་ནས་མཛད་པ་བཞུགས་སོ།། །།ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,པ།,
,852,4,1,《པེ་》《སྣར་》,ན།,
,,5,2,《པེ་》《སྣར་》,རྣམས་སུ།,
,,6,3,《པེ་》《སྣར་》,འཛུམ།,
,,7,4,《པེ་》《སྣར་》,གིས།,
,853,8,1,《པེ་》《སྣར་》,གི།,
,,9,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,,10,3,《པེ་》《སྣར་》,དང་།,
,,11,4,《པེ་》《སྣར་》,རྣམས།,
,,12,5,《པེ་》《སྣར་》,བརྟན།,
,854,13,1,《པེ་》《སྣར་》,ཡིས།,
,,14,2,《པེ་》《སྣར་》,གང་།,
,,15,3,《པེ་》《སྣར་》,ལ།,
,,16,4,《པེ་》《སྣར་》,ཀྲིཥྞ་ར།,
