                         མཚན་བྱང་།,              ཤོག་གྲངས།,1,            མཆན་གྲངས།,                   པར་མ།,                                                          མཆན།,,,,,,
ཁྲོ་བོ་རེག་ཚིག་གི་བསྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,850,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,851,3,1,《པེ་》,བརྐུམ།,,,,,,
,852,4,1,《པེ་》,དྲ།,,,,,,
,,5,2,《པེ་》,ཀྱིས།,,,,,,
,,6,3,《པེ་》,m སེམས་ཅན།,,,,,,(པར་འདིར་གཡང་དྲུང་ཞིག་འདུག)
,853,7,1,《པེ་》,ཚན།,,,,,,
,,8,2,《པེ་》,བཞུག,,,,,,
,,9,3,《པེ་》,རྩིབས།,,,,,,
,854,10,1,《པེ་》,mམིང་།,,,,,,
,,11,2,《པེ་》,pལ།,,,,,,
,,12,3,《པེ་》,བདིང་།,,,,,,
,,13,4,《པེ་》,ཆིངས།,,,,,,
,855,14,1,《པེ་》,གཏུམ།,,,,,,
,,15,2,《པེ་》,བཞུག,,,,,,
,,16,3,《པེ་》,mཔ།,,,,,,
,,17,4,《པེ་》,རྟོང་།,,,,,,
,856,18,1,《པེ་》,དགག,,,,,,
,,19,2,《པེ་》,གསད།,,,,,,
,,20,3,《པེ་》,ཉུངས།,,,,,,
,857,21,1,《པེ་》,mནས་ཀྱིས།,,,,,,(པར་འདིར་གཡང་དྲུང་ཞིག་འདུག)
,858,22,1,《པེ་》,ནོང་དུ་བཞུག,,,,,,
,,23,2,《པེ་》,རྫུས།,,,,,,
,,24,3,《པེ་》,། །,,,,,,
