མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
རྒྱུན་ཆགས་ཀྱི་ཚིགས་སུ་བཅད་པས་བསྟོད་པ།,521,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》,རཱ།,,,,,,
,,4,3,《པེ་》,མེཥྛཱ།,,,,,,
,,5,4,《པེ་》,རཱནྟཱརྒ།,,,,,,
,,6,5,《པེ་》,རི།,,,,,,
,,7,6,《པེ་》,རྟྲེ།,,,,,,
,,8,7,《པེ་》,བྲེཏྟྲེ་ཀྲྀ་ཏཱ།,,,,,,
,,9,8,《པེ་》,ཛཱ།,,,,,,
,522,10,1,《པེ་》,སེེ།,,,,,,
,,11,2,《པེ་》,བྷཱུ།,,,,,,
,,12,3,《པེ་》,ཤཱནྠཏྨ།,,,,,,
,,13,4,《པེ་》,ཙིཏྛ།,,,,,,
,,14,5,《པེ་》,སཔྟོཏྤ།,,,,,,
,523,15,1,《པེ་》,མྲི་གེནྟྲེ།,,,,,,
,,16,2,《པེ་》,ཀ,,,,,,
,,17,3,《པེ་》,ནིརྫ།,,,,,,
,,18,4,《པེ་》,ཏྲིཾ།,,,,,,
,,19,5,《པེ་》,། །,,,,,,
,,20,6,《པེ་》,མཱརྠ།,,,,,,
,,21,7,《པེ་》,པཱ།,,,,,,
,,22,8,《པེ་》,ཛྭཱ།,,,,,,
,524,23,1,《པེ་》,ཀཱརྟི།,,,,,,
,,24,2,《པེ་》,པུཀྟ།,,,,,,
,,25,3,《པེ་》,པྲི།,,,,,,
,,26,4,《པེ་》,དྷྱཱ།,,,,,,
,,27,5,《པེ་》,བྷཱ།,,,,,,
,,28,6,《པེ་》,མཔྟ།,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
