མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །དབང་གི་མན་ངག,169,2,1,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,ཆད་དོ།,,,,,,
,,4,3,《པེ་》,སྦེད།,,,,,,
,,5,4,《པེ་》,པོ།,,,,,,
,170,6,1,《པེ་》,གསུང་།,,,,,,
,,7,2,《པེ་》,mལ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་འདུག)
,,8,3,《པེ་》,མགར།,,,,,,
,,9,4,《པེ་》,mདབང་།,,,,,,
,,10,5,《པེ་》,རྟེན་པ།,,,,,,
,171,11,1,《པེ་》,ནད་པས།,,,,,,
,,12,2,《པེ་》,ཛྙཱ།,,,,,,
,,13,3,《པེ་》,སྷོ། ,,,,,,(འདིའི་འོག་ཏུ་རྫོགས་སོ་ཞེས་པ་རྣམས་《པེ་》ལ་རྫོགས་སྷོ་ཞེས་འཁོད་ཡོད་མེད་ཅི་རིགས་སྣང་ཡང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
