མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །ལྷ་མཆོད་པའི་རིམ་པ།,188,2,1,《པེ་》, ༄༅། །ལྷ་མཆོད་པའི་རིམ་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》,བསག,,,,,,
,189,4,1,《པེ་》,pསེམས།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,5,2,《པེ་》,གཉིས།,,,,,,
,,6,3,《པེ་》,mངེ་།,,,,,,
,,7,4,《པེ་》,དེ་འཛིན་ནི།,,,,,,
,,8,5,《པེ་》,དེ།,,,,,,
,,9,6,《པེ་》,གསུམ།,,,,,,
,,10,7,《པེ་》,བསྒོམས།,,,,,,
,,11,8,《པེ་》,སྒོམ།,,,,,,
,,12,9,《པེ་》,སྟན།,,,,,,
,,13,10,《པེ་》,སྟན།,,,,,,
,190,14,1,《པེ་》,རྣམ།,,,,,,
,,15,2,《པེ་》,pཔ།,,,,,,
,,,
,,,,,,
,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
