མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །རོ་བསྲེག་པའི་ཆོ་ག,202,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད། 
,,3,2,《པེ་》,བཙའ།,,,,,,
,,4,3,《པེ་》,pམོ།,,,,,,
,,5,4,《པེ་》,སྟེང་།,,,,,,
,203,6,1,《པེ་》,རླབས།,,,,,,
,,7,2,《པེ་》,སྤྱན་དྲངས།,,,,,,
,,8,3,《པེ་》,ཡམས།,,,,,,
,,9,4,《པེ་》,བསད།,,,,,,
,,10,5,《པེ་》,ལུག,,,,,,
,,11,6,《པེ་》,ལག,,,,,,
,,12,7,《པེ་》,mམ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,204,13,1,《པེ་》,དུའོ།།,,,,,,
,,14,2,《པེ་》,mབྱས་ནས།,,,,,,
,,15,3,《པེ་》,གི།,,,,,,
,,16,4,《པེ་》,སྐུར།,,,,,,
