མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
དབུ་མ་རྩ་བའི་འགྲེལ་བ་ཤེས་རབ་སྒྲོན་མ།,905,2,1,《པེ་》《སྣར་》,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ་སློབ་དཔོན་ལེགས་ལྡན་འབྱེད་ཀྱིས་མཛད་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ལ་དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོན་མ་སློབ་དཔོན་ལེགས་ལྡན་འབྱེད་ཀྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,དྷྱ་མ།,,,,,,
,,4,3,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,906,5,1,《པེ་》《སྣར་》,འབྲེལ་བ།,,,,,,
,,6,2,《པེ་》《སྣར་》,ལ།,,,,,,
,907,7,1,《སྣར་》,ཤུགས།,,,,,,
,,8,2,《པེ་》《སྣར་》,mབྱ་བ།,,,,,,
,,9,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,10,4,《པེ་》,mགྱི།,,,,,,
,,11,5,《པེ་》《སྣར་》,འཇིགས།,,,,,,
,908,12,1,《པེ་》《སྣར་》,ཁྲུས།,,,,,,
,,13,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,14,3,《པེ་》《སྣར་》,mལ།,,,,,,
,909,15,1,《སྣར་》,གི།,,,,,,
,,16,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,17,3,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,18,4,《པེ་》《སྣར་》,pདོན།,,,,,,
,910,19,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,20,2,《པེ་》《སྣར་》,གསུང་བའི།,,,,,,
,,21,3,《པེ་》《སྣར་》,རྫུན་ཡིན།,,,,,,
,,22,4,《སྣར་》,ནས།,,,,,,
,,23,5,《པེ་》《སྣར་》,mམ།,,,,,,
,,24,6,《པེ་》《སྣར་》,པ།,,,,,,
,,25,7,《པེ་》《སྣར་》,mབ།,,,,,,
,911,26,1,《སྣར་》,འགག,,,,,,
,,27,2,《པེ་》《སྣར་》,དགག ,,,,,,
,,28,3,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,29,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,30,5,《པེ་》《སྣར་》,པར།,,,,,,
,912,31,1,《པེ་》《སྣར་》,རོ།,,,,,,
,,32,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,33,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,913,34,1,《པེ་》《སྣར་》,གི།,,,,,,
,,35,2,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,36,3,《པེ་》《སྣར་》《ཅོ་》,བསམ།,,,,,,
,,37,4,《པེ་》《སྣར་》,པ།,,,,,,
,,38,5,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,39,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,40,7,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,41,8,《པེ་》《སྣར་》,རྟོག,,,,,,
,,42,9,《པེ་》《སྣར་》,དགགས།,,,,,,
,914,43,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,44,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,45,3,《པེ་》《སྣར་》,pའོ་ན་ཅི་ཞེ་ན། གཞན་ལས་སྐྱེའོ་ཞེས་བྱ་བར་ངེས་པར་འགྱུུར་བ་དང་། དེ་བཞིན་དུ་བདག་ཁོ་ན་ལས་སྐྱེ་བ་མེད་དེ། ,,,,,,
,,46,4,《པེ་》《སྣར་》,ལ་སྒྲུབ།,,,,,,
,,47,5,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,48,6,《པེ་》《སྣར་》,པ།,,,,,,
,915,49,1,《པེ་》《སྣར་》,རོ།,,,,,,
,,50,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,51,3,《པེ་》《སྣར་》,pརོ།,,,,,,
,,52,4,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,53,5,《པེ་》《སྣར་》,ཉིད་ཆོས།,,,,,,
,,54,6,《པེ་》《སྣར་》,སྐྱེས་པ།,,,,,,
,,55,7,《པེ་》《སྣར་》,mཆོས་ཉིད།,,,,,,
,,56,8,《སྣར་》,དོན་ནི།,,,,,,
,916,57,1,《པེ་》《སྣར་》,ཚིགས་ཀྱི།,,,,,,
,,58,2,《པེ་》《སྣར་》,pདག,,,,,,
,,59,3,《པེ་》《སྣར་》,བ།,,,,,,
,,60,4,《པེ་》《སྣར་》,སྤྱིའི།,,,,,,
,,61,5,《པེ་》《སྣར་》,mགཞན།,,,,,,
,917,62,1,《སྣར་》,mམ།,,,,,,
,,63,2,《པེ་》《སྣར་》,པར།,,,,,,
,,64,3,《སྣར་》,pན།,,,,,,
,,65,4,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,66,5,《པེ་》《སྣར་》,དྲེས།,,,,,,
,,67,6,《པེ་》《སྣར་》,སྨིག,,,,,,
,,68,7,《པེ་》《སྣར་》,སྨིག,,,,,,
,918,69,1,《པེ་》《སྣར་》,བ།,,,,,,
,,70,2,《པེ་》《སྣར་》,ཕྱི།,,,,,,
,919,71,1,《པེ་》《སྣར་》,mཅེས།,,,,,,
,920,72,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,73,2,《པེ་》《སྣར་》,བདག,,,,,,
,921,74,1,《པེ་》《སྣར་》,སྦྲ།,,,,,,
,,75,2,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,922,76,1,《པེ་》,གྱིས།,,,,,,
,,77,2,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,78,3,《སྣར་》,མཁའ་མི་རྟོག,,,,,,
,,79,4,《པེ་》《སྣར་》,pལ།,,,,,,
,923,80,1,《ཅོ་》,ཞོག,,,,,,
,,81,2,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,924,82,1,《པེ་》《སྣར་》,པས་སྤྱིར།,,,,,,
,,83,2,《པེ་》《སྣར་》,བཞག,,,,,,
,,84,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,85,4,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,925,86,1,《པེ་》《སྣར་》,པོར།,,,,,,
,,87,2,《པེ་》《སྣར་》,mདགག་པ་བཞིན་དུ་གསལ་བ།,,,,,,
,,88,3,《པེ་》《སྣར་》,ཟློག,,,,,,
,,89,4,《སྣར་》,སྐྱེ་བ།,,,,,,
,,90,5,《པེ་》《སྣར་》,བའོ།,,,,,,
,,91,6,《སྣར་》,བས།,,,,,,
,926,92,1,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,93,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,94,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,95,4,《པེ་》《སྣར་》,mནི།,,,,,,
,,96,5,《པེ་》《སྣར་》,བཅའ་བར།,,,,,,
,927,97,1,《སྣར་》,བསྒྲུབ།,,,,,,
,,98,2,《པེ་》《སྣར་》,mདག,,,,,,
,,99,3,《པེ་》《སྣར་》,བདག,,,,,,
,,100,4,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,101,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,102,6,《པེ་》《སྣར་》,ལྟར།,,,,,,
,928,103,1,《པེ་》《སྣར་》,mཔ་མེད།,,,,,,
,,104,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,105,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,106,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,107,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,929,108,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,109,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,110,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,111,4,《པེ་》《སྣར་》,བཟློག,,,,,,
,930,112,1,《པེ་》《སྣར་》,pནི་སྒྲུབ་པ་ལ།,,,,,,
,,113,2,《པེ་》《སྣར་》,pམ།,,,,,,
,,114,3,《པེ་》《སྣར་》,།།,,,,,,
,,115,4,《པེ་》《སྣར་》,མའི།,,,,,,
,,116,5,《པེ་》《སྣར་》,།། །།,,,,,,
,,117,6,《པེ་》《སྣར་》,mཞེས་བྱ་བ་ནི།,,,,,,
,931,118,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
