མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུན་ཅུ་པ།,685,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་༄༅། །གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུན་ཅུ་པ་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,686,3,1,《པེ་》《སྣར་》,གི།,
,,4,2,《པེ་》《སྣར་》,ནི།,
,,5,3,《པེ་》《སྣར་》,བལྟོས།,
,687,6,1,《པེ་》《སྣར་》,རྙན།,
,,7,2,《པེ་》《སྣར་》,པར།,
,,8,3,《པེ་》《སྣར་》,རྟོག,
,,9,4,《པེ་》《སྣར་》,རྒྱས།,
,,10,5,《པེ་》《སྣར་》,རྟོག་པ་མི་མངའ་བའི།,《ཅོ་》,རྟོག་པ་མངའ་བ་ཡི།
,,11,6,《པེ་》《སྣར་》,འབྱུང།,
,,12,7,《སྣར་》,བགྱི།,
,,13,8,《པེ་》,རྗོད།,
,,14,9,《པེ་》《སྣར་》,ཤེས།,
,688,15,1,《པེ་》《སྣར་》,བླང་།,
,689,16,1,《པེ་》《སྣར་》,ཉིད།,
,,17,2,《པེ་》《སྣར་》,དེས།,
,,18,3,《པེ་》《སྣར་》,ཀྱི།,
,,19,4,《སྣར་》,པའི།,
,,20,5,《པེ་》《སྣར་》,སྐྱེས་པ།,
,,21,6,《པེ་》《སྣར་》,སྤང་།,
,,22,7,《པེ་》《སྣར་》,གྱི།,
,,23,8,《པེ་》《སྣར་》,པའང་།,
,690,24,1,《པེ་》《སྣར་》,ལས།,
,,25,2,《པེ་》《སྣར་》,ཤཱ།,
,,26,3,《པེ་》《སྣར་》,མངོན།,
,,27,4,《པེ་》《སྣར་》,ཡིས།,
,,28,5,《པེ་》《སྣར་》,འགྱུར།,
,691,29,1,《པེ་》《སྣར་》,མཉམ།,
,,,,,,
