མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
མདོ་སྡེ་༼ཐི༽,729,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་སྟོད་ཆ་མདོ་སྡེ་ཏི་དུམ་པའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད། 
,,3,2,《པེ་》《སྣར་》,pདེ་དག་དེ་ལྟར་ཞེས་བྱ་བ་མན་ཆད་ཀྱིས་སྦྱོར་བ་ལ་སོགས་པའི་གནས་སྐབས་ལས་བརྩམས་ནས་ངོ་བོ་ཉིད་མེད་པ་ཉིད་ཀྱི་ཕྱི་མ་གཉིས་བསྟན་པའོ། །ཡང་རྣལ་འབྱོར་གྱི་སྒོ་བརྗོད་ན་གནས་སྐབས་རྣམ་པ་ལྔ་ཡོད་དེ། བསྟན་བཅོས་རྣམ་པར་རིག་པ་ཙམ་དུ་གྲུབ་པ་ལས་ཇི་སྐད་དུ། རྣམ་པར་རིག་པ་ཙམ་གྱི་གནས་སྐབས་རྣམ་པ་ལྔ་ཇི་ལྟར་ཁོང་དུ་ཆུད་མེད་པ་ཉིད་མེད་པ་དང་།,,,,,,
,,4,3,《པེ་》《སྣར་》,mམེད་པ་ཉིད།,,,,,,
,730,5,1,《པེ་》《སྣར་》,mལ།,,,,,,
,731,6,1,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,7,2,《པེ་》,གིས།,,,,,,
,,8,3,《པེ་》《སྣར་》,གྲོལ།,,,,,,
,732,9,1,《པེ་》《སྣར་》,དཔྱོད།,,,,,,
,,10,2,《པེ་》《སྣར་》,mསྐབས།,,,,,,
,,11,3,《པེ་》《སྣར་》,བཞག,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,12,4,《པེ་》《སྣར་》,mམ།,,,,,,
,,13,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,14,6,《པེ་》《སྣར་》,གི།,,,,,,
,,15,7,《པེ་》《སྣར་》,བསྟན།,,,,,,
,733,16,1,《པེ་》《སྣར་》,པ།,,,,,,
,,17,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,18,3,《པེ་》《སྣར་》,པར།,,,,,,
,,19,4,《པེ་》《སྣར་》,དང་།,,,,,,
,,20,5,《པེ་》《སྣར་》,དང་།,,,,,,
,,21,6,《པེ་》《སྣར་》,ཟློག,,,,,,
,,22,7,《པེ་》《སྣར་》,བསྟེན།,,,,,,
,734,23,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,24,2,《པེ་》《སྣར་》,mལྔ།,,,,,,
,,25,3,《པེ་》《སྣར་》,mམེད་པ་ཉིད།,,,,,,
,,26,4,《པེ་》《སྣར་》,བྱ།,,,,,,
,,27,5,《པེ་》《སྣར་》,mཆོས་རྣམས།,,,,,,
,,28,6,《པེ་》《སྣར་》,གྱིས།,,,,,,
,735,29,1,《པེ་》《སྣར་》,པ།,,,,,,
,,30,2,《པེ་》《སྣར་》,pམེད་པ་ཉིད།,,,,,,
,,31,3,《པེ་》《སྣར་》,pལ།,,,,,,
,736,32,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,33,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,34,3,《པེ་》《སྣར་》,བཟླ།,,,,,,
,,35,4,《པེ་》《སྣར་》,བཟླ།,,,,,,
,,36,5,《པེ་》《སྣར་》,བཟླ།,,,,,,
,,37,6,《པེ་》《སྣར་》,བཟླ།,,,,,,
,737,38,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,39,2,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,40,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,41,4,《པེ་》《སྣར་》,རིགས།,,,,,,
,738,42,1,《པེ་》《སྣར་》,བརྟག,,,,,,
,,43,2,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,,
,,44,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,740,45,1,《ཅོ་》,pསྡེ།,,,,,,
,,46,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,47,3,《པེ་》《སྣར་》,དག་གིས།,,,,,,
,,48,4,《པེ་》《སྣར་》,mབདེ་བ།,,,,,,
,,49,5,《པེ་》《སྣར་》,mཐེག་པའི།,,,,,,
,,50,6,《པེ་》《སྣར་》,ཅིག,,,,,,
,,51,7,《པེ་》,mམངོན་པར།,,,,,,
,,52,8,《པེ་》《སྣར་》,རིགས།,,,,,,
,741,53,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,54,2,《པེ་》《སྣར་》,མི།,,,,,,
,,55,3,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,56,4,《པེ་》,mའགྱུར་བར།,,,,,,
,,57,5,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,58,6,《ཅོ་》,mཔ།,,,,,,
,,59,7,《པེ་》《སྣར་》,པ།,,,,,,
,742,60,1,《པེ་》《སྣར་》,པས།,,,,,,
,,61,2,《པེ་》《སྣར་》,mབ།,,,,,,
,,62,3,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,63,4,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,743,64,1,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,65,2,《པེ་》《སྣར་》,mགཏན།,,,,,,
,744,66,1,《པེ་》,mཕྱིར།,,,,,,
,,67,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,68,3,《པེ་》《སྣར་》,འཕྲེང་།,,,,,,
,,69,4,《པེ་》《སྣར་》,ཕྱིར།,,,,,,
,,70,5,《པེ་》《སྣར་》,mནི།,,,,,,
,745,71,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,72,2,《སྣར་》,ལ་བསམ།,,,,,,
,746,73,1,《པེ་》《སྣར་》,ཞུས།,,,,,,
,747,74,1,《ཅོ་》,རང་།,,,,,,
,,75,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,76,3,《པེ་》《སྣར་》,སྲེག,,,,,,
,,77,4,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,78,5,《པེ་》《སྣར་》,མ།,,,,,,
,748,79,1,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,80,2,《པེ་》《ཅོ་》,mཞེས་བྱའོ།,,,,,,
,749,81,1,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,82,2,《པེ་》《སྣར་》,འདས་པའི།,,,,,,
,,83,3,《པེ་》《སྣར་》,pལས།,,,,,,
,750,84,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,751,85,1,《པེ་》,གཟུད་པའི།,,,,,,
,,86,2,《པེ་》《སྣར་》,བཟླས།,,,,,,
,,87,3,《པེ་》《སྣར་》,གཟུད་པའི།,,,,,,
