མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
༄༅། །དབུ་མ་རྒྱན་གྱི་ཚིག་ལེའུར་བྱས་པ།,895,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་ ༄༅། །དབུ་མ་རྒྱན་གྱི་ཚིག་ལེའུར་བྱས་པ་སློབ་དཔོན་ཞི་བ་འཚོས་མཛད་པའོ། །ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,མདྷྱ་མ་ཀཱ།
,896,4,1,《པེ་》,བརྟག
,,5,2,《པེ་》《སྣར་》,ཅིག
,,6,3,《པེ་》《སྣར་》,བལྟ།
,,7,4,《པེ་》《སྣར་》,བའི་རྡུལ།
,,8,5,《པེ་》《སྣར་》,དང་།
,,9,6,《པེ་》《སྣར་》,བེམ།
,897,10,1,《པེ་》《སྣར་》,རིགས།
,,11,2,《པེ་》《སྣར་》,ཡིས།
,,12,3,《པེ་》《སྣར་》,རྣམ།
,,13,4,《པེ་》《སྣར་》,ལས།
,,14,5,《པེ་》《སྣར་》,གྱིས་རྣམ་པར།
,,15,6,《པེ་》,བའི་བློ།
,898,16,1,《པེ་》《སྣར་》,ལོར།
,,17,2,《པེ་》《སྣར་》,བ།
,,18,3,《པེ་》《སྣར་》,ཡུལ།
,,19,4,《པེ་》《སྣར་》,བར།
,,20,5,《པེ་》《སྣར་》,ཅིག
,,21,6,《སྣར་》,གྱུར།
,899,22,1,《པེ་》《སྣར་》,ཅིག
,,23,2,《པེ་》《སྣར་》,རྟགས།
,,24,3,《པེ་》,བའི།
,,25,4,《པེ་》《སྣར་》,མི།
,,26,5,《པེ་》《སྣར་》,ཅིག
,,27,6,《པེ་》《སྣར་》,གི།
,,28,7,《པེ་》《སྣར་》,ཅིག
,900,29,1,《པེ་》《སྣར་》,རྣམ།
,,30,2,《པེ་》《སྣར་》,རྟགས།
,,31,3,《པེ་》《སྣར་》,བཟློག
,,32,4,《པེ་》《སྣར་》,ན།
,901,33,1,《པེ་》《སྣར་》,ན།
,,34,2,《པེ་》《སྣར་》,མ།
,,35,3,《པེ་》《སྣར་》,གསུང་།
,,36,4,《སྣར་》,mན།
,,37,5,《པེ་》《སྣར་》,བརྟན་ན།
,,38,6,《པེ་》《སྣར་》,ཏེ།
,,39,7,《པེ་》《སྣར་》,ཅི།
,902,40,1,《པེ་》《སྣར་》,རྟོག
,,41,2,《པེ་》《སྣར་》,དངོས།
,,42,3,《པེ་》《སྣར་》,བསྐྱེད།
,,43,4,《པེ་》《སྣར་》,སྒྲུབ།
,,44,5,《པེ་》《སྣར་》,སྒྲུབ།
,,45,6,《པེ་》《སྣར་》,རྟོག
,,46,7,《པེ་》《སྣར་》,པོར།
,,47,8,《པེ་》《སྣར་》,མི།
,903,48,1,《པེ་》《སྣར་》,རྟག
,,49,2,《པེ་》《སྣར་》,ཐམས་ཅད།
,,50,3,《པེ་》《སྣར་》,དེའི།
,904,51,1,《སྣར་》,འཚལ།
