མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །དབུ་མའི་རྒྱན་གྱི་འགྲེལ་པ།,906,2,1,《པེ་》《སྣར་》, ༄༅། །དབུ་མ་རྒྱན་གྱི་རང་འགྲེལ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་མིང་།
,,3,2,《པེ་》《སྣར་》,མདྷྱ་མ་ཀཱ་ལཾ་ཀཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,5,4,《པེ་》《སྣར་》,སྒྲུབ་པར་ཅི་ལའང་།,,,,,,
,,6,5,《པེ་》《སྣར་》,མ་བརྟག,,,,,,
,907,7,1,《པེ་》《སྣར་》,pཞིག,,,,,,
,,8,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,9,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,908,10,1,《པེ་》《སྣར་》,འབྲས་བུའི།,,,,,,
,,11,2,《པེ་》,པ།,,,,,,
,,12,3,《པེ་》《སྣར་》,ཅིག་པ།,,,,,,
,,13,4,《པེ་》《སྣར་》,སྒོམ་པ།,,,,,,
,,14,5,《པེ་》《སྣར་》,ཅིག;《ཅོ་》,ཅིག་ཅིག,,,,,
,909,15,1,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,16,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,17,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,18,4,《པེ་》《སྣར་》,བ།,,,,,,
,,19,5,《པེ་》《སྣར་》,mདེ།,,,,,,
,,20,6,《པེ་》《སྣར་》,སོ།,,,,,,
,,21,7,《པེ་》《སྣར་》,གི།,,,,,,
,910,22,1,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,,23,2,《པེ་》《སྣར་》,དགག,,,,,,
,911,24,1,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,25,2,《པེ་》《སྣར་》,བསྒྲིབ།,,,,,,
,,26,3,《པེ་》《སྣར་》,mཔ་དེ་དག་གི་གཅིག་དང་འབྲེལ།,,,,,,
,,27,4,《པེ་》,mདེ།,,,,,,
,,28,5,《པེ་》《སྣར་》,pཇི་ལྟར།,,,,,,
,,29,6,《པེ་》《སྣར་》,pཇི་ལྟར།,,,,,,
,912,30,1,《པེ་》《སྣར་》,འདུ་བ་དེ་དག,,,,,,
,,31,2,《པེ་》《སྣར་》,ཅིག,,,,,,
,,32,3,《པེ་》《སྣར་》,འདུ།,,,,,,
,,33,4,《པེ་》《སྣར་》,རག,,,,,,
,,34,5,《པེ་》《སྣར་》,པ།,,,,,,
,,35,6,《པེ་》《སྣར་》,འཚོགས།,,,,,,
,,36,7,《པེ་》《སྣར་》,mཞེས།,,,,,,
,,37,8,《པེ་》《སྣར་》,ལ་ཡང་།,,,,,,
,913,38,1,《སྣར་》,གཏོད།,,,,,,
,,39,2,《པེ་》《སྣར་》,pཕྱོགས།,,,,,,
,,40,3,《སྣར་》,pམ།,,,,,,
,914,41,1,《པེ་》《སྣར་》,མིག,,,,,,
,,42,2,《པེ་》《སྣར་》,པ་དང་།,,,,,,
,,43,3,《པེ་》《སྣར་》,སྒྲིམ།,,,,,,
,,44,4,《པེ་》《སྣར་》,བསགས།,,,,,,
,,45,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,46,6,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,915,47,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,48,2,《པེ་》《སྣར་》,གཤིག,,,,,,
,,49,3,《པེ་》《སྣར་》,བརྣན།,,,,,,
,,50,4,《པེ་》《སྣར་》,སུ་ལམ་བརྒྱུད་པ།,,,,,,
,,51,5,《པེ་》《སྣར་》《ཅོ་》,བསལ།,,,,,,
,,52,6,《པེ་》《སྣར་》,mདེ།,,,,,,
,,53,7,《པེ་》《སྣར་》,mཁྱད་པར་དང་།,,,,,,
,,54,8,《སྣར་》,འགྲེལ།,,,,,,
,916,55,1,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,56,2,《པེ་》《སྣར་》《ཅོ་》,བྱའོ། །,,,,,,
,,57,3,《པེ་》《སྣར་》,བེམ།,,,,,,
,,58,4,《པེ་》《སྣར་》,བེམ།,,,,,,
,,59,5,《པེ་》《སྣར་》,རིགས།,,,,,,
,,60,6,《པེ་》《སྣར་》,pཔ།,,,,,,
,,61,7,《པེ་》《སྣར་》,གིས།,,,,,,
,,62,8,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,917,63,1,《པེ་》《སྣར་》,རིགས།,,,,,,
,,64,2,《པེ་》《སྣར་》,སོ།,,,,,,
,,65,3,《པེ་》《སྣར་》,mདེ་ནི།,,,,,,
,918,66,1,《པེ་》《སྣར་》,mཉིད།,,,,,,
,,67,2,《པེ་》《སྣར་》,གི།,,,,,,
,,68,3,《པེ་》《སྣར་》,mརབ་ཏུ།,,,,,,
,,69,4,《པེ་》《སྣར་》,རིགས།,,,,,,
,,70,5,《སྣར་》,དེ།,,,,,,
,919,71,1,《པེ་》《སྣར་》,mདུ།,,,,,,
