མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།,353,2,1,《པེ་》,དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ་ཀ་མ་ལ་ཤཱི་ལས་མཛད་སྟོད། ;《སྣར་》,ལ་དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ་ཀ་མ་ལ་ཤཱི་ལས་མཛད་པའི་སྟོད། ,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《སྣར་》,བྱའོ།།,,,,,,
,,4,3,《སྣར་》,པ།,,,,,,
,354,5,1,《སྣར་》,mབྱ་ཞེས།,,,,,,
,,6,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,7,3,《པེ་》《སྣར་》,mལ།,,,,,,
,,8,4,《པེ་》《སྣར་》,པོ།།,,,,,,
,,9,5,《པེ་》《སྣར་》,ལོན་པ།,,,,,,
,,10,6,《པེ་》《སྣར་》,mན།,,,,,,
,355,11,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,12,2,《པེ་》,བསྒྲུབས།,,,,,,
,,13,3,《པེ་》,pནི་ངེས་པ།,,,,,,
,,14,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,15,5,《པེ་》,mན།,,,,,,
,356,16,1,《པེ་》《སྣར་》,པ།,,,,,,
,,17,2,《པེ་》《སྣར་》,mརོ།,,,,,,
,,18,3,《པེ་》《སྣར་》,རྟོག,,,,,,
,,19,4,《པེ་》《སྣར་》,པ།,,,,,,
,,20,5,《པེ་》《སྣར་》,དེའི།,,,,,,
,,21,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,22,7,《པེ་》,གིས།,,,,,,
,357,23,1,《པེ་》,pཔ།,,,,,,
,,24,2,《པེ་》《སྣར་》,པ།,,,,,,
,,25,3,《པེ་》《སྣར་》,བར།,,,,,,
,,26,4,《པེ་》《སྣར་》,ས།,,,,,,
,,27,5,《པེ་》《སྣར་》,མངོན།,,,,,,
,358,28,1,《པེ་》《སྣར་》,སྨྲས་པ།,,,,,,
,,29,2,《པེ་》《སྣར་》,mངེས་པ།,,,,,,
,,30,3,《པེ་》《སྣར་》,མངོན།,,,,,,
,,31,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,32,5,《པེ་》《སྣར་》,རྟོག,,,,,,
,,33,6,《པེ་》《སྣར་》,mཔར།,,,,,,
,,34,7,《པེ་》《སྣར་》,གིས།,,,,,,
,,35,8,《པེ་》《སྣར་》,རྟོག,,,,,,
,,36,9,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,37,10,《པེ་》《སྣར་》,གཏོགས།,,,,,,
,359,38,1,《སྣར་》,mཔ་དེ་བཞིན།,,,,,,
,,39,2,《པེ་》《སྣར་》,པ།,,,,,,
,,40,3,《པེ་》《སྣར་》,pཔར།,,,,,,
,360,41,1,《སྣར་》,mསྲིད་པའི།,,,,,,
,,42,2,《པེ་》《སྣར་》,རྟོག,,,,,,
,,43,3,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,44,4,《པེ་》《སྣར་》,mགཞན།,,,,,,
